Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Valencia,Espanyol,Elche,Mallorca,Girona,Sevilla,Levante,Alavés,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9997.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,9313.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,684.0,9315.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,9739.0,239.0,6.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,245.0,7591.0,725.0,450.0,772.0,43.0,167.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.0,1405.0,2510.0,1460.0,2935.0,586.0,946.0,23.0,39.0,18.0,55.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,509.0,2200.0,1983.0,2310.0,1141.0,1375.0,81.0,139.0,93.0,126.0,37.0,5.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,197.0,1751.0,2112.0,1676.0,1519.0,1664.0,172.0,307.0,218.0,267.0,100.0,7.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,47.0,1299.0,1802.0,1049.0,1958.0,1819.0,253.0,448.0,460.0,511.0,292.0,28.0,0.0,34.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,881.0,1117.0,627.0,2143.0,1779.0,505.0,751.0,791.0,791.0,420.0,74.0,3.0,107.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,396.0,559.0,299.0,1248.0,1038.0,893.0,1257.0,1628.0,1482.0,717.0,171.0,25.0,286.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,164.0,296.0,170.0,632.0,581.0,1243.0,1479.0,1676.0,1773.0,1150.0,333.0,56.0,447.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,54.0,163.0,89.0,448.0,362.0,1589.0,1549.0,1451.0,1566.0,1291.0,637.0,122.0,679.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,47.0,202.0,184.0,1815.0,1388.0,1273.0,1350.0,1481.0,945.0,288.0,967.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,73.0,64.0,1628.0,1148.0,1038.0,1033.0,1670.0,1458.0,489.0,1377.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,20.0,1145.0,819.0,714.0,576.0,1474.0,2286.0,1036.0,1922.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,544.0,557.0,462.0,325.0,936.0,2522.0,2249.0,2393.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,116.0,175.0,144.0,424.0,1532.0,5686.0,1750.0,65.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,46.0,27.0,9924.0
