Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Coritiba,Vitória,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Grêmio,Cruzeiro,Santos,Corinthians,Mirassol,Remo,Chapecoense
7981.0,1748.0,167.0,60.0,41.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1689.0,5886.0,1117.0,779.0,397.0,39.0,45.0,20.0,1.0,1.0,5.0,5.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
243.0,1552.0,3112.0,2582.0,1542.0,310.0,279.0,147.0,13.0,26.0,30.0,37.0,40.0,77.0,4.0,3.0,3.0,0.0,0.0,0.0
60.0,547.0,2475.0,2476.0,2018.0,708.0,616.0,352.0,75.0,67.0,85.0,147.0,129.0,203.0,19.0,15.0,8.0,0.0,0.0,0.0
22.0,181.0,1443.0,1718.0,2230.0,1122.0,1147.0,604.0,117.0,156.0,188.0,296.0,268.0,392.0,51.0,42.0,21.0,0.0,2.0,0.0
5.0,49.0,763.0,972.0,1302.0,1517.0,1526.0,908.0,290.0,374.0,339.0,541.0,502.0,652.0,101.0,94.0,54.0,8.0,3.0,0.0
0.0,24.0,395.0,577.0,833.0,1417.0,1443.0,1133.0,489.0,497.0,491.0,714.0,721.0,814.0,161.0,166.0,106.0,11.0,8.0,0.0
0.0,10.0,225.0,328.0,542.0,1241.0,1211.0,1149.0,578.0,626.0,673.0,952.0,836.0,916.0,270.0,223.0,183.0,16.0,21.0,0.0
0.0,1.0,133.0,226.0,393.0,956.0,1001.0,1081.0,749.0,809.0,758.0,950.0,957.0,980.0,351.0,317.0,258.0,45.0,35.0,0.0
0.0,1.0,82.0,115.0,243.0,797.0,813.0,973.0,812.0,922.0,877.0,1052.0,1002.0,977.0,439.0,421.0,351.0,65.0,58.0,0.0
0.0,1.0,42.0,72.0,173.0,592.0,599.0,911.0,866.0,989.0,978.0,961.0,1029.0,964.0,536.0,583.0,506.0,120.0,78.0,0.0
0.0,0.0,29.0,43.0,120.0,451.0,481.0,711.0,1033.0,1004.0,996.0,974.0,1014.0,905.0,650.0,647.0,652.0,156.0,134.0,0.0
0.0,0.0,9.0,23.0,85.0,313.0,293.0,636.0,1084.0,1013.0,1049.0,853.0,926.0,798.0,828.0,871.0,778.0,245.0,196.0,0.0
0.0,0.0,5.0,18.0,44.0,224.0,206.0,491.0,1059.0,984.0,958.0,762.0,761.0,717.0,1012.0,1064.0,998.0,403.0,294.0,0.0
0.0,0.0,2.0,8.0,23.0,157.0,150.0,381.0,986.0,840.0,900.0,682.0,646.0,651.0,1097.0,1263.0,1216.0,579.0,411.0,8.0
0.0,0.0,0.0,3.0,12.0,97.0,110.0,248.0,829.0,750.0,735.0,484.0,546.0,453.0,1307.0,1361.0,1480.0,844.0,735.0,6.0
0.0,0.0,1.0,0.0,1.0,43.0,55.0,154.0,594.0,545.0,550.0,352.0,349.0,297.0,1411.0,1350.0,1564.0,1443.0,1259.0,32.0
0.0,0.0,0.0,0.0,1.0,13.0,19.0,83.0,321.0,298.0,283.0,175.0,196.0,148.0,1116.0,1001.0,1185.0,2647.0,2382.0,132.0
0.0,0.0,0.0,0.0,0.0,2.0,4.0,18.0,102.0,91.0,101.0,62.0,69.0,50.0,625.0,544.0,602.0,3083.0,3992.0,655.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,1.0,1.0,0.0,20.0,35.0,35.0,335.0,392.0,9167.0
