Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Osasuna,Valencia,Sevilla,Elche,Mallorca,Espanyol,Girona,Alavés,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9997.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,9789.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,208.0,9792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9328.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,672.0,9034.0,179.0,68.0,22.0,15.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,272.0,3986.0,2840.0,793.0,920.0,946.0,187.0,9.0,5.0,20.0,14.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,21.0,2365.0,2494.0,1542.0,1326.0,1294.0,551.0,45.0,55.0,128.0,111.0,66.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1476.0,1636.0,2076.0,1731.0,1462.0,803.0,93.0,103.0,256.0,177.0,179.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,998.0,1112.0,2053.0,1760.0,1662.0,959.0,190.0,211.0,398.0,270.0,301.0,86.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,746.0,1496.0,1464.0,1602.0,1309.0,429.0,434.0,759.0,411.0,505.0,214.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,254.0,482.0,933.0,963.0,1086.0,1698.0,648.0,798.0,1205.0,670.0,923.0,316.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,94.0,351.0,630.0,844.0,747.0,1514.0,937.0,1004.0,1384.0,832.0,1173.0,445.0,45.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,177.0,344.0,579.0,570.0,1291.0,1385.0,1154.0,1496.0,937.0,1170.0,801.0,80.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,81.0,92.0,297.0,360.0,878.0,1645.0,1341.0,1449.0,1342.0,1217.0,1110.0,182.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,18.0,84.0,184.0,558.0,1699.0,1424.0,1248.0,1628.0,1437.0,1332.0,375.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,65.0,206.0,1711.0,1614.0,881.0,1618.0,1413.0,1869.0,604.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,41.0,1028.0,1470.0,578.0,1631.0,1326.0,2584.0,1327.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,181.0,387.0,198.0,359.0,282.0,1229.0,7352.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,9990.0
