Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
3747.0,6158.0,71.0,10.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5531.0,3480.0,489.0,218.0,112.0,98.0,11.0,11.0,6.0,6.0,5.0,14.0,0.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0
561.0,289.0,3580.0,1929.0,1156.0,1074.0,181.0,250.0,75.0,176.0,68.0,263.0,34.0,170.0,115.0,55.0,23.0,1.0,0.0,0.0
106.0,53.0,2040.0,1971.0,1543.0,1384.0,414.0,499.0,186.0,334.0,121.0,444.0,100.0,357.0,242.0,128.0,70.0,8.0,0.0,0.0
33.0,11.0,1289.0,1573.0,1466.0,1360.0,549.0,663.0,302.0,474.0,247.0,591.0,211.0,474.0,375.0,222.0,143.0,15.0,2.0,0.0
15.0,7.0,848.0,1128.0,1212.0,1257.0,702.0,828.0,445.0,564.0,331.0,765.0,273.0,594.0,499.0,298.0,205.0,24.0,5.0,0.0
4.0,2.0,575.0,832.0,987.0,1057.0,784.0,834.0,552.0,698.0,436.0,809.0,346.0,779.0,571.0,398.0,268.0,53.0,15.0,0.0
2.0,0.0,371.0,663.0,893.0,860.0,821.0,906.0,612.0,704.0,529.0,829.0,419.0,790.0,647.0,500.0,366.0,72.0,16.0,0.0
1.0,0.0,246.0,506.0,717.0,706.0,819.0,901.0,701.0,801.0,576.0,824.0,517.0,849.0,698.0,597.0,417.0,95.0,29.0,0.0
0.0,0.0,180.0,335.0,502.0,574.0,887.0,822.0,779.0,765.0,634.0,848.0,599.0,915.0,725.0,686.0,552.0,151.0,46.0,0.0
0.0,0.0,111.0,258.0,402.0,423.0,856.0,769.0,861.0,780.0,685.0,843.0,694.0,846.0,851.0,729.0,641.0,185.0,64.0,2.0
0.0,0.0,88.0,176.0,265.0,361.0,800.0,745.0,798.0,816.0,795.0,757.0,832.0,807.0,872.0,859.0,672.0,248.0,108.0,1.0
0.0,0.0,40.0,155.0,237.0,291.0,724.0,648.0,888.0,835.0,876.0,644.0,842.0,795.0,849.0,850.0,816.0,353.0,155.0,2.0
0.0,0.0,32.0,100.0,199.0,177.0,710.0,599.0,916.0,772.0,863.0,651.0,919.0,679.0,829.0,929.0,891.0,480.0,246.0,8.0
0.0,0.0,24.0,69.0,139.0,151.0,593.0,520.0,813.0,723.0,945.0,560.0,1061.0,578.0,737.0,1022.0,1030.0,663.0,361.0,11.0
0.0,0.0,9.0,36.0,92.0,105.0,474.0,420.0,800.0,615.0,931.0,469.0,1016.0,580.0,702.0,950.0,1191.0,970.0,615.0,25.0
0.0,0.0,3.0,24.0,43.0,74.0,381.0,317.0,652.0,504.0,935.0,378.0,1000.0,427.0,665.0,871.0,1202.0,1405.0,1038.0,81.0
0.0,0.0,3.0,12.0,23.0,37.0,204.0,196.0,434.0,323.0,698.0,237.0,741.0,239.0,436.0,597.0,958.0,2488.0,2114.0,260.0
0.0,0.0,1.0,5.0,4.0,7.0,87.0,70.0,169.0,104.0,302.0,70.0,373.0,105.0,169.0,281.0,502.0,2409.0,4216.0,1126.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,6.0,23.0,4.0,23.0,8.0,8.0,26.0,53.0,380.0,970.0,8484.0
