Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Osasuna,Valencia,Sevilla,Elche,Mallorca,Levante,Espanyol,Girona,Alavés,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9800.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,200.0,9800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9220.0,479.0,212.0,45.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,690.0,3610.0,3729.0,664.0,818.0,214.0,221.0,2.0,0.0,31.0,0.0,16.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,82.0,2683.0,2852.0,1341.0,1331.0,859.0,516.0,13.0,0.0,170.0,0.0,107.0,46.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,1567.0,1493.0,2310.0,2013.0,1198.0,729.0,53.0,9.0,301.0,1.0,191.0,116.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,799.0,2062.0,1959.0,1948.0,1008.0,132.0,83.0,565.0,10.0,334.0,184.0,41.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,531.0,410.0,1364.0,1237.0,2247.0,1456.0,229.0,388.0,1046.0,80.0,493.0,435.0,84.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,207.0,217.0,1100.0,954.0,1315.0,1778.0,288.0,755.0,1286.0,237.0,814.0,933.0,116.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,43.0,174.0,711.0,885.0,888.0,1587.0,696.0,928.0,1439.0,343.0,912.0,1112.0,282.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.0,331.0,571.0,660.0,1269.0,1184.0,1209.0,1445.0,596.0,1019.0,1003.0,619.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,66.0,166.0,421.0,819.0,1281.0,1419.0,1205.0,1180.0,1392.0,1197.0,830.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,22.0,185.0,416.0,1558.0,1543.0,990.0,1596.0,1407.0,1377.0,899.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.0,166.0,2131.0,1485.0,685.0,1633.0,1144.0,1236.0,1459.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,1843.0,1344.0,533.0,1958.0,1115.0,1186.0,1983.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,590.0,837.0,304.0,2366.0,1056.0,1170.0,3668.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9992.0
