Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Sevilla,Rayo Vallecano,Osasuna,Valencia,Espanyol,Elche,Mallorca,Levante,Girona,Alavés,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8805.0,1195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1195.0,8805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9252.0,487.0,220.0,0.0,0.0,37.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,668.0,3703.0,3889.0,83.0,54.0,1025.0,279.0,225.0,34.0,0.0,32.0,0.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,79.0,2814.0,2897.0,400.0,226.0,1570.0,924.0,598.0,268.0,0.0,165.0,0.0,59.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1499.0,1423.0,1454.0,564.0,2209.0,1235.0,775.0,391.0,10.0,318.0,0.0,115.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,768.0,582.0,1933.0,1100.0,1509.0,1825.0,923.0,487.0,88.0,567.0,7.0,171.0,40.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,457.0,377.0,1305.0,1209.0,993.0,1760.0,1350.0,787.0,355.0,915.0,42.0,384.0,66.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,187.0,230.0,1474.0,964.0,723.0,1224.0,1392.0,1251.0,546.0,1093.0,140.0,692.0,84.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,66.0,170.0,1554.0,1402.0,768.0,804.0,1056.0,1356.0,618.0,1027.0,231.0,838.0,110.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,116.0,1242.0,1944.0,664.0,744.0,1000.0,1220.0,735.0,1091.0,208.0,755.0,264.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,77.0,452.0,1728.0,379.0,606.0,1166.0,1439.0,1148.0,1196.0,372.0,876.0,559.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,96.0,723.0,115.0,432.0,947.0,1655.0,1631.0,1238.0,1054.0,1296.0,794.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,83.0,8.0,144.0,454.0,880.0,1935.0,1061.0,2316.0,1670.0,1442.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,100.0,206.0,1861.0,812.0,2789.0,1792.0,2415.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,26.0,1073.0,485.0,2841.0,1344.0,4215.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9995.0
