Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Valencia,Sevilla,Osasuna,Espanyol,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8789.0,1211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1211.0,8789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8732.0,1157.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1181.0,5919.0,2410.0,54.0,254.0,29.0,17.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,87.0,2140.0,4815.0,372.0,1150.0,368.0,200.0,698.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,664.0,1227.0,1592.0,3130.0,638.0,619.0,1403.0,522.0,21.0,176.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,111.0,606.0,2041.0,1673.0,1029.0,1079.0,2034.0,607.0,89.0,575.0,57.0,92.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,430.0,1491.0,1301.0,993.0,1256.0,1908.0,925.0,198.0,706.0,361.0,353.0,69.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,1483.0,1253.0,1072.0,1066.0,1175.0,1340.0,235.0,708.0,530.0,696.0,159.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1531.0,770.0,1640.0,1295.0,814.0,1261.0,318.0,747.0,587.0,741.0,202.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,989.0,339.0,2054.0,1749.0,628.0,901.0,535.0,1126.0,717.0,779.0,161.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.0,110.0,1505.0,1720.0,447.0,1097.0,1398.0,1414.0,778.0,956.0,216.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,19.0,566.0,850.0,482.0,1408.0,1987.0,1270.0,1143.0,1392.0,801.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,103.0,148.0,248.0,1227.0,1422.0,1354.0,1742.0,1993.0,1754.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,26.0,482.0,2083.0,1309.0,2274.0,1510.0,2312.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,1714.0,615.0,1803.0,1488.0,4319.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
