Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Cruzeiro,Vitória,Grêmio,Santos,Corinthians,Remo,Mirassol,Chapecoense
6142.0,3526.0,300.0,10.0,7.0,4.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3217.0,5145.0,1220.0,89.0,79.0,50.0,12.0,113.0,13.0,8.0,48.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
551.0,1045.0,4960.0,769.0,653.0,393.0,103.0,923.0,105.0,98.0,334.0,20.0,22.0,8.0,8.0,5.0,3.0,0.0,0.0,0.0
72.0,189.0,1668.0,1668.0,1467.0,979.0,393.0,1758.0,342.0,281.0,874.0,87.0,127.0,23.0,31.0,22.0,17.0,2.0,0.0,0.0
9.0,67.0,799.0,1549.0,1455.0,1253.0,565.0,1542.0,544.0,442.0,1133.0,188.0,213.0,58.0,92.0,39.0,40.0,11.0,1.0,0.0
3.0,17.0,430.0,1349.0,1347.0,1255.0,771.0,1293.0,678.0,627.0,1239.0,276.0,263.0,130.0,159.0,69.0,74.0,19.0,1.0,0.0
5.0,8.0,259.0,1154.0,1137.0,1211.0,910.0,1136.0,875.0,708.0,1182.0,388.0,364.0,176.0,234.0,108.0,109.0,31.0,5.0,0.0
0.0,0.0,154.0,930.0,937.0,1117.0,1026.0,875.0,965.0,898.0,1052.0,522.0,503.0,256.0,337.0,171.0,184.0,63.0,10.0,0.0
1.0,1.0,92.0,682.0,786.0,895.0,1047.0,726.0,1046.0,1049.0,941.0,663.0,668.0,369.0,432.0,278.0,218.0,97.0,9.0,0.0
0.0,2.0,54.0,524.0,594.0,820.0,1071.0,560.0,1022.0,1033.0,833.0,784.0,724.0,503.0,596.0,354.0,353.0,151.0,22.0,0.0
0.0,0.0,29.0,391.0,479.0,672.0,981.0,370.0,1048.0,1081.0,669.0,904.0,786.0,641.0,711.0,485.0,492.0,219.0,42.0,0.0
0.0,0.0,18.0,322.0,372.0,443.0,850.0,255.0,894.0,960.0,557.0,1024.0,952.0,813.0,907.0,622.0,639.0,286.0,86.0,0.0
0.0,0.0,9.0,224.0,251.0,336.0,725.0,188.0,734.0,857.0,394.0,1118.0,1022.0,981.0,1024.0,820.0,747.0,440.0,128.0,2.0
0.0,0.0,4.0,148.0,190.0,235.0,557.0,119.0,581.0,704.0,295.0,1040.0,1007.0,1188.0,1156.0,1030.0,951.0,590.0,205.0,0.0
0.0,0.0,3.0,95.0,124.0,164.0,389.0,65.0,490.0,503.0,198.0,954.0,988.0,1262.0,1114.0,1199.0,1295.0,833.0,321.0,3.0
0.0,0.0,1.0,57.0,66.0,102.0,300.0,39.0,320.0,340.0,134.0,849.0,885.0,1199.0,1111.0,1392.0,1383.0,1226.0,582.0,14.0
0.0,0.0,0.0,31.0,42.0,37.0,193.0,19.0,218.0,240.0,75.0,618.0,831.0,1143.0,1002.0,1427.0,1534.0,1533.0,1039.0,18.0
0.0,0.0,0.0,6.0,13.0,25.0,87.0,9.0,102.0,126.0,28.0,389.0,465.0,860.0,742.0,1265.0,1326.0,2393.0,2037.0,127.0
0.0,0.0,0.0,2.0,1.0,9.0,20.0,3.0,23.0,43.0,12.0,172.0,175.0,375.0,324.0,681.0,615.0,1967.0,4916.0,662.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,19.0,33.0,20.0,139.0,596.0,9174.0
