Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,Botafogo,Vitória,Atlético-MG,Internacional,Grêmio,Vasco da Gama,Cruzeiro,Corinthians,Santos,Mirassol,Remo,Chapecoense
9442.0,444.0,108.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494.0,6646.0,2221.0,265.0,78.0,46.0,7.0,120.0,43.0,4.0,8.0,46.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
59.0,2054.0,4334.0,1064.0,541.0,288.0,79.0,707.0,295.0,90.0,60.0,288.0,99.0,19.0,11.0,1.0,11.0,0.0,0.0,0.0
5.0,517.0,1570.0,1963.0,1161.0,794.0,294.0,1416.0,729.0,224.0,206.0,669.0,279.0,49.0,77.0,9.0,34.0,3.0,1.0,0.0
0.0,190.0,758.0,1586.0,1284.0,1026.0,462.0,1382.0,943.0,388.0,361.0,822.0,439.0,145.0,136.0,26.0,45.0,4.0,3.0,0.0
0.0,74.0,437.0,1208.0,1193.0,1068.0,604.0,1341.0,1026.0,497.0,466.0,985.0,555.0,194.0,186.0,37.0,96.0,19.0,14.0,0.0
0.0,38.0,239.0,973.0,1112.0,1051.0,779.0,1077.0,1045.0,602.0,608.0,1033.0,675.0,290.0,239.0,66.0,128.0,24.0,21.0,0.0
0.0,16.0,141.0,742.0,962.0,1025.0,846.0,964.0,1000.0,767.0,731.0,1001.0,695.0,379.0,338.0,107.0,202.0,46.0,38.0,0.0
0.0,11.0,76.0,570.0,826.0,994.0,915.0,797.0,943.0,816.0,846.0,897.0,850.0,483.0,433.0,160.0,260.0,80.0,43.0,0.0
0.0,2.0,60.0,478.0,674.0,854.0,945.0,588.0,868.0,869.0,925.0,884.0,913.0,609.0,565.0,244.0,344.0,98.0,80.0,0.0
0.0,4.0,26.0,371.0,597.0,745.0,959.0,467.0,705.0,958.0,947.0,762.0,941.0,799.0,645.0,337.0,414.0,154.0,169.0,0.0
0.0,1.0,16.0,237.0,483.0,610.0,906.0,396.0,667.0,995.0,947.0,688.0,894.0,899.0,788.0,481.0,564.0,222.0,206.0,0.0
0.0,2.0,11.0,186.0,388.0,512.0,806.0,260.0,541.0,961.0,992.0,608.0,877.0,1040.0,889.0,622.0,726.0,312.0,267.0,0.0
0.0,0.0,2.0,158.0,302.0,370.0,742.0,218.0,462.0,888.0,902.0,422.0,821.0,1121.0,1045.0,808.0,844.0,486.0,407.0,2.0
0.0,0.0,1.0,87.0,178.0,284.0,612.0,138.0,328.0,742.0,718.0,355.0,723.0,1115.0,1170.0,1088.0,1151.0,698.0,611.0,1.0
0.0,1.0,0.0,53.0,119.0,173.0,464.0,62.0,191.0,549.0,539.0,251.0,547.0,1073.0,1179.0,1447.0,1424.0,973.0,955.0,0.0
0.0,0.0,0.0,34.0,68.0,94.0,333.0,44.0,129.0,377.0,435.0,167.0,369.0,850.0,1034.0,1719.0,1444.0,1514.0,1378.0,11.0
0.0,0.0,0.0,17.0,27.0,50.0,192.0,20.0,68.0,193.0,205.0,84.0,221.0,610.0,802.0,1626.0,1348.0,2222.0,2271.0,44.0
0.0,0.0,0.0,3.0,6.0,15.0,55.0,3.0,17.0,77.0,102.0,37.0,85.0,317.0,454.0,1187.0,940.0,3021.0,3367.0,314.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,6.0,35.0,25.0,124.0,169.0,9628.0
