Palmeiras,Flamengo,Fluminense,Athletico Paranaense,Red Bull Bragantino,São Paulo,Bahia,Coritiba,Cruzeiro,Botafogo,Vitória,Atlético-MG,Internacional,Grêmio,Corinthians,Vasco da Gama,Santos,Mirassol,Remo,Chapecoense
9443.0,430.0,68.0,26.0,25.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
487.0,5873.0,1693.0,826.0,613.0,274.0,8.0,91.0,30.0,39.0,6.0,10.0,37.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
62.0,2025.0,2840.0,1729.0,1608.0,760.0,27.0,357.0,117.0,162.0,37.0,49.0,162.0,53.0,9.0,2.0,1.0,0.0,0.0,0.0
6.0,856.0,1997.0,1920.0,1941.0,1096.0,107.0,714.0,276.0,315.0,96.0,132.0,342.0,128.0,46.0,15.0,11.0,1.0,1.0,0.0
1.0,423.0,1299.0,1647.0,1715.0,1436.0,214.0,1007.0,436.0,505.0,153.0,257.0,520.0,231.0,96.0,42.0,16.0,1.0,1.0,0.0
1.0,198.0,803.0,1170.0,1318.0,1494.0,395.0,1167.0,570.0,784.0,322.0,353.0,772.0,367.0,178.0,69.0,32.0,3.0,4.0,0.0
0.0,97.0,491.0,877.0,883.0,1252.0,560.0,1349.0,700.0,876.0,447.0,539.0,912.0,515.0,272.0,117.0,79.0,19.0,15.0,0.0
0.0,46.0,305.0,586.0,641.0,959.0,674.0,1167.0,863.0,1061.0,592.0,655.0,1020.0,678.0,396.0,200.0,113.0,23.0,21.0,0.0
0.0,24.0,213.0,394.0,450.0,793.0,827.0,1019.0,941.0,1064.0,768.0,743.0,996.0,755.0,470.0,274.0,178.0,50.0,41.0,0.0
0.0,16.0,137.0,309.0,301.0,568.0,969.0,810.0,882.0,1011.0,845.0,853.0,1041.0,875.0,626.0,406.0,225.0,63.0,63.0,0.0
0.0,4.0,70.0,194.0,187.0,440.0,963.0,647.0,941.0,947.0,883.0,1004.0,975.0,941.0,761.0,495.0,364.0,106.0,78.0,0.0
0.0,7.0,44.0,124.0,139.0,326.0,1072.0,526.0,871.0,813.0,1027.0,1012.0,762.0,967.0,887.0,639.0,456.0,190.0,136.0,2.0
0.0,0.0,19.0,90.0,78.0,237.0,1005.0,380.0,843.0,704.0,1002.0,968.0,697.0,1040.0,1016.0,814.0,663.0,232.0,212.0,0.0
0.0,1.0,15.0,60.0,53.0,167.0,914.0,306.0,809.0,561.0,1042.0,937.0,568.0,947.0,1069.0,967.0,877.0,380.0,326.0,1.0
0.0,0.0,5.0,28.0,27.0,87.0,849.0,215.0,676.0,469.0,928.0,896.0,486.0,850.0,1209.0,1112.0,1079.0,571.0,513.0,0.0
0.0,0.0,1.0,12.0,11.0,66.0,628.0,146.0,447.0,357.0,775.0,694.0,343.0,680.0,1115.0,1464.0,1420.0,986.0,852.0,3.0
0.0,0.0,0.0,7.0,5.0,26.0,464.0,61.0,357.0,203.0,588.0,495.0,216.0,533.0,947.0,1445.0,1696.0,1561.0,1374.0,22.0
0.0,0.0,0.0,1.0,5.0,10.0,227.0,31.0,181.0,98.0,340.0,278.0,110.0,330.0,636.0,1220.0,1656.0,2436.0,2360.0,81.0
0.0,0.0,0.0,0.0,0.0,4.0,97.0,7.0,58.0,29.0,144.0,119.0,40.0,99.0,259.0,697.0,1098.0,3169.0,3745.0,435.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,1.0,2.0,3.0,22.0,36.0,209.0,258.0,9456.0
