Palmeiras,Flamengo,Fluminense,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,São Paulo,Atlético-MG,Corinthians,Cruzeiro,Botafogo,Vitória,Internacional,Santos,Grêmio,Vasco da Gama,Remo,Mirassol,Chapecoense
9357.0,559.0,34.0,21.0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581.0,6663.0,942.0,756.0,900.0,16.0,57.0,46.0,17.0,12.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
46.0,1734.0,2480.0,2304.0,2598.0,70.0,297.0,242.0,86.0,57.0,25.0,36.0,3.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0
15.0,634.0,2484.0,2232.0,2537.0,214.0,622.0,555.0,267.0,141.0,74.0,108.0,20.0,61.0,20.0,15.0,0.0,1.0,0.0,0.0
1.0,270.0,1891.0,1891.0,1876.0,478.0,1022.0,992.0,528.0,366.0,147.0,232.0,38.0,165.0,53.0,41.0,3.0,6.0,0.0,0.0
0.0,89.0,998.0,1158.0,950.0,838.0,1465.0,1522.0,879.0,589.0,321.0,480.0,127.0,311.0,137.0,102.0,16.0,13.0,5.0,0.0
0.0,34.0,516.0,657.0,511.0,1061.0,1492.0,1404.0,1105.0,902.0,486.0,694.0,185.0,488.0,246.0,162.0,25.0,28.0,4.0,0.0
0.0,9.0,288.0,395.0,305.0,1222.0,1238.0,1241.0,1191.0,1016.0,566.0,921.0,282.0,622.0,352.0,241.0,56.0,49.0,6.0,0.0
0.0,6.0,149.0,251.0,130.0,1120.0,1031.0,1021.0,1169.0,1124.0,763.0,977.0,398.0,778.0,522.0,357.0,103.0,84.0,17.0,0.0
0.0,2.0,100.0,150.0,61.0,1067.0,783.0,883.0,1070.0,1098.0,833.0,1104.0,530.0,886.0,575.0,512.0,177.0,147.0,22.0,0.0
0.0,0.0,53.0,73.0,49.0,947.0,660.0,618.0,1001.0,1053.0,928.0,1060.0,661.0,1046.0,697.0,650.0,213.0,248.0,43.0,0.0
0.0,0.0,36.0,58.0,29.0,843.0,459.0,467.0,812.0,929.0,1052.0,1002.0,808.0,1050.0,868.0,893.0,325.0,291.0,78.0,0.0
0.0,0.0,16.0,23.0,12.0,719.0,345.0,376.0,645.0,835.0,1013.0,942.0,979.0,1071.0,996.0,969.0,443.0,482.0,134.0,0.0
0.0,0.0,7.0,16.0,11.0,491.0,236.0,243.0,482.0,693.0,1009.0,789.0,1159.0,945.0,1236.0,1147.0,630.0,662.0,244.0,0.0
0.0,0.0,3.0,9.0,4.0,416.0,154.0,179.0,313.0,529.0,938.0,642.0,1233.0,882.0,1220.0,1259.0,932.0,911.0,376.0,0.0
0.0,0.0,3.0,4.0,1.0,261.0,71.0,115.0,223.0,340.0,793.0,492.0,1349.0,712.0,1159.0,1216.0,1280.0,1227.0,750.0,4.0
0.0,0.0,0.0,2.0,0.0,151.0,41.0,59.0,141.0,197.0,560.0,301.0,1165.0,537.0,987.0,1144.0,1850.0,1669.0,1191.0,5.0
0.0,0.0,0.0,0.0,0.0,64.0,22.0,28.0,63.0,84.0,337.0,153.0,759.0,308.0,639.0,913.0,2139.0,2162.0,2281.0,48.0
0.0,0.0,0.0,0.0,0.0,21.0,5.0,8.0,8.0,34.0,152.0,63.0,301.0,119.0,286.0,370.0,1768.0,1958.0,4613.0,294.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,6.0,40.0,62.0,236.0,9649.0
