Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,Corinthians,São Paulo,Vitória,Grêmio,Mirassol,Santos,Internacional,Remo,Vasco da Gama,Chapecoense
9008.0,838.0,134.0,3.0,1.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
892.0,6858.0,1733.0,120.0,23.0,13.0,297.0,30.0,1.0,12.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,1822.0,4712.0,864.0,196.0,220.0,1510.0,238.0,28.0,161.0,143.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,340.0,1841.0,1914.0,570.0,633.0,2699.0,749.0,84.0,488.0,540.0,106.0,3.0,13.0,0.0,7.0,4.0,0.0,0.0,0.0
3.0,98.0,802.0,2041.0,915.0,957.0,1923.0,1034.0,179.0,766.0,971.0,251.0,11.0,24.0,0.0,16.0,9.0,0.0,0.0,0.0
0.0,25.0,384.0,1645.0,1097.0,1295.0,1240.0,1297.0,327.0,1052.0,1128.0,374.0,31.0,58.0,4.0,16.0,25.0,1.0,1.0,0.0
0.0,10.0,195.0,1197.0,1223.0,1419.0,850.0,1324.0,453.0,1217.0,1259.0,575.0,65.0,105.0,7.0,58.0,35.0,7.0,1.0,0.0
0.0,4.0,107.0,820.0,1270.0,1296.0,601.0,1375.0,656.0,1256.0,1292.0,784.0,128.0,196.0,19.0,109.0,78.0,6.0,3.0,0.0
0.0,3.0,54.0,582.0,1284.0,1249.0,406.0,1182.0,929.0,1161.0,1283.0,975.0,201.0,319.0,28.0,172.0,141.0,18.0,13.0,0.0
0.0,2.0,27.0,397.0,1230.0,995.0,201.0,922.0,1265.0,1195.0,1087.0,1203.0,315.0,508.0,64.0,255.0,260.0,38.0,36.0,0.0
0.0,0.0,6.0,228.0,891.0,763.0,146.0,684.0,1452.0,1011.0,917.0,1396.0,460.0,844.0,130.0,421.0,458.0,99.0,94.0,0.0
0.0,0.0,4.0,104.0,599.0,535.0,65.0,531.0,1500.0,746.0,618.0,1384.0,744.0,1201.0,298.0,649.0,659.0,188.0,175.0,0.0
0.0,0.0,1.0,40.0,370.0,322.0,30.0,313.0,1173.0,440.0,372.0,1113.0,1080.0,1561.0,498.0,992.0,1029.0,335.0,331.0,0.0
0.0,0.0,0.0,34.0,202.0,160.0,9.0,173.0,878.0,258.0,220.0,784.0,1334.0,1562.0,764.0,1213.0,1340.0,531.0,538.0,0.0
0.0,0.0,0.0,3.0,74.0,85.0,6.0,89.0,503.0,129.0,90.0,481.0,1456.0,1379.0,1070.0,1432.0,1538.0,854.0,811.0,0.0
0.0,0.0,0.0,6.0,42.0,35.0,2.0,36.0,289.0,69.0,41.0,303.0,1533.0,917.0,1421.0,1434.0,1499.0,1200.0,1172.0,1.0
0.0,0.0,0.0,1.0,9.0,17.0,2.0,17.0,175.0,28.0,15.0,146.0,1169.0,647.0,1968.0,1264.0,1195.0,1749.0,1598.0,0.0
0.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,83.0,7.0,5.0,77.0,940.0,450.0,1967.0,1102.0,1012.0,2185.0,2157.0,4.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,25.0,3.0,1.0,29.0,530.0,214.0,1749.0,855.0,711.0,2768.0,3042.0,69.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,7.0,21.0,28.0,9926.0
