Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
11.0,45.0,103.0,1218.0,48.0,11.0,1218.0,61.0,1.0,6708.0,228.0,65.0,0.0,283.0,0.0,0.0,0.0,0.0
38.0,226.0,420.0,2438.0,230.0,65.0,2441.0,277.0,0.0,1949.0,739.0,272.0,0.0,905.0,0.0,0.0,0.0,0.0
116.0,420.0,722.0,2029.0,482.0,172.0,2017.0,489.0,4.0,752.0,1073.0,516.0,0.0,1208.0,0.0,0.0,0.0,0.0
183.0,657.0,923.0,1412.0,652.0,276.0,1428.0,689.0,17.0,272.0,1279.0,784.0,0.0,1427.0,0.0,1.0,0.0,0.0
299.0,794.0,1063.0,992.0,880.0,397.0,1026.0,849.0,21.0,168.0,1320.0,899.0,2.0,1284.0,4.0,0.0,2.0,0.0
448.0,926.0,1131.0,689.0,954.0,519.0,668.0,1046.0,72.0,78.0,1185.0,1052.0,3.0,1217.0,8.0,1.0,3.0,0.0
583.0,1051.0,1126.0,448.0,1161.0,744.0,448.0,1113.0,104.0,47.0,1089.0,1081.0,5.0,984.0,8.0,3.0,4.0,1.0
814.0,1124.0,1111.0,327.0,1099.0,880.0,328.0,1127.0,169.0,11.0,932.0,1154.0,16.0,860.0,25.0,3.0,14.0,6.0
1011.0,1114.0,1007.0,221.0,1179.0,1064.0,214.0,1168.0,275.0,9.0,746.0,1185.0,29.0,669.0,54.0,6.0,38.0,11.0
1280.0,1184.0,890.0,117.0,1135.0,1329.0,101.0,1082.0,448.0,2.0,609.0,1030.0,63.0,503.0,120.0,33.0,54.0,20.0
1590.0,1043.0,699.0,63.0,931.0,1492.0,76.0,948.0,808.0,2.0,431.0,832.0,162.0,374.0,249.0,70.0,173.0,57.0
1656.0,757.0,483.0,34.0,734.0,1421.0,29.0,660.0,1389.0,2.0,233.0,650.0,400.0,201.0,587.0,245.0,370.0,149.0
1044.0,413.0,208.0,9.0,318.0,901.0,4.0,324.0,2307.0,0.0,100.0,321.0,919.0,57.0,1234.0,505.0,928.0,408.0
490.0,157.0,84.0,2.0,129.0,404.0,2.0,112.0,1759.0,0.0,29.0,113.0,1621.0,20.0,1875.0,941.0,1457.0,805.0
257.0,64.0,20.0,1.0,50.0,196.0,0.0,37.0,1225.0,0.0,5.0,35.0,1743.0,4.0,1801.0,1530.0,1769.0,1263.0
117.0,20.0,10.0,0.0,14.0,94.0,0.0,13.0,716.0,0.0,1.0,8.0,1866.0,3.0,1625.0,1866.0,1849.0,1798.0
44.0,4.0,0.0,0.0,3.0,27.0,0.0,5.0,489.0,0.0,1.0,1.0,1717.0,1.0,1384.0,2257.0,1757.0,2310.0
19.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,196.0,0.0,0.0,2.0,1454.0,0.0,1026.0,2539.0,1582.0,3172.0
