Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5769.0,4205.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4058.0,5597.0,255.0,44.0,23.0,3.0,2.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.0,180.0,5498.0,1808.0,813.0,310.0,212.0,116.0,675.0,23.0,154.0,39.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
6.0,16.0,2062.0,2654.0,1409.0,783.0,596.0,306.0,1426.0,78.0,459.0,155.0,2.0,23.0,19.0,2.0,2.0,2.0,0.0,0.0
0.0,2.0,1021.0,1919.0,1595.0,1104.0,945.0,563.0,1578.0,150.0,682.0,298.0,10.0,55.0,59.0,8.0,7.0,4.0,0.0,0.0
0.0,0.0,548.0,1255.0,1438.0,1352.0,1113.0,749.0,1572.0,315.0,920.0,427.0,24.0,107.0,141.0,14.0,4.0,16.0,5.0,0.0
0.0,0.0,311.0,823.0,1265.0,1410.0,1310.0,917.0,1280.0,421.0,1124.0,590.0,44.0,174.0,239.0,38.0,25.0,25.0,4.0,0.0
0.0,0.0,158.0,622.0,1056.0,1231.0,1299.0,1176.0,970.0,610.0,1226.0,788.0,81.0,276.0,348.0,63.0,36.0,50.0,10.0,0.0
0.0,0.0,68.0,388.0,800.0,1082.0,1218.0,1211.0,827.0,788.0,1217.0,1037.0,144.0,445.0,455.0,132.0,73.0,86.0,29.0,0.0
0.0,0.0,29.0,207.0,621.0,876.0,1041.0,1221.0,606.0,1018.0,1150.0,1209.0,250.0,595.0,644.0,202.0,109.0,176.0,46.0,0.0
0.0,0.0,9.0,126.0,415.0,703.0,795.0,1098.0,403.0,1266.0,980.0,1232.0,358.0,819.0,958.0,296.0,196.0,243.0,103.0,0.0
0.0,0.0,15.0,83.0,280.0,447.0,607.0,866.0,294.0,1308.0,746.0,1123.0,586.0,1094.0,1052.0,501.0,401.0,422.0,175.0,0.0
0.0,0.0,4.0,39.0,162.0,313.0,371.0,695.0,178.0,1217.0,545.0,1007.0,789.0,1267.0,1290.0,764.0,473.0,582.0,304.0,0.0
0.0,0.0,0.0,18.0,74.0,185.0,233.0,477.0,92.0,996.0,340.0,771.0,1075.0,1362.0,1240.0,1054.0,707.0,870.0,505.0,1.0
0.0,0.0,0.0,7.0,28.0,103.0,140.0,314.0,39.0,735.0,222.0,557.0,1279.0,1233.0,1175.0,1299.0,996.0,1134.0,739.0,0.0
0.0,0.0,0.0,3.0,14.0,57.0,76.0,156.0,28.0,539.0,119.0,365.0,1416.0,981.0,958.0,1513.0,1276.0,1396.0,1100.0,3.0
0.0,0.0,0.0,0.0,4.0,30.0,32.0,98.0,9.0,293.0,76.0,232.0,1448.0,761.0,734.0,1504.0,1608.0,1620.0,1544.0,7.0
0.0,0.0,0.0,0.0,2.0,10.0,10.0,30.0,5.0,185.0,28.0,126.0,1411.0,526.0,446.0,1439.0,1844.0,1699.0,2205.0,34.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,58.0,10.0,44.0,1064.0,269.0,234.0,1147.0,2190.0,1625.0,3146.0,202.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,5.0,24.0,53.0,50.0,85.0,9753.0
