Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Blackburn Rovers,Wolverhampton Wanderers,Birmingham City,Sheffield United,Burnley,Cardiff City,Watford,West Ham United,Wrexham,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
19.0,2101.0,138.0,28.0,377.0,6.0,2948.0,1.0,72.0,83.0,164.0,88.0,81.0,1.0,93.0,189.0,229.0,15.0,3.0,286.0,3.0,1.0,14.0,3060.0
62.0,2048.0,309.0,66.0,599.0,12.0,2205.0,6.0,167.0,167.0,283.0,193.0,194.0,4.0,183.0,332.0,432.0,38.0,4.0,486.0,8.0,4.0,38.0,2160.0
116.0,1609.0,478.0,143.0,746.0,34.0,1462.0,14.0,271.0,308.0,410.0,301.0,291.0,9.0,315.0,474.0,605.0,104.0,28.0,660.0,15.0,6.0,84.0,1517.0
156.0,1107.0,580.0,183.0,860.0,60.0,1040.0,41.0,364.0,410.0,513.0,428.0,399.0,32.0,399.0,585.0,727.0,138.0,31.0,864.0,32.0,12.0,125.0,914.0
241.0,803.0,588.0,267.0,785.0,78.0,682.0,45.0,468.0,523.0,620.0,492.0,470.0,34.0,480.0,657.0,772.0,206.0,76.0,840.0,55.0,18.0,196.0,604.0
311.0,583.0,668.0,321.0,831.0,104.0,495.0,57.0,482.0,590.0,626.0,519.0,495.0,50.0,544.0,665.0,763.0,264.0,87.0,747.0,67.0,24.0,214.0,493.0
360.0,444.0,698.0,338.0,737.0,141.0,324.0,108.0,574.0,530.0,682.0,572.0,559.0,73.0,526.0,732.0,702.0,309.0,131.0,689.0,113.0,50.0,259.0,349.0
332.0,368.0,640.0,406.0,711.0,160.0,224.0,129.0,558.0,614.0,713.0,583.0,602.0,78.0,584.0,635.0,672.0,349.0,168.0,713.0,137.0,56.0,323.0,245.0
398.0,241.0,628.0,450.0,614.0,226.0,162.0,151.0,648.0,615.0,660.0,621.0,592.0,121.0,612.0,632.0,607.0,381.0,191.0,674.0,159.0,92.0,351.0,174.0
481.0,174.0,617.0,502.0,559.0,234.0,130.0,207.0,602.0,600.0,642.0,604.0,634.0,159.0,593.0,636.0,596.0,421.0,231.0,533.0,215.0,116.0,390.0,124.0
513.0,146.0,601.0,523.0,527.0,345.0,95.0,204.0,554.0,611.0,539.0,576.0,630.0,189.0,591.0,578.0,603.0,451.0,266.0,553.0,234.0,116.0,464.0,91.0
489.0,109.0,573.0,550.0,449.0,367.0,55.0,291.0,583.0,643.0,557.0,569.0,547.0,192.0,588.0,531.0,538.0,514.0,315.0,486.0,317.0,167.0,499.0,71.0
559.0,79.0,530.0,569.0,410.0,381.0,55.0,310.0,580.0,586.0,533.0,566.0,558.0,282.0,562.0,500.0,456.0,486.0,387.0,428.0,340.0,223.0,561.0,59.0
561.0,62.0,491.0,598.0,381.0,487.0,30.0,359.0,558.0,539.0,484.0,522.0,553.0,284.0,551.0,510.0,397.0,603.0,409.0,397.0,363.0,245.0,579.0,37.0
616.0,32.0,460.0,598.0,285.0,472.0,32.0,424.0,546.0,507.0,444.0,565.0,524.0,396.0,506.0,417.0,395.0,604.0,476.0,346.0,425.0,316.0,581.0,33.0
626.0,28.0,419.0,587.0,274.0,570.0,19.0,500.0,502.0,467.0,374.0,506.0,493.0,412.0,491.0,381.0,354.0,613.0,568.0,283.0,556.0,368.0,587.0,22.0
627.0,19.0,329.0,606.0,197.0,665.0,14.0,594.0,473.0,449.0,393.0,476.0,468.0,498.0,449.0,335.0,266.0,621.0,600.0,268.0,584.0,416.0,638.0,15.0
628.0,21.0,320.0,595.0,171.0,638.0,9.0,666.0,463.0,418.0,345.0,393.0,409.0,577.0,434.0,287.0,258.0,653.0,724.0,214.0,619.0,516.0,629.0,13.0
587.0,11.0,257.0,588.0,182.0,790.0,8.0,711.0,360.0,331.0,287.0,356.0,392.0,686.0,391.0,238.0,200.0,633.0,751.0,157.0,753.0,660.0,666.0,5.0
557.0,7.0,227.0,560.0,124.0,789.0,5.0,853.0,336.0,284.0,241.0,311.0,314.0,819.0,336.0,216.0,172.0,618.0,795.0,150.0,840.0,761.0,674.0,11.0
562.0,3.0,184.0,524.0,81.0,870.0,4.0,900.0,274.0,261.0,188.0,273.0,296.0,995.0,284.0,176.0,91.0,594.0,867.0,87.0,915.0,937.0,633.0,1.0
498.0,3.0,113.0,397.0,53.0,905.0,0.0,1051.0,246.0,227.0,141.0,227.0,229.0,1103.0,235.0,148.0,85.0,560.0,959.0,78.0,971.0,1194.0,576.0,1.0
407.0,2.0,104.0,380.0,32.0,857.0,1.0,1150.0,195.0,155.0,97.0,167.0,146.0,1367.0,149.0,99.0,48.0,471.0,981.0,41.0,1134.0,1493.0,523.0,1.0
294.0,0.0,48.0,221.0,15.0,809.0,1.0,1228.0,124.0,82.0,64.0,92.0,124.0,1639.0,104.0,47.0,32.0,354.0,952.0,20.0,1145.0,2209.0,396.0,0.0
