Alavés,Sevilla,Athletic Club,Atlético Madrid,Barcelona,Celta Vigo,Deportivo,Elche,Espanyol,Levante,Málaga,Osasuna,Racing Santander,Real Betis,Real Madrid,Real Sociedad,Valencia,Villarreal,Rayo Vallecano,Getafe
0.0,0.0,0.0,38.0,7741.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2065.0,0.0,0.0,138.0,0.0,0.0
4.0,1.0,0.0,417.0,1984.0,50.0,27.0,2.0,0.0,1.0,18.0,4.0,20.0,163.0,6143.0,18.0,3.0,1138.0,7.0,0.0
59.0,13.0,8.0,1903.0,244.0,528.0,216.0,30.0,5.0,13.0,169.0,38.0,155.0,1020.0,1307.0,176.0,48.0,4012.0,52.0,4.0
175.0,63.0,22.0,2343.0,23.0,1018.0,462.0,99.0,20.0,61.0,466.0,130.0,451.0,1597.0,323.0,395.0,121.0,2017.0,187.0,27.0
301.0,106.0,50.0,1639.0,3.0,1203.0,705.0,190.0,72.0,103.0,701.0,228.0,665.0,1573.0,107.0,594.0,225.0,1142.0,337.0,56.0
424.0,200.0,76.0,1073.0,4.0,1291.0,866.0,286.0,93.0,183.0,844.0,360.0,782.0,1299.0,24.0,697.0,370.0,596.0,432.0,100.0
507.0,303.0,132.0,750.0,1.0,1062.0,882.0,348.0,138.0,245.0,873.0,476.0,853.0,962.0,23.0,809.0,498.0,394.0,579.0,165.0
629.0,326.0,160.0,557.0,0.0,931.0,907.0,459.0,229.0,320.0,887.0,537.0,846.0,864.0,3.0,801.0,536.0,204.0,616.0,188.0
653.0,449.0,271.0,369.0,0.0,787.0,874.0,517.0,254.0,370.0,871.0,569.0,812.0,634.0,3.0,809.0,634.0,149.0,707.0,268.0
761.0,508.0,272.0,267.0,0.0,621.0,741.0,646.0,301.0,466.0,796.0,651.0,800.0,477.0,0.0,820.0,677.0,79.0,789.0,328.0
769.0,569.0,332.0,193.0,0.0,534.0,760.0,649.0,399.0,513.0,772.0,638.0,774.0,355.0,1.0,793.0,692.0,47.0,799.0,411.0
768.0,656.0,430.0,145.0,0.0,476.0,625.0,722.0,514.0,597.0,662.0,728.0,675.0,269.0,1.0,738.0,716.0,29.0,746.0,503.0
733.0,707.0,562.0,107.0,0.0,393.0,593.0,714.0,548.0,679.0,564.0,731.0,632.0,205.0,0.0,631.0,778.0,22.0,762.0,639.0
767.0,725.0,587.0,76.0,0.0,314.0,504.0,807.0,643.0,773.0,539.0,759.0,551.0,171.0,0.0,560.0,782.0,13.0,734.0,695.0
706.0,840.0,698.0,54.0,0.0,250.0,502.0,782.0,783.0,719.0,458.0,729.0,465.0,142.0,0.0,565.0,786.0,9.0,696.0,816.0
725.0,855.0,770.0,21.0,0.0,198.0,433.0,819.0,851.0,917.0,410.0,753.0,434.0,95.0,0.0,456.0,724.0,6.0,630.0,903.0
623.0,904.0,1009.0,25.0,0.0,149.0,321.0,806.0,1039.0,952.0,331.0,728.0,335.0,74.0,0.0,370.0,683.0,2.0,621.0,1028.0
564.0,983.0,1244.0,18.0,0.0,94.0,277.0,740.0,1125.0,989.0,297.0,693.0,346.0,48.0,0.0,330.0,651.0,2.0,498.0,1101.0
491.0,941.0,1401.0,3.0,0.0,69.0,183.0,736.0,1328.0,1020.0,217.0,681.0,250.0,27.0,0.0,274.0,592.0,1.0,498.0,1288.0
341.0,851.0,1976.0,2.0,0.0,30.0,121.0,648.0,1658.0,1079.0,125.0,567.0,154.0,10.0,0.0,164.0,484.0,0.0,310.0,1480.0
