Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Corinthians,Coritiba,Botafogo,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5044.0,4933.0,15.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4739.0,4855.0,247.0,104.0,26.0,7.0,1.0,1.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.0,181.0,4429.0,2985.0,706.0,268.0,98.0,144.0,30.0,790.0,149.0,17.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
19.0,26.0,2455.0,2911.0,1264.0,665.0,265.0,467.0,65.0,1397.0,362.0,53.0,6.0,19.0,23.0,1.0,1.0,1.0,0.0,0.0
3.0,3.0,1360.0,1681.0,1543.0,1162.0,540.0,779.0,173.0,1725.0,720.0,154.0,5.0,63.0,75.0,6.0,2.0,4.0,2.0,0.0
2.0,2.0,687.0,1012.0,1554.0,1341.0,820.0,1092.0,298.0,1631.0,974.0,288.0,28.0,92.0,152.0,12.0,6.0,7.0,2.0,0.0
0.0,0.0,412.0,582.0,1400.0,1411.0,1011.0,1235.0,518.0,1286.0,1149.0,429.0,39.0,189.0,243.0,26.0,32.0,33.0,5.0,0.0
0.0,0.0,208.0,323.0,1138.0,1286.0,1192.0,1336.0,715.0,994.0,1248.0,651.0,82.0,284.0,373.0,73.0,39.0,48.0,10.0,0.0
0.0,0.0,103.0,181.0,803.0,1151.0,1264.0,1247.0,925.0,772.0,1247.0,870.0,150.0,450.0,554.0,132.0,71.0,59.0,21.0,0.0
0.0,0.0,50.0,106.0,599.0,875.0,1204.0,1133.0,1125.0,550.0,1186.0,1071.0,210.0,646.0,725.0,204.0,117.0,136.0,63.0,0.0
0.0,0.0,23.0,56.0,433.0,685.0,1086.0,903.0,1353.0,322.0,932.0,1229.0,374.0,849.0,926.0,283.0,193.0,258.0,95.0,0.0
0.0,0.0,11.0,25.0,235.0,464.0,917.0,653.0,1316.0,245.0,743.0,1331.0,535.0,1033.0,1158.0,487.0,294.0,382.0,171.0,0.0
0.0,0.0,0.0,17.0,163.0,324.0,627.0,411.0,1167.0,131.0,525.0,1248.0,736.0,1273.0,1237.0,785.0,469.0,547.0,340.0,0.0
0.0,0.0,0.0,6.0,89.0,183.0,434.0,290.0,928.0,73.0,363.0,968.0,1030.0,1286.0,1256.0,1036.0,731.0,784.0,543.0,0.0
0.0,0.0,0.0,2.0,34.0,102.0,257.0,150.0,667.0,34.0,214.0,723.0,1218.0,1284.0,1108.0,1298.0,986.0,1112.0,811.0,0.0
0.0,0.0,0.0,2.0,8.0,48.0,166.0,96.0,365.0,22.0,94.0,479.0,1437.0,954.0,882.0,1500.0,1301.0,1459.0,1185.0,2.0
0.0,0.0,0.0,0.0,4.0,20.0,79.0,39.0,229.0,10.0,58.0,270.0,1484.0,742.0,664.0,1534.0,1552.0,1683.0,1620.0,12.0
0.0,0.0,0.0,0.0,1.0,7.0,29.0,17.0,93.0,1.0,24.0,163.0,1490.0,543.0,404.0,1423.0,1937.0,1677.0,2135.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,33.0,0.0,9.0,55.0,1148.0,285.0,209.0,1156.0,2185.0,1752.0,2902.0,249.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,4.0,5.0,44.0,84.0,58.0,95.0,9681.0
