Espanyol,Alavés,Sevilla,Racing Santander,Villarreal,Athletic Club,Atlético Madrid,Barcelona,Celta Vigo,Deportivo,Elche,Málaga,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Rayo Vallecano,Levante,Getafe
0.0,0.0,0.0,0.0,167.0,0.0,44.0,7722.0,2.0,1.0,0.0,1.0,1.0,10.0,2052.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,3.0,23.0,1153.0,0.0,365.0,1984.0,68.0,17.0,2.0,18.0,4.0,184.0,6147.0,13.0,4.0,4.0,0.0,2.0
36.0,62.0,19.0,187.0,4066.0,1.0,1870.0,261.0,512.0,175.0,27.0,191.0,32.0,958.0,1314.0,160.0,57.0,65.0,4.0,3.0
118.0,193.0,59.0,464.0,1974.0,24.0,2359.0,22.0,1021.0,456.0,82.0,456.0,125.0,1603.0,335.0,376.0,120.0,171.0,16.0,26.0
202.0,295.0,105.0,627.0,1073.0,46.0,1619.0,9.0,1230.0,694.0,176.0,731.0,246.0,1583.0,98.0,584.0,269.0,321.0,28.0,64.0
310.0,417.0,207.0,772.0,628.0,65.0,1163.0,1.0,1190.0,837.0,258.0,787.0,324.0,1273.0,27.0,776.0,333.0,469.0,59.0,104.0
363.0,523.0,264.0,879.0,344.0,110.0,799.0,0.0,1069.0,889.0,345.0,838.0,455.0,1038.0,11.0,822.0,458.0,552.0,82.0,159.0
435.0,569.0,350.0,898.0,231.0,143.0,537.0,1.0,919.0,916.0,412.0,881.0,479.0,857.0,10.0,851.0,575.0,616.0,117.0,203.0
561.0,650.0,449.0,864.0,123.0,232.0,354.0,0.0,770.0,819.0,534.0,834.0,560.0,598.0,4.0,800.0,618.0,746.0,173.0,311.0
605.0,716.0,514.0,745.0,87.0,291.0,267.0,0.0,711.0,816.0,549.0,795.0,619.0,479.0,1.0,784.0,679.0,749.0,248.0,345.0
670.0,784.0,548.0,712.0,56.0,336.0,169.0,0.0,545.0,709.0,672.0,703.0,692.0,355.0,0.0,750.0,741.0,815.0,309.0,434.0
707.0,729.0,627.0,732.0,42.0,423.0,139.0,0.0,469.0,655.0,742.0,691.0,687.0,308.0,1.0,678.0,757.0,731.0,403.0,479.0
730.0,741.0,659.0,623.0,15.0,522.0,114.0,0.0,393.0,594.0,792.0,628.0,730.0,246.0,0.0,645.0,753.0,739.0,462.0,614.0
765.0,754.0,712.0,560.0,15.0,613.0,65.0,0.0,301.0,539.0,775.0,562.0,794.0,172.0,0.0,616.0,770.0,745.0,578.0,664.0
855.0,729.0,817.0,488.0,13.0,670.0,52.0,0.0,247.0,472.0,792.0,504.0,863.0,127.0,0.0,521.0,719.0,720.0,680.0,731.0
815.0,745.0,889.0,429.0,9.0,831.0,35.0,0.0,183.0,428.0,814.0,448.0,726.0,80.0,0.0,498.0,714.0,664.0,827.0,865.0
813.0,669.0,906.0,346.0,2.0,996.0,20.0,0.0,179.0,357.0,766.0,353.0,759.0,58.0,0.0,406.0,726.0,624.0,985.0,1035.0
717.0,608.0,988.0,296.0,2.0,1204.0,12.0,0.0,90.0,290.0,839.0,274.0,699.0,41.0,0.0,310.0,695.0,535.0,1281.0,1119.0
748.0,456.0,982.0,209.0,0.0,1519.0,10.0,0.0,69.0,228.0,775.0,188.0,649.0,23.0,0.0,241.0,565.0,443.0,1584.0,1311.0
550.0,351.0,902.0,146.0,0.0,1974.0,7.0,0.0,32.0,108.0,648.0,117.0,556.0,7.0,0.0,169.0,447.0,291.0,2164.0,1531.0
