Espanyol,Alavés,Sevilla,Racing Santander,Villarreal,Deportivo La Coruña,Elche,Athletic Club,Atlético Madrid,Barcelona,Celta Vigo,Málaga,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Rayo Vallecano,Levante,Getafe
0.0,0.0,0.0,2.0,141.0,0.0,0.0,0.0,49.0,7606.0,4.0,1.0,0.0,10.0,2187.0,0.0,0.0,0.0,0.0,0.0
2.0,7.0,0.0,16.0,1150.0,13.0,2.0,0.0,403.0,2102.0,60.0,17.0,2.0,176.0,6027.0,14.0,4.0,5.0,0.0,0.0
28.0,76.0,17.0,203.0,4029.0,155.0,30.0,4.0,1928.0,244.0,488.0,159.0,45.0,1012.0,1300.0,171.0,41.0,59.0,4.0,7.0
94.0,189.0,66.0,502.0,2119.0,444.0,98.0,14.0,2366.0,39.0,910.0,388.0,120.0,1574.0,316.0,429.0,137.0,163.0,12.0,20.0
203.0,324.0,118.0,645.0,1054.0,585.0,207.0,49.0,1674.0,6.0,1151.0,645.0,249.0,1608.0,104.0,697.0,261.0,315.0,32.0,73.0
286.0,469.0,211.0,799.0,563.0,795.0,295.0,94.0,1113.0,3.0,1194.0,727.0,378.0,1266.0,38.0,777.0,368.0,457.0,58.0,109.0
376.0,574.0,288.0,856.0,364.0,838.0,397.0,138.0,746.0,0.0,1081.0,843.0,414.0,1011.0,16.0,854.0,407.0,542.0,92.0,163.0
466.0,629.0,317.0,904.0,191.0,840.0,472.0,193.0,534.0,0.0,886.0,841.0,509.0,724.0,8.0,911.0,553.0,649.0,134.0,239.0
511.0,717.0,397.0,860.0,112.0,878.0,546.0,247.0,328.0,0.0,771.0,853.0,621.0,586.0,3.0,883.0,560.0,680.0,169.0,278.0
578.0,728.0,452.0,770.0,101.0,798.0,625.0,286.0,268.0,0.0,738.0,786.0,661.0,506.0,0.0,816.0,658.0,676.0,232.0,321.0
700.0,736.0,602.0,723.0,62.0,708.0,665.0,374.0,185.0,0.0,571.0,769.0,669.0,389.0,1.0,688.0,697.0,713.0,319.0,429.0
680.0,751.0,595.0,683.0,50.0,710.0,704.0,438.0,125.0,0.0,479.0,683.0,733.0,305.0,0.0,708.0,698.0,761.0,372.0,525.0
725.0,731.0,741.0,631.0,20.0,630.0,759.0,517.0,88.0,0.0,399.0,648.0,717.0,240.0,0.0,604.0,724.0,752.0,486.0,588.0
753.0,752.0,744.0,573.0,22.0,570.0,768.0,682.0,67.0,0.0,308.0,563.0,732.0,188.0,0.0,550.0,787.0,717.0,554.0,670.0
784.0,735.0,808.0,471.0,14.0,507.0,770.0,720.0,49.0,0.0,284.0,530.0,759.0,137.0,0.0,492.0,775.0,745.0,650.0,770.0
835.0,643.0,874.0,409.0,3.0,439.0,809.0,857.0,32.0,0.0,214.0,433.0,763.0,113.0,0.0,412.0,778.0,648.0,855.0,883.0
829.0,599.0,904.0,344.0,0.0,401.0,778.0,950.0,20.0,0.0,175.0,416.0,746.0,66.0,0.0,335.0,732.0,664.0,1017.0,1024.0
831.0,566.0,954.0,273.0,2.0,326.0,728.0,1179.0,17.0,0.0,153.0,300.0,697.0,48.0,0.0,285.0,697.0,565.0,1269.0,1110.0
716.0,444.0,986.0,220.0,2.0,229.0,715.0,1411.0,6.0,0.0,97.0,245.0,658.0,27.0,0.0,236.0,592.0,521.0,1567.0,1328.0
603.0,330.0,926.0,116.0,1.0,134.0,632.0,1847.0,2.0,0.0,37.0,153.0,527.0,14.0,0.0,138.0,531.0,368.0,2178.0,1463.0
