Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
27.0,2488.0,182.0,30.0,375.0,4.0,3283.0,4.0,2.0,97.0,90.0,72.0,209.0,85.0,125.0,158.0,295.0,29.0,4.0,352.0,2.0,2.0,14.0,2071.0
70.0,1962.0,361.0,73.0,641.0,17.0,2144.0,6.0,7.0,230.0,196.0,184.0,354.0,181.0,199.0,286.0,516.0,58.0,13.0,544.0,7.0,2.0,47.0,1902.0
127.0,1495.0,463.0,156.0,749.0,41.0,1416.0,40.0,17.0,309.0,295.0,306.0,486.0,297.0,292.0,461.0,640.0,107.0,27.0,722.0,17.0,3.0,92.0,1442.0
177.0,1023.0,601.0,214.0,828.0,59.0,902.0,58.0,42.0,425.0,388.0,397.0,614.0,357.0,417.0,551.0,748.0,158.0,46.0,761.0,36.0,11.0,143.0,1044.0
204.0,767.0,633.0,251.0,814.0,72.0,644.0,89.0,45.0,505.0,471.0,426.0,685.0,445.0,475.0,581.0,738.0,226.0,67.0,770.0,65.0,26.0,208.0,793.0
268.0,560.0,630.0,307.0,760.0,117.0,423.0,134.0,63.0,533.0,528.0,469.0,634.0,521.0,558.0,636.0,760.0,278.0,86.0,773.0,84.0,29.0,229.0,620.0
315.0,374.0,658.0,394.0,760.0,140.0,315.0,152.0,86.0,609.0,528.0,548.0,652.0,497.0,547.0,644.0,669.0,324.0,116.0,730.0,98.0,42.0,313.0,489.0
357.0,336.0,656.0,418.0,717.0,148.0,219.0,195.0,135.0,579.0,565.0,588.0,642.0,580.0,573.0,610.0,680.0,332.0,148.0,667.0,121.0,67.0,276.0,391.0
405.0,245.0,625.0,388.0,609.0,205.0,180.0,237.0,125.0,586.0,584.0,574.0,655.0,570.0,575.0,636.0,639.0,403.0,203.0,669.0,170.0,83.0,361.0,273.0
430.0,188.0,646.0,467.0,571.0,259.0,120.0,278.0,203.0,604.0,576.0,590.0,556.0,564.0,600.0,603.0,603.0,437.0,244.0,548.0,208.0,96.0,381.0,228.0
478.0,138.0,563.0,512.0,488.0,271.0,99.0,313.0,203.0,568.0,597.0,579.0,599.0,597.0,591.0,597.0,532.0,475.0,271.0,465.0,236.0,147.0,490.0,191.0
509.0,108.0,569.0,558.0,431.0,375.0,77.0,353.0,272.0,583.0,584.0,538.0,483.0,537.0,606.0,554.0,495.0,521.0,317.0,477.0,289.0,143.0,472.0,149.0
560.0,84.0,507.0,559.0,403.0,394.0,57.0,383.0,318.0,528.0,561.0,599.0,532.0,537.0,550.0,493.0,470.0,520.0,358.0,459.0,320.0,199.0,495.0,114.0
568.0,66.0,449.0,591.0,331.0,481.0,35.0,427.0,366.0,554.0,561.0,530.0,445.0,575.0,564.0,474.0,397.0,538.0,396.0,358.0,409.0,256.0,537.0,92.0
608.0,51.0,407.0,590.0,311.0,530.0,29.0,450.0,429.0,538.0,513.0,541.0,412.0,517.0,513.0,453.0,350.0,588.0,510.0,323.0,422.0,298.0,559.0,58.0
604.0,46.0,370.0,569.0,281.0,544.0,20.0,558.0,478.0,482.0,487.0,509.0,386.0,513.0,474.0,428.0,320.0,642.0,556.0,319.0,450.0,346.0,572.0,46.0
615.0,22.0,382.0,610.0,204.0,593.0,19.0,613.0,534.0,439.0,459.0,441.0,360.0,478.0,476.0,382.0,251.0,576.0,603.0,253.0,547.0,433.0,683.0,27.0
652.0,17.0,304.0,601.0,193.0,635.0,9.0,677.0,620.0,416.0,440.0,434.0,310.0,432.0,395.0,333.0,221.0,615.0,685.0,209.0,639.0,514.0,627.0,22.0
582.0,12.0,287.0,562.0,161.0,725.0,4.0,687.0,689.0,341.0,402.0,394.0,278.0,444.0,361.0,324.0,191.0,614.0,686.0,186.0,724.0,653.0,676.0,17.0
655.0,7.0,216.0,536.0,128.0,817.0,2.0,770.0,844.0,299.0,359.0,332.0,250.0,353.0,338.0,264.0,163.0,600.0,757.0,143.0,824.0,741.0,592.0,10.0
541.0,7.0,205.0,513.0,98.0,849.0,3.0,852.0,950.0,272.0,266.0,317.0,160.0,297.0,284.0,205.0,126.0,584.0,889.0,99.0,938.0,915.0,619.0,11.0
505.0,2.0,140.0,444.0,77.0,868.0,0.0,896.0,1023.0,214.0,233.0,267.0,154.0,263.0,216.0,154.0,103.0,543.0,964.0,88.0,1036.0,1171.0,634.0,5.0
407.0,2.0,95.0,393.0,49.0,940.0,0.0,943.0,1178.0,196.0,220.0,218.0,81.0,231.0,161.0,118.0,59.0,460.0,1007.0,58.0,1122.0,1512.0,547.0,3.0
336.0,0.0,51.0,264.0,21.0,916.0,0.0,885.0,1371.0,93.0,97.0,147.0,63.0,129.0,110.0,55.0,34.0,372.0,1047.0,27.0,1236.0,2311.0,433.0,2.0
