AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
256.0,139.0,37.0,1.0,721.0,7423.0,556.0,25.0,2.0,435.0,0.0,388.0,4.0,13.0,0.0,0.0,0.0,0.0
955.0,595.0,225.0,2.0,1934.0,1466.0,1930.0,249.0,10.0,1297.0,0.0,1253.0,13.0,71.0,0.0,0.0,0.0,0.0
1124.0,841.0,343.0,13.0,1671.0,653.0,1747.0,435.0,51.0,1455.0,1.0,1465.0,48.0,153.0,0.0,0.0,0.0,0.0
1303.0,1056.0,557.0,33.0,1454.0,250.0,1566.0,598.0,101.0,1358.0,1.0,1387.0,78.0,257.0,0.0,1.0,0.0,0.0
1331.0,1176.0,670.0,70.0,1189.0,110.0,1226.0,849.0,161.0,1315.0,3.0,1318.0,163.0,416.0,1.0,1.0,1.0,0.0
1220.0,1296.0,902.0,118.0,956.0,59.0,973.0,996.0,283.0,1218.0,9.0,1150.0,253.0,565.0,0.0,2.0,0.0,0.0
1148.0,1251.0,1084.0,225.0,753.0,27.0,738.0,1215.0,405.0,942.0,26.0,975.0,401.0,798.0,2.0,5.0,3.0,2.0
949.0,1170.0,1232.0,379.0,506.0,6.0,515.0,1335.0,617.0,720.0,69.0,815.0,594.0,1066.0,3.0,14.0,5.0,5.0
682.0,986.0,1406.0,536.0,388.0,3.0,357.0,1254.0,889.0,536.0,127.0,572.0,901.0,1307.0,6.0,26.0,15.0,9.0
489.0,669.0,1263.0,896.0,246.0,1.0,202.0,1127.0,1288.0,362.0,265.0,332.0,1192.0,1511.0,24.0,57.0,52.0,24.0
267.0,434.0,1007.0,1254.0,100.0,1.0,123.0,838.0,1638.0,203.0,499.0,198.0,1606.0,1426.0,46.0,150.0,124.0,86.0
168.0,245.0,667.0,1688.0,56.0,1.0,49.0,607.0,1728.0,98.0,857.0,84.0,1723.0,1127.0,135.0,320.0,267.0,180.0
75.0,89.0,370.0,1969.0,19.0,0.0,13.0,305.0,1347.0,45.0,1538.0,39.0,1416.0,705.0,339.0,680.0,617.0,434.0
24.0,39.0,151.0,1391.0,7.0,0.0,4.0,111.0,794.0,11.0,2081.0,20.0,861.0,354.0,726.0,1293.0,1212.0,921.0
7.0,11.0,58.0,717.0,0.0,0.0,1.0,43.0,390.0,4.0,1837.0,2.0,438.0,155.0,1326.0,1901.0,1671.0,1439.0
2.0,1.0,21.0,400.0,0.0,0.0,0.0,11.0,189.0,1.0,1289.0,2.0,195.0,48.0,1875.0,2040.0,1996.0,1930.0
0.0,2.0,6.0,221.0,0.0,0.0,0.0,2.0,80.0,0.0,913.0,0.0,85.0,22.0,2358.0,1911.0,2070.0,2330.0
0.0,0.0,1.0,87.0,0.0,0.0,0.0,0.0,27.0,0.0,485.0,0.0,29.0,6.0,3159.0,1599.0,1967.0,2640.0
