Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3348.0,6642.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6444.0,3282.0,183.0,59.0,28.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.0,73.0,4526.0,2847.0,1322.0,209.0,86.0,297.0,54.0,16.0,350.0,0.0,22.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0
13.0,3.0,2484.0,2938.0,1914.0,496.0,262.0,720.0,203.0,55.0,819.0,7.0,69.0,6.0,8.0,1.0,2.0,0.0,0.0,0.0
4.0,0.0,1339.0,1770.0,1951.0,1021.0,583.0,1198.0,401.0,195.0,1303.0,31.0,146.0,15.0,21.0,3.0,19.0,0.0,0.0,0.0
0.0,0.0,708.0,1057.0,1570.0,1280.0,854.0,1431.0,733.0,361.0,1539.0,57.0,257.0,33.0,52.0,10.0,54.0,3.0,1.0,0.0
0.0,0.0,384.0,612.0,1168.0,1397.0,1087.0,1510.0,988.0,522.0,1435.0,125.0,440.0,72.0,118.0,16.0,113.0,8.0,5.0,0.0
0.0,0.0,195.0,349.0,805.0,1456.0,1271.0,1272.0,1191.0,763.0,1282.0,179.0,693.0,119.0,173.0,42.0,184.0,12.0,14.0,0.0
0.0,0.0,104.0,176.0,536.0,1194.0,1311.0,1150.0,1412.0,997.0,1031.0,341.0,877.0,208.0,264.0,79.0,276.0,21.0,23.0,0.0
0.0,0.0,40.0,102.0,326.0,1022.0,1260.0,880.0,1301.0,1193.0,804.0,447.0,1093.0,347.0,457.0,156.0,468.0,58.0,46.0,0.0
0.0,0.0,15.0,50.0,193.0,728.0,1069.0,620.0,1194.0,1299.0,579.0,705.0,1291.0,530.0,619.0,224.0,678.0,111.0,95.0,0.0
0.0,0.0,10.0,27.0,93.0,499.0,798.0,395.0,895.0,1329.0,361.0,949.0,1338.0,761.0,928.0,412.0,848.0,186.0,170.0,1.0
0.0,0.0,4.0,6.0,55.0,317.0,573.0,249.0,681.0,1128.0,238.0,1076.0,1174.0,1013.0,1100.0,688.0,1095.0,328.0,275.0,0.0
0.0,0.0,2.0,3.0,24.0,200.0,358.0,150.0,440.0,839.0,136.0,1346.0,934.0,1132.0,1280.0,945.0,1229.0,524.0,457.0,1.0
0.0,0.0,0.0,1.0,11.0,94.0,236.0,72.0,279.0,574.0,61.0,1373.0,720.0,1314.0,1237.0,1193.0,1308.0,837.0,686.0,4.0
0.0,0.0,0.0,0.0,3.0,56.0,147.0,33.0,123.0,357.0,34.0,1239.0,451.0,1379.0,1194.0,1452.0,1274.0,1253.0,1000.0,5.0
0.0,0.0,0.0,0.0,0.0,22.0,70.0,16.0,78.0,230.0,20.0,1080.0,267.0,1238.0,1092.0,1582.0,1113.0,1736.0,1447.0,9.0
0.0,0.0,0.0,0.0,0.0,7.0,26.0,5.0,23.0,105.0,4.0,669.0,169.0,1086.0,904.0,1688.0,824.0,2287.0,2160.0,43.0
0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,4.0,37.0,2.0,369.0,59.0,735.0,539.0,1473.0,494.0,2536.0,3494.0,247.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,11.0,36.0,19.0,100.0,127.0,9690.0
