Arouca,FC Porto,Maritimo,C.D. Nacional,Santa Clara,Benfica,Sporting CP,Gil Vicente,Estrela,Braga,FC Famalicao,Estoril,Moreirense,Académico de Viseu,Alverca,Vitória de Guimaraes,Rio Ave,Casa Pia
0.0,3957.0,14.0,0.0,0.0,2736.0,3257.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3177.0,38.0,0.0,0.0,3271.0,3369.0,3.0,0.0,132.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
6.0,2595.0,83.0,2.0,0.0,3566.0,3058.0,39.0,0.0,597.0,36.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
307.0,254.0,617.0,144.0,97.0,395.0,284.0,1060.0,11.0,5831.0,793.0,49.0,0.0,155.0,1.0,2.0,0.0,0.0
1116.0,17.0,907.0,558.0,431.0,31.0,28.0,2187.0,56.0,1967.0,2109.0,222.0,16.0,294.0,19.0,41.0,1.0,0.0
1487.0,0.0,757.0,952.0,709.0,1.0,4.0,2019.0,124.0,792.0,2152.0,453.0,41.0,331.0,56.0,119.0,3.0,0.0
1655.0,0.0,702.0,1251.0,980.0,0.0,0.0,1517.0,259.0,359.0,1653.0,696.0,119.0,419.0,134.0,226.0,26.0,4.0
1431.0,0.0,704.0,1388.0,1201.0,0.0,0.0,1171.0,462.0,167.0,1220.0,935.0,218.0,414.0,239.0,387.0,53.0,10.0
1222.0,0.0,705.0,1371.0,1375.0,0.0,0.0,713.0,646.0,68.0,798.0,1251.0,351.0,433.0,371.0,565.0,116.0,15.0
912.0,0.0,681.0,1235.0,1344.0,0.0,0.0,527.0,837.0,29.0,539.0,1312.0,454.0,538.0,569.0,772.0,213.0,38.0
700.0,0.0,676.0,1013.0,1168.0,0.0,0.0,348.0,1025.0,13.0,338.0,1298.0,665.0,577.0,780.0,995.0,344.0,60.0
482.0,0.0,623.0,783.0,907.0,0.0,0.0,205.0,1236.0,4.0,187.0,1137.0,911.0,643.0,1018.0,1240.0,514.0,110.0
305.0,0.0,601.0,543.0,689.0,0.0,0.0,106.0,1329.0,4.0,95.0,890.0,1227.0,631.0,1305.0,1316.0,751.0,208.0
195.0,0.0,610.0,368.0,491.0,0.0,0.0,57.0,1251.0,2.0,32.0,718.0,1357.0,776.0,1376.0,1309.0,1086.0,372.0
110.0,0.0,599.0,215.0,311.0,0.0,0.0,27.0,1118.0,0.0,27.0,522.0,1499.0,818.0,1418.0,1183.0,1434.0,719.0
54.0,0.0,615.0,108.0,204.0,0.0,0.0,18.0,856.0,0.0,14.0,317.0,1440.0,996.0,1264.0,938.0,1942.0,1234.0
16.0,0.0,594.0,58.0,76.0,0.0,0.0,3.0,561.0,0.0,4.0,143.0,1097.0,1199.0,1007.0,619.0,2096.0,2527.0
2.0,0.0,474.0,11.0,17.0,0.0,0.0,0.0,229.0,0.0,1.0,57.0,605.0,1749.0,443.0,288.0,1421.0,4703.0
