Marseille,Angers,AJ Auxerre,Brest,Le Havre AC,Le Mans,Lens,Lille,Lorient,Lyon,AS Monaco,Nice,Paris FC,Paris Saint-Germain,Stade Rennais,Toulouse,Troyes,Strasbourg
299.0,0.0,1.0,0.0,0.0,6.0,1755.0,154.0,4.0,77.0,19.0,0.0,2.0,7633.0,40.0,1.0,0.0,9.0
1607.0,0.0,6.0,1.0,0.0,55.0,4536.0,817.0,48.0,442.0,176.0,0.0,55.0,1769.0,320.0,46.0,45.0,77.0
2399.0,0.0,36.0,7.0,11.0,198.0,1897.0,1715.0,178.0,1053.0,466.0,1.0,172.0,427.0,806.0,153.0,170.0,311.0
1779.0,1.0,90.0,28.0,21.0,345.0,900.0,1750.0,340.0,1388.0,720.0,0.0,335.0,116.0,1081.0,302.0,303.0,501.0
1231.0,5.0,161.0,67.0,51.0,494.0,398.0,1494.0,479.0,1455.0,900.0,2.0,437.0,36.0,1220.0,429.0,417.0,724.0
884.0,8.0,238.0,88.0,75.0,665.0,210.0,1092.0,691.0,1203.0,1001.0,8.0,610.0,12.0,1156.0,594.0,621.0,844.0
605.0,12.0,322.0,151.0,155.0,758.0,135.0,845.0,733.0,1105.0,1006.0,7.0,739.0,7.0,1118.0,694.0,671.0,937.0
411.0,25.0,441.0,241.0,201.0,860.0,80.0,625.0,837.0,860.0,1018.0,22.0,863.0,0.0,924.0,818.0,851.0,923.0
294.0,40.0,598.0,301.0,273.0,888.0,42.0,488.0,912.0,676.0,943.0,40.0,936.0,0.0,827.0,859.0,895.0,988.0
169.0,60.0,710.0,428.0,401.0,951.0,24.0,372.0,936.0,519.0,883.0,53.0,932.0,0.0,716.0,937.0,944.0,965.0
144.0,126.0,836.0,560.0,517.0,982.0,10.0,265.0,922.0,400.0,723.0,103.0,986.0,0.0,544.0,976.0,999.0,907.0
85.0,202.0,1008.0,715.0,730.0,951.0,5.0,151.0,919.0,291.0,619.0,153.0,942.0,0.0,451.0,977.0,999.0,802.0
45.0,327.0,1115.0,932.0,951.0,841.0,4.0,88.0,878.0,219.0,563.0,279.0,933.0,0.0,297.0,952.0,898.0,678.0
28.0,550.0,1254.0,1244.0,1191.0,738.0,3.0,77.0,739.0,151.0,417.0,434.0,763.0,0.0,225.0,811.0,824.0,551.0
9.0,964.0,1159.0,1511.0,1534.0,564.0,1.0,39.0,628.0,97.0,290.0,810.0,565.0,0.0,145.0,672.0,616.0,396.0
9.0,1611.0,982.0,1567.0,1692.0,405.0,0.0,17.0,422.0,41.0,173.0,1421.0,433.0,0.0,99.0,452.0,418.0,258.0
2.0,2660.0,715.0,1334.0,1332.0,216.0,0.0,7.0,253.0,19.0,54.0,2574.0,228.0,0.0,26.0,231.0,248.0,101.0
0.0,3409.0,328.0,825.0,865.0,83.0,0.0,4.0,81.0,4.0,29.0,4093.0,69.0,0.0,5.0,96.0,81.0,28.0
