Millwall,Charlton Athletic,Wolverhampton Wanderers,Queens Park Rangers,Blackburn Rovers,Watford,Swansea City,Bolton Wanderers,West Bromwich Albion,Portsmouth,Middlesbrough,Cardiff City,Wrexham,Birmingham City,Sheffield United,Burnley,West Ham United,Derby County,Bristol City,Lincoln City,Preston North End,Stoke City,Norwich City,Southampton
1316.0,3.0,3062.0,2.0,3.0,2.0,36.0,109.0,7.0,2.0,514.0,111.0,39.0,13.0,37.0,2281.0,1502.0,41.0,5.0,32.0,1.0,1.0,24.0,857.0
2177.0,8.0,1460.0,17.0,5.0,5.0,124.0,163.0,23.0,4.0,1170.0,126.0,90.0,72.0,95.0,1326.0,1152.0,169.0,18.0,51.0,0.0,1.0,81.0,1663.0
2064.0,37.0,941.0,49.0,21.0,24.0,247.0,175.0,54.0,9.0,1535.0,138.0,223.0,157.0,230.0,879.0,854.0,286.0,34.0,56.0,4.0,2.0,197.0,1784.0
1477.0,92.0,696.0,78.0,55.0,31.0,406.0,187.0,128.0,35.0,1564.0,160.0,350.0,278.0,396.0,662.0,748.0,495.0,88.0,82.0,7.0,9.0,320.0,1656.0
1096.0,146.0,533.0,167.0,77.0,76.0,573.0,209.0,179.0,49.0,1439.0,161.0,530.0,403.0,549.0,575.0,584.0,674.0,157.0,79.0,26.0,25.0,509.0,1184.0
666.0,211.0,405.0,256.0,120.0,126.0,723.0,233.0,320.0,97.0,1072.0,204.0,650.0,548.0,632.0,491.0,486.0,812.0,242.0,105.0,38.0,48.0,623.0,892.0
424.0,304.0,383.0,325.0,199.0,200.0,784.0,218.0,441.0,154.0,769.0,220.0,720.0,612.0,789.0,346.0,422.0,875.0,296.0,87.0,60.0,71.0,698.0,603.0
262.0,380.0,297.0,372.0,287.0,253.0,752.0,253.0,465.0,202.0,539.0,224.0,800.0,645.0,857.0,322.0,374.0,829.0,393.0,113.0,79.0,109.0,760.0,433.0
187.0,475.0,244.0,473.0,404.0,311.0,722.0,228.0,501.0,279.0,397.0,182.0,810.0,733.0,710.0,289.0,334.0,833.0,474.0,135.0,127.0,123.0,750.0,279.0
115.0,488.0,214.0,530.0,423.0,358.0,793.0,231.0,601.0,284.0,273.0,194.0,691.0,700.0,762.0,255.0,311.0,737.0,546.0,135.0,192.0,203.0,749.0,215.0
73.0,608.0,184.0,598.0,442.0,426.0,686.0,249.0,630.0,363.0,219.0,221.0,746.0,719.0,716.0,219.0,259.0,643.0,558.0,115.0,219.0,223.0,739.0,145.0
48.0,651.0,169.0,618.0,528.0,487.0,642.0,242.0,639.0,422.0,141.0,209.0,669.0,758.0,648.0,237.0,240.0,653.0,606.0,141.0,237.0,279.0,656.0,80.0
34.0,657.0,126.0,579.0,657.0,525.0,615.0,248.0,711.0,471.0,124.0,213.0,594.0,614.0,593.0,215.0,267.0,582.0,658.0,148.0,341.0,321.0,638.0,69.0
23.0,718.0,151.0,639.0,656.0,560.0,540.0,240.0,673.0,530.0,69.0,216.0,561.0,644.0,565.0,199.0,224.0,458.0,725.0,154.0,421.0,402.0,580.0,52.0
17.0,689.0,152.0,686.0,677.0,652.0,487.0,305.0,676.0,589.0,55.0,252.0,526.0,562.0,512.0,176.0,230.0,412.0,686.0,143.0,487.0,463.0,533.0,33.0
8.0,716.0,117.0,756.0,706.0,651.0,443.0,311.0,674.0,672.0,42.0,262.0,412.0,533.0,408.0,168.0,230.0,364.0,708.0,187.0,571.0,526.0,511.0,24.0
5.0,750.0,114.0,746.0,710.0,741.0,355.0,298.0,627.0,763.0,28.0,307.0,391.0,476.0,376.0,141.0,236.0,316.0,700.0,207.0,658.0,650.0,396.0,9.0
1.0,678.0,120.0,685.0,793.0,792.0,317.0,353.0,657.0,771.0,20.0,318.0,357.0,440.0,317.0,147.0,198.0,250.0,702.0,231.0,771.0,738.0,335.0,9.0
6.0,613.0,127.0,621.0,786.0,856.0,238.0,406.0,574.0,879.0,13.0,376.0,290.0,345.0,267.0,171.0,190.0,206.0,623.0,294.0,870.0,919.0,324.0,6.0
1.0,604.0,108.0,584.0,735.0,837.0,223.0,491.0,455.0,899.0,8.0,483.0,232.0,294.0,223.0,161.0,224.0,166.0,588.0,399.0,1053.0,1005.0,223.0,4.0
0.0,516.0,104.0,519.0,692.0,827.0,150.0,614.0,417.0,903.0,8.0,616.0,143.0,215.0,163.0,191.0,231.0,110.0,510.0,503.0,1202.0,1199.0,166.0,1.0
0.0,398.0,115.0,406.0,551.0,684.0,83.0,957.0,311.0,858.0,1.0,909.0,107.0,144.0,90.0,195.0,242.0,61.0,392.0,832.0,1293.0,1269.0,101.0,1.0
0.0,196.0,117.0,223.0,360.0,436.0,53.0,1595.0,179.0,548.0,0.0,1687.0,58.0,77.0,53.0,214.0,282.0,20.0,229.0,1678.0,941.0,980.0,73.0,1.0
0.0,62.0,61.0,71.0,113.0,140.0,8.0,1685.0,58.0,217.0,0.0,2211.0,11.0,18.0,12.0,140.0,180.0,8.0,62.0,4093.0,402.0,434.0,14.0,0.0
