Sevilla,Alavés,Espanyol,Atlético Madrid,Real Madrid,Real Betis,Racing Santander,Villarreal,Deportivo La Coruña,Elche,Valencia,Celta Vigo,Rayo Vallecano,Barcelona,Osasuna,Real Sociedad,Athletic Club,Málaga,Levante,Getafe
0.0,0.0,0.0,72.0,2680.0,30.0,15.0,128.0,15.0,0.0,0.0,0.0,0.0,7059.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,3.0,0.0,582.0,5710.0,219.0,58.0,740.0,41.0,0.0,4.0,54.0,6.0,2564.0,0.0,6.0,0.0,9.0,0.0,1.0
57.0,51.0,20.0,2534.0,1179.0,1382.0,207.0,3490.0,128.0,13.0,21.0,377.0,60.0,296.0,32.0,87.0,2.0,53.0,5.0,6.0
212.0,173.0,56.0,2585.0,296.0,1994.0,249.0,2456.0,189.0,73.0,112.0,896.0,135.0,70.0,129.0,248.0,3.0,86.0,15.0,23.0
421.0,376.0,152.0,1734.0,104.0,2062.0,281.0,1466.0,227.0,218.0,295.0,1335.0,294.0,10.0,284.0,524.0,12.0,103.0,27.0,75.0
696.0,556.0,287.0,1003.0,25.0,1477.0,310.0,776.0,279.0,364.0,471.0,1576.0,555.0,1.0,462.0,781.0,34.0,123.0,98.0,126.0
838.0,784.0,415.0,587.0,4.0,927.0,316.0,447.0,268.0,551.0,642.0,1341.0,734.0,0.0,645.0,937.0,75.0,112.0,162.0,215.0
953.0,888.0,540.0,335.0,2.0,615.0,274.0,213.0,272.0,687.0,760.0,1031.0,862.0,0.0,797.0,943.0,123.0,141.0,230.0,334.0
979.0,941.0,623.0,228.0,0.0,444.0,296.0,133.0,274.0,760.0,816.0,830.0,872.0,0.0,774.0,937.0,167.0,158.0,317.0,451.0
926.0,881.0,729.0,137.0,0.0,303.0,324.0,62.0,314.0,794.0,880.0,647.0,891.0,0.0,843.0,928.0,233.0,173.0,415.0,520.0
843.0,952.0,828.0,81.0,0.0,213.0,317.0,29.0,290.0,822.0,858.0,534.0,919.0,0.0,846.0,866.0,290.0,158.0,514.0,640.0
804.0,861.0,808.0,54.0,0.0,133.0,350.0,24.0,297.0,918.0,879.0,393.0,862.0,0.0,838.0,838.0,414.0,194.0,609.0,724.0
761.0,757.0,885.0,20.0,0.0,98.0,369.0,17.0,333.0,857.0,881.0,329.0,800.0,0.0,879.0,684.0,555.0,229.0,717.0,829.0
710.0,708.0,942.0,19.0,0.0,47.0,371.0,6.0,365.0,861.0,751.0,224.0,762.0,0.0,802.0,645.0,714.0,278.0,860.0,935.0
550.0,680.0,950.0,18.0,0.0,27.0,445.0,5.0,432.0,826.0,793.0,177.0,663.0,0.0,754.0,519.0,857.0,293.0,1006.0,1005.0
456.0,521.0,876.0,5.0,0.0,12.0,490.0,5.0,532.0,781.0,659.0,107.0,597.0,0.0,672.0,480.0,1154.0,435.0,1177.0,1041.0
409.0,402.0,751.0,2.0,0.0,9.0,696.0,2.0,681.0,613.0,554.0,80.0,473.0,0.0,553.0,296.0,1481.0,579.0,1305.0,1114.0
241.0,277.0,636.0,4.0,0.0,7.0,1002.0,1.0,1006.0,489.0,398.0,47.0,319.0,0.0,398.0,181.0,1736.0,944.0,1296.0,1018.0
111.0,159.0,384.0,0.0,0.0,1.0,1742.0,0.0,1779.0,290.0,178.0,18.0,154.0,0.0,223.0,76.0,1470.0,1826.0,907.0,682.0
30.0,30.0,118.0,0.0,0.0,0.0,1888.0,0.0,2278.0,83.0,48.0,4.0,42.0,0.0,69.0,24.0,680.0,4105.0,340.0,261.0
