Sevilla,Alavés,Atlético Madrid,Barcelona,Espanyol,Real Madrid,Real Betis,Getafe,Villarreal,Deportivo La Coruña,Osasuna,Valencia,Celta Vigo,Racing Santander,Rayo Vallecano,Málaga,Levante,Elche,Real Sociedad,Athletic Club
0.0,0.0,17.0,8346.0,0.0,1581.0,8.0,0.0,40.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
3.0,4.0,428.0,1560.0,2.0,7019.0,187.0,2.0,683.0,31.0,2.0,0.0,32.0,26.0,4.0,8.0,1.0,0.0,6.0,2.0
72.0,85.0,2368.0,86.0,25.0,1050.0,1628.0,14.0,3680.0,130.0,30.0,57.0,437.0,108.0,51.0,72.0,2.0,4.0,99.0,2.0
221.0,198.0,2577.0,7.0,59.0,248.0,2081.0,53.0,2429.0,192.0,113.0,133.0,950.0,150.0,173.0,91.0,23.0,17.0,280.0,5.0
482.0,444.0,1779.0,1.0,154.0,72.0,2058.0,153.0,1435.0,207.0,226.0,283.0,1367.0,165.0,354.0,123.0,44.0,52.0,574.0,27.0
708.0,650.0,1100.0,0.0,324.0,23.0,1398.0,246.0,775.0,257.0,440.0,522.0,1604.0,209.0,539.0,125.0,95.0,109.0,831.0,45.0
847.0,721.0,641.0,0.0,492.0,2.0,899.0,405.0,424.0,285.0,553.0,666.0,1334.0,257.0,757.0,186.0,180.0,209.0,1046.0,96.0
987.0,908.0,395.0,0.0,568.0,4.0,580.0,516.0,233.0,273.0,750.0,807.0,1010.0,249.0,842.0,163.0,241.0,307.0,1038.0,129.0
944.0,961.0,237.0,0.0,663.0,0.0,371.0,635.0,140.0,288.0,816.0,826.0,847.0,240.0,943.0,208.0,326.0,416.0,958.0,181.0
961.0,908.0,157.0,0.0,799.0,0.0,280.0,721.0,67.0,283.0,868.0,873.0,626.0,274.0,860.0,219.0,460.0,487.0,901.0,256.0
885.0,875.0,112.0,0.0,824.0,1.0,186.0,781.0,43.0,327.0,829.0,900.0,489.0,282.0,944.0,244.0,507.0,602.0,821.0,348.0
783.0,828.0,90.0,0.0,865.0,0.0,116.0,908.0,31.0,326.0,842.0,840.0,378.0,306.0,865.0,235.0,681.0,677.0,781.0,448.0
763.0,778.0,42.0,0.0,899.0,0.0,78.0,916.0,8.0,346.0,853.0,847.0,327.0,348.0,782.0,276.0,754.0,748.0,654.0,581.0
628.0,683.0,31.0,0.0,889.0,0.0,55.0,926.0,4.0,412.0,811.0,765.0,206.0,378.0,734.0,347.0,924.0,907.0,608.0,692.0
539.0,611.0,11.0,0.0,868.0,0.0,40.0,940.0,5.0,434.0,751.0,726.0,135.0,448.0,665.0,433.0,992.0,1011.0,449.0,942.0
458.0,500.0,7.0,0.0,818.0,0.0,22.0,906.0,2.0,588.0,713.0,622.0,119.0,515.0,539.0,451.0,1142.0,1089.0,401.0,1108.0
355.0,402.0,5.0,0.0,719.0,0.0,8.0,807.0,1.0,748.0,625.0,482.0,73.0,655.0,439.0,667.0,1242.0,1098.0,269.0,1405.0
213.0,283.0,3.0,0.0,578.0,0.0,3.0,622.0,0.0,1134.0,430.0,389.0,47.0,1058.0,300.0,954.0,1133.0,1091.0,173.0,1589.0
119.0,118.0,0.0,0.0,349.0,0.0,2.0,315.0,0.0,1670.0,246.0,195.0,12.0,1750.0,165.0,1797.0,885.0,847.0,73.0,1457.0
32.0,43.0,0.0,0.0,105.0,0.0,0.0,134.0,0.0,2066.0,102.0,67.0,6.0,2580.0,44.0,3399.0,368.0,329.0,38.0,687.0
