AS Roma,Internazionale,Lecce,Napoli,AC Milan,Atalanta,Cagliari,Juventus,Lazio,Como,Udinese,Sassuolo,Torino,Bologna,Frosinone,Parma,Genoa,Venezia,Monza,Fiorentina
1404.0,6532.0,0.0,267.0,60.0,61.0,0.0,507.0,0.0,1164.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
2603.0,2015.0,0.0,937.0,247.0,272.0,0.0,1304.0,11.0,2585.0,8.0,1.0,0.0,6.0,4.0,0.0,0.0,3.0,4.0,0.0
2326.0,881.0,0.0,1506.0,580.0,517.0,1.0,1872.0,24.0,2258.0,12.0,3.0,0.0,7.0,5.0,0.0,0.0,2.0,4.0,2.0
1687.0,400.0,1.0,1893.0,982.0,1013.0,6.0,2046.0,91.0,1759.0,49.0,16.0,1.0,27.0,11.0,0.0,3.0,4.0,11.0,0.0
1019.0,120.0,5.0,2154.0,1565.0,1551.0,26.0,1792.0,225.0,1193.0,140.0,40.0,0.0,97.0,22.0,1.0,6.0,10.0,26.0,8.0
562.0,43.0,11.0,1607.0,2190.0,2095.0,60.0,1288.0,565.0,640.0,379.0,116.0,12.0,264.0,38.0,1.0,20.0,30.0,34.0,45.0
269.0,8.0,36.0,942.0,2081.0,2144.0,202.0,747.0,1124.0,270.0,825.0,343.0,48.0,594.0,61.0,3.0,102.0,43.0,64.0,94.0
92.0,1.0,111.0,414.0,1080.0,1173.0,531.0,263.0,1932.0,88.0,1445.0,761.0,120.0,1110.0,124.0,26.0,274.0,94.0,88.0,273.0
32.0,0.0,253.0,155.0,614.0,541.0,849.0,125.0,1683.0,31.0,1605.0,1062.0,268.0,1385.0,172.0,69.0,446.0,104.0,131.0,475.0
3.0,0.0,364.0,70.0,314.0,298.0,1047.0,32.0,1341.0,8.0,1456.0,1278.0,417.0,1434.0,189.0,129.0,680.0,111.0,167.0,662.0
2.0,0.0,572.0,30.0,144.0,177.0,1137.0,14.0,1017.0,2.0,1255.0,1224.0,590.0,1296.0,220.0,222.0,876.0,152.0,194.0,876.0
1.0,0.0,756.0,12.0,76.0,80.0,1176.0,5.0,691.0,1.0,899.0,1287.0,807.0,1083.0,278.0,386.0,1048.0,211.0,204.0,999.0
0.0,0.0,964.0,10.0,46.0,42.0,1201.0,4.0,529.0,1.0,669.0,1039.0,997.0,853.0,337.0,520.0,1145.0,237.0,252.0,1154.0
0.0,0.0,1177.0,3.0,11.0,20.0,1034.0,0.0,334.0,0.0,520.0,892.0,1170.0,657.0,371.0,712.0,1241.0,306.0,323.0,1229.0
0.0,0.0,1314.0,0.0,4.0,10.0,956.0,0.0,237.0,0.0,310.0,747.0,1297.0,491.0,492.0,1078.0,1161.0,324.0,406.0,1173.0
0.0,0.0,1411.0,0.0,3.0,5.0,788.0,1.0,113.0,0.0,215.0,501.0,1348.0,342.0,637.0,1398.0,1117.0,496.0,499.0,1126.0
0.0,0.0,1371.0,0.0,3.0,1.0,526.0,0.0,57.0,0.0,131.0,386.0,1352.0,234.0,870.0,1941.0,895.0,663.0,663.0,907.0
0.0,0.0,1016.0,0.0,0.0,0.0,308.0,0.0,18.0,0.0,56.0,207.0,973.0,95.0,1537.0,1915.0,609.0,1350.0,1299.0,617.0
0.0,0.0,529.0,0.0,0.0,0.0,123.0,0.0,7.0,0.0,23.0,74.0,466.0,20.0,2236.0,1256.0,308.0,2436.0,2247.0,275.0
0.0,0.0,109.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,3.0,22.0,134.0,5.0,2394.0,343.0,69.0,3422.0,3384.0,85.0
