Sevilla,Real Betis,Alavés,Atlético Madrid,Barcelona,Espanyol,Real Madrid,Getafe,Villarreal,Deportivo La Coruña,Osasuna,Celta Vigo,Racing Santander,Rayo Vallecano,Valencia,Málaga,Levante,Elche,Real Sociedad,Athletic Club
0.0,14.0,0.0,10.0,8276.0,0.0,1645.0,0.0,45.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
4.0,422.0,3.0,417.0,1618.0,0.0,6792.0,0.0,632.0,29.0,3.0,34.0,22.0,1.0,1.0,14.0,0.0,0.0,8.0,0.0
58.0,2246.0,64.0,2208.0,94.0,19.0,1115.0,11.0,3303.0,141.0,20.0,384.0,95.0,48.0,10.0,78.0,3.0,5.0,97.0,1.0
181.0,2477.0,195.0,2325.0,10.0,50.0,320.0,49.0,2555.0,180.0,81.0,918.0,113.0,140.0,54.0,82.0,18.0,19.0,228.0,5.0
434.0,1952.0,370.0,2008.0,2.0,166.0,98.0,134.0,1619.0,240.0,227.0,1322.0,187.0,341.0,144.0,124.0,49.0,54.0,510.0,19.0
723.0,1179.0,657.0,1237.0,0.0,278.0,22.0,256.0,919.0,304.0,448.0,1654.0,220.0,582.0,262.0,162.0,102.0,136.0,816.0,43.0
907.0,686.0,851.0,713.0,0.0,475.0,4.0,400.0,411.0,306.0,614.0,1391.0,278.0,797.0,436.0,164.0,200.0,228.0,1067.0,72.0
987.0,402.0,950.0,423.0,0.0,606.0,2.0,516.0,217.0,311.0,743.0,1084.0,297.0,913.0,600.0,190.0,249.0,301.0,1100.0,109.0
969.0,260.0,940.0,255.0,0.0,713.0,2.0,669.0,138.0,288.0,766.0,842.0,271.0,937.0,692.0,225.0,370.0,419.0,1060.0,184.0
961.0,143.0,907.0,150.0,0.0,766.0,0.0,822.0,71.0,312.0,814.0,669.0,258.0,940.0,766.0,228.0,473.0,495.0,959.0,266.0
896.0,81.0,927.0,104.0,0.0,837.0,0.0,818.0,40.0,348.0,869.0,476.0,295.0,900.0,808.0,224.0,568.0,570.0,851.0,388.0
829.0,62.0,840.0,63.0,0.0,905.0,0.0,896.0,21.0,310.0,842.0,357.0,295.0,868.0,898.0,254.0,663.0,712.0,731.0,454.0
754.0,31.0,784.0,35.0,0.0,844.0,0.0,878.0,13.0,369.0,918.0,291.0,349.0,795.0,877.0,287.0,758.0,818.0,640.0,559.0
629.0,25.0,654.0,30.0,0.0,898.0,0.0,910.0,8.0,425.0,830.0,237.0,358.0,716.0,942.0,308.0,910.0,875.0,510.0,735.0
540.0,11.0,606.0,11.0,0.0,859.0,0.0,924.0,3.0,444.0,771.0,136.0,421.0,620.0,931.0,383.0,1000.0,1016.0,466.0,858.0
423.0,7.0,479.0,5.0,0.0,826.0,0.0,923.0,5.0,565.0,683.0,100.0,547.0,535.0,772.0,429.0,1075.0,1110.0,411.0,1105.0
315.0,2.0,355.0,4.0,0.0,745.0,0.0,726.0,0.0,702.0,605.0,68.0,656.0,404.0,777.0,622.0,1156.0,1185.0,262.0,1416.0
222.0,0.0,248.0,2.0,0.0,551.0,0.0,637.0,0.0,1077.0,421.0,26.0,1024.0,257.0,573.0,1026.0,1162.0,980.0,179.0,1615.0
128.0,0.0,138.0,0.0,0.0,345.0,0.0,327.0,0.0,1657.0,271.0,10.0,1653.0,153.0,351.0,1812.0,863.0,784.0,81.0,1427.0
40.0,0.0,32.0,0.0,0.0,117.0,0.0,104.0,0.0,1989.0,74.0,1.0,2657.0,53.0,106.0,3385.0,381.0,293.0,24.0,744.0
