Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Coritiba,Atlético-MG,Corinthians,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
5563.0,4414.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4279.0,5395.0,170.0,99.0,52.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.0,170.0,4094.0,3054.0,1880.0,276.0,94.0,6.0,185.0,14.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,21.0,2739.0,2902.0,2347.0,820.0,304.0,37.0,454.0,58.0,291.0,2.0,11.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
2.0,0.0,1573.0,2003.0,2312.0,1471.0,690.0,106.0,960.0,177.0,636.0,4.0,43.0,6.0,9.0,1.0,7.0,0.0,0.0,0.0
1.0,0.0,788.0,1014.0,1479.0,1925.0,1185.0,260.0,1512.0,430.0,1191.0,12.0,107.0,25.0,22.0,4.0,42.0,2.0,1.0,0.0
0.0,0.0,349.0,495.0,921.0,1806.0,1504.0,511.0,1594.0,798.0,1511.0,52.0,260.0,39.0,49.0,11.0,96.0,0.0,4.0,0.0
0.0,0.0,168.0,236.0,511.0,1360.0,1666.0,805.0,1589.0,1122.0,1571.0,85.0,450.0,105.0,126.0,32.0,159.0,5.0,10.0,0.0
0.0,0.0,74.0,112.0,283.0,986.0,1480.0,1150.0,1330.0,1428.0,1475.0,176.0,684.0,178.0,219.0,56.0,346.0,6.0,17.0,0.0
0.0,0.0,22.0,47.0,124.0,633.0,1160.0,1383.0,1021.0,1593.0,1162.0,327.0,1029.0,352.0,364.0,137.0,578.0,22.0,46.0,0.0
0.0,0.0,7.0,21.0,59.0,370.0,773.0,1634.0,601.0,1460.0,821.0,528.0,1381.0,485.0,655.0,295.0,786.0,38.0,86.0,0.0
0.0,0.0,2.0,7.0,16.0,183.0,538.0,1442.0,394.0,1062.0,543.0,801.0,1559.0,759.0,945.0,459.0,1014.0,96.0,180.0,0.0
0.0,0.0,1.0,3.0,10.0,99.0,304.0,1050.0,203.0,767.0,372.0,1079.0,1369.0,1127.0,1193.0,669.0,1296.0,190.0,268.0,0.0
0.0,0.0,0.0,0.0,3.0,44.0,155.0,701.0,88.0,475.0,191.0,1311.0,1147.0,1343.0,1378.0,1028.0,1357.0,328.0,451.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,89.0,458.0,41.0,324.0,91.0,1383.0,802.0,1406.0,1402.0,1279.0,1364.0,572.0,768.0,1.0
0.0,0.0,0.0,0.0,0.0,4.0,41.0,265.0,17.0,176.0,33.0,1507.0,552.0,1335.0,1283.0,1603.0,1177.0,913.0,1089.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,127.0,8.0,70.0,25.0,1265.0,355.0,1292.0,1116.0,1739.0,934.0,1513.0,1529.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0,3.0,33.0,3.0,975.0,174.0,914.0,804.0,1619.0,589.0,2487.0,2279.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,12.0,1.0,484.0,76.0,619.0,422.0,1041.0,249.0,3628.0,3119.0,338.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,14.0,12.0,27.0,4.0,200.0,153.0,9580.0
