Real Madrid,Sevilla,Real Betis,Alavés,Atlético Madrid,Barcelona,Espanyol,Getafe,Villarreal,Deportivo La Coruña,Osasuna,Celta Vigo,Racing Santander,Rayo Vallecano,Valencia,Málaga,Levante,Elche,Athletic Club,Real Sociedad
2010.0,0.0,14.0,0.0,15.0,7916.0,0.0,0.0,41.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6927.0,3.0,281.0,2.0,254.0,1945.0,0.0,0.0,493.0,27.0,1.0,35.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
841.0,71.0,2419.0,63.0,2100.0,125.0,15.0,10.0,3477.0,141.0,26.0,426.0,97.0,51.0,13.0,71.0,6.0,9.0,0.0,39.0
169.0,215.0,2398.0,231.0,2500.0,13.0,54.0,53.0,2622.0,181.0,90.0,908.0,148.0,145.0,36.0,69.0,15.0,18.0,5.0,130.0
39.0,434.0,1971.0,423.0,2108.0,1.0,166.0,139.0,1621.0,237.0,210.0,1392.0,204.0,351.0,143.0,110.0,44.0,48.0,14.0,345.0
10.0,699.0,1246.0,694.0,1297.0,0.0,342.0,266.0,823.0,271.0,439.0,1683.0,238.0,640.0,313.0,167.0,110.0,147.0,46.0,569.0
2.0,906.0,673.0,919.0,700.0,0.0,501.0,474.0,421.0,295.0,610.0,1394.0,287.0,805.0,476.0,200.0,201.0,248.0,92.0,796.0
2.0,1020.0,390.0,1000.0,423.0,0.0,660.0,601.0,235.0,293.0,735.0,1067.0,271.0,961.0,593.0,210.0,271.0,301.0,140.0,827.0
0.0,976.0,225.0,945.0,232.0,0.0,715.0,673.0,122.0,291.0,818.0,806.0,274.0,1022.0,731.0,208.0,352.0,477.0,206.0,927.0
0.0,954.0,148.0,967.0,148.0,0.0,817.0,791.0,71.0,305.0,903.0,586.0,235.0,930.0,791.0,234.0,473.0,510.0,246.0,891.0
0.0,871.0,118.0,835.0,90.0,0.0,848.0,825.0,30.0,316.0,908.0,513.0,309.0,869.0,798.0,227.0,566.0,609.0,411.0,857.0
0.0,802.0,58.0,788.0,56.0,0.0,913.0,880.0,16.0,330.0,843.0,362.0,327.0,835.0,818.0,262.0,662.0,704.0,470.0,874.0
0.0,726.0,31.0,769.0,32.0,0.0,816.0,893.0,12.0,365.0,840.0,287.0,319.0,756.0,919.0,259.0,766.0,832.0,601.0,777.0
0.0,642.0,13.0,664.0,23.0,0.0,867.0,899.0,7.0,378.0,824.0,181.0,374.0,712.0,918.0,308.0,866.0,904.0,711.0,709.0
0.0,535.0,10.0,530.0,14.0,0.0,839.0,930.0,6.0,465.0,734.0,147.0,426.0,581.0,879.0,398.0,999.0,966.0,923.0,618.0
0.0,429.0,1.0,473.0,4.0,0.0,766.0,790.0,1.0,559.0,705.0,101.0,499.0,505.0,806.0,454.0,1183.0,1035.0,1122.0,567.0
0.0,351.0,3.0,350.0,4.0,0.0,695.0,755.0,1.0,723.0,557.0,73.0,652.0,378.0,702.0,658.0,1197.0,1066.0,1380.0,455.0
0.0,220.0,1.0,205.0,0.0,0.0,568.0,542.0,1.0,1037.0,429.0,24.0,1100.0,282.0,566.0,939.0,1128.0,1077.0,1539.0,342.0
0.0,119.0,0.0,109.0,0.0,0.0,308.0,355.0,0.0,1665.0,257.0,11.0,1717.0,135.0,366.0,1817.0,804.0,744.0,1382.0,211.0
0.0,27.0,0.0,33.0,0.0,0.0,110.0,124.0,0.0,2119.0,71.0,4.0,2504.0,42.0,132.0,3395.0,357.0,305.0,712.0,65.0
