AZ Alkmaar,Go Ahead Eagles,PSV Eindhoven,Feyenoord Rotterdam,FC Groningen,Ajax Amsterdam,Sparta Rotterdam,Fortuna Sittard,Heerenveen,Excelsior,NEC Nijmegen,FC Twente,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
388.0,36.0,7856.0,746.0,21.0,453.0,0.0,0.0,4.0,3.0,229.0,258.0,1.0,0.0,2.0,1.0,0.0,2.0
1526.0,259.0,1400.0,2497.0,144.0,1875.0,0.0,3.0,52.0,5.0,1038.0,1138.0,6.0,0.0,49.0,6.0,0.0,2.0
1563.0,465.0,472.0,2129.0,329.0,1916.0,0.0,0.0,151.0,36.0,1358.0,1416.0,46.0,0.0,97.0,11.0,7.0,4.0
1672.0,705.0,158.0,1571.0,504.0,1690.0,1.0,12.0,248.0,72.0,1446.0,1620.0,84.0,2.0,192.0,10.0,9.0,4.0
1467.0,1014.0,78.0,1144.0,744.0,1377.0,9.0,25.0,411.0,142.0,1498.0,1531.0,156.0,1.0,375.0,12.0,9.0,7.0
1195.0,1254.0,19.0,770.0,1020.0,1009.0,23.0,63.0,674.0,267.0,1422.0,1344.0,287.0,6.0,601.0,26.0,15.0,5.0
870.0,1396.0,12.0,512.0,1293.0,715.0,60.0,123.0,984.0,485.0,1104.0,1017.0,437.0,3.0,912.0,30.0,20.0,27.0
585.0,1344.0,5.0,307.0,1428.0,458.0,139.0,238.0,1284.0,696.0,776.0,673.0,716.0,20.0,1210.0,46.0,40.0,35.0
361.0,1165.0,0.0,174.0,1423.0,253.0,227.0,454.0,1432.0,944.0,485.0,487.0,994.0,46.0,1370.0,72.0,62.0,51.0
201.0,904.0,0.0,92.0,1103.0,138.0,393.0,707.0,1398.0,1341.0,333.0,242.0,1265.0,131.0,1507.0,104.0,78.0,63.0
108.0,676.0,0.0,36.0,847.0,69.0,714.0,1011.0,1273.0,1496.0,171.0,149.0,1542.0,253.0,1308.0,138.0,121.0,88.0
41.0,396.0,0.0,18.0,595.0,35.0,1176.0,1431.0,948.0,1579.0,95.0,74.0,1543.0,529.0,1038.0,201.0,183.0,118.0
18.0,248.0,0.0,4.0,294.0,9.0,1734.0,1891.0,634.0,1291.0,25.0,36.0,1295.0,988.0,718.0,316.0,269.0,230.0
2.0,92.0,0.0,0.0,169.0,3.0,2227.0,1877.0,336.0,923.0,14.0,11.0,946.0,1733.0,384.0,438.0,437.0,408.0
3.0,37.0,0.0,0.0,64.0,0.0,1952.0,1341.0,122.0,500.0,5.0,3.0,485.0,3109.0,169.0,773.0,782.0,655.0
0.0,9.0,0.0,0.0,16.0,0.0,956.0,649.0,40.0,177.0,1.0,1.0,157.0,2187.0,58.0,2033.0,1968.0,1748.0
0.0,0.0,0.0,0.0,6.0,0.0,334.0,151.0,9.0,37.0,0.0,0.0,35.0,832.0,8.0,2781.0,2957.0,2850.0
0.0,0.0,0.0,0.0,0.0,0.0,55.0,24.0,0.0,6.0,0.0,0.0,5.0,160.0,2.0,3002.0,3043.0,3703.0
