Barcelona,Real Madrid,Sevilla,Real Betis,Alavés,Atlético Madrid,Osasuna,Espanyol,Getafe,Villarreal,Deportivo La Coruña,Racing Santander,Rayo Vallecano,Celta Vigo,Valencia,Málaga,Levante,Elche,Real Sociedad,Athletic Club
8028.0,1892.0,0.0,17.0,0.0,22.0,0.0,0.0,0.0,30.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1842.0,7046.0,1.0,280.0,3.0,273.0,1.0,0.0,0.0,478.0,38.0,16.0,1.0,8.0,2.0,11.0,0.0,0.0,0.0,0.0
114.0,809.0,70.0,2400.0,63.0,2390.0,84.0,15.0,14.0,3483.0,134.0,106.0,51.0,139.0,17.0,63.0,4.0,2.0,40.0,2.0
15.0,190.0,192.0,2518.0,196.0,2558.0,226.0,72.0,50.0,2704.0,165.0,157.0,171.0,422.0,67.0,100.0,10.0,28.0,155.0,4.0
1.0,44.0,438.0,2095.0,424.0,2107.0,473.0,207.0,178.0,1666.0,209.0,212.0,384.0,838.0,163.0,132.0,47.0,62.0,310.0,10.0
0.0,12.0,718.0,1140.0,718.0,1118.0,889.0,394.0,335.0,754.0,283.0,244.0,663.0,1238.0,364.0,191.0,117.0,163.0,618.0,41.0
0.0,7.0,928.0,601.0,870.0,631.0,979.0,523.0,456.0,419.0,302.0,231.0,874.0,1185.0,503.0,192.0,175.0,252.0,791.0,81.0
0.0,0.0,972.0,356.0,936.0,333.0,1004.0,604.0,583.0,201.0,282.0,250.0,919.0,1193.0,579.0,195.0,307.0,313.0,860.0,113.0
0.0,0.0,950.0,223.0,955.0,199.0,978.0,700.0,636.0,125.0,337.0,243.0,913.0,1024.0,729.0,230.0,341.0,401.0,851.0,165.0
0.0,0.0,873.0,153.0,878.0,157.0,961.0,781.0,750.0,66.0,303.0,261.0,928.0,796.0,731.0,214.0,498.0,546.0,881.0,223.0
0.0,0.0,861.0,81.0,880.0,76.0,844.0,824.0,827.0,27.0,333.0,285.0,891.0,713.0,831.0,231.0,536.0,635.0,860.0,265.0
0.0,0.0,800.0,55.0,809.0,57.0,786.0,846.0,891.0,24.0,347.0,318.0,812.0,607.0,832.0,251.0,649.0,686.0,846.0,384.0
0.0,0.0,717.0,34.0,755.0,28.0,678.0,902.0,962.0,14.0,344.0,357.0,806.0,516.0,881.0,260.0,769.0,755.0,766.0,456.0
0.0,0.0,669.0,19.0,668.0,30.0,561.0,852.0,923.0,5.0,357.0,344.0,658.0,440.0,909.0,349.0,941.0,926.0,707.0,642.0
0.0,0.0,572.0,16.0,618.0,9.0,509.0,870.0,839.0,3.0,448.0,420.0,597.0,301.0,892.0,412.0,989.0,952.0,698.0,855.0
0.0,0.0,448.0,10.0,458.0,5.0,429.0,780.0,863.0,1.0,574.0,555.0,479.0,243.0,800.0,501.0,1112.0,1089.0,566.0,1087.0
0.0,0.0,376.0,0.0,359.0,6.0,285.0,687.0,748.0,0.0,757.0,743.0,380.0,158.0,698.0,645.0,1164.0,1132.0,464.0,1398.0
0.0,0.0,249.0,1.0,243.0,0.0,180.0,533.0,556.0,0.0,1040.0,1058.0,273.0,103.0,526.0,997.0,1126.0,1060.0,299.0,1756.0
0.0,0.0,125.0,1.0,130.0,1.0,98.0,308.0,297.0,0.0,1682.0,1675.0,148.0,67.0,351.0,1700.0,853.0,717.0,215.0,1632.0
0.0,0.0,41.0,0.0,37.0,0.0,35.0,102.0,92.0,0.0,2060.0,2520.0,52.0,9.0,125.0,3325.0,362.0,281.0,73.0,886.0
