Marseille,Lens,Lille,Lyon,AS Monaco,Brest,Le Mans,Paris Saint-Germain,Stade Rennais,Lorient,Nice,Paris FC,Troyes,Le Havre AC,Toulouse,Angers,AJ Auxerre,Strasbourg
416.0,2739.0,301.0,199.0,39.0,0.0,37.0,6196.0,28.0,1.0,0.0,5.0,25.0,0.0,1.0,0.0,0.0,13.0
1204.0,3844.0,1045.0,652.0,202.0,0.0,89.0,2601.0,210.0,21.0,0.0,18.0,42.0,0.0,6.0,0.0,4.0,62.0
2061.0,1761.0,1854.0,1598.0,588.0,7.0,173.0,767.0,649.0,93.0,0.0,89.0,86.0,1.0,38.0,0.0,10.0,225.0
1904.0,867.0,1996.0,1753.0,928.0,21.0,183.0,289.0,1001.0,203.0,0.0,202.0,126.0,5.0,100.0,0.0,15.0,407.0
1502.0,408.0,1669.0,1719.0,1214.0,31.0,219.0,95.0,1256.0,422.0,2.0,308.0,160.0,14.0,216.0,1.0,48.0,716.0
1097.0,215.0,1137.0,1371.0,1487.0,109.0,249.0,40.0,1500.0,606.0,5.0,526.0,178.0,51.0,343.0,1.0,104.0,981.0
685.0,80.0,816.0,1015.0,1527.0,166.0,308.0,8.0,1458.0,847.0,22.0,812.0,228.0,72.0,554.0,2.0,200.0,1200.0
481.0,58.0,488.0,687.0,1261.0,332.0,343.0,4.0,1243.0,1111.0,40.0,1061.0,281.0,156.0,828.0,11.0,342.0,1273.0
283.0,21.0,332.0,435.0,981.0,510.0,416.0,0.0,921.0,1287.0,81.0,1280.0,350.0,255.0,1042.0,23.0,494.0,1289.0
176.0,4.0,177.0,259.0,645.0,776.0,468.0,0.0,658.0,1366.0,163.0,1329.0,401.0,444.0,1227.0,63.0,711.0,1133.0
87.0,3.0,106.0,164.0,470.0,1053.0,522.0,0.0,469.0,1188.0,266.0,1253.0,478.0,685.0,1257.0,154.0,889.0,956.0
61.0,0.0,46.0,79.0,308.0,1235.0,532.0,0.0,276.0,994.0,475.0,1054.0,552.0,982.0,1267.0,260.0,1202.0,677.0
24.0,0.0,23.0,39.0,169.0,1327.0,620.0,0.0,170.0,797.0,696.0,838.0,660.0,1286.0,1067.0,433.0,1385.0,466.0
10.0,0.0,5.0,21.0,119.0,1457.0,706.0,0.0,100.0,499.0,1083.0,582.0,715.0,1467.0,834.0,723.0,1390.0,289.0
9.0,0.0,3.0,8.0,35.0,1233.0,768.0,0.0,45.0,309.0,1585.0,328.0,874.0,1563.0,602.0,1212.0,1265.0,161.0
0.0,0.0,2.0,0.0,22.0,899.0,962.0,0.0,11.0,166.0,2049.0,197.0,1022.0,1430.0,349.0,1840.0,952.0,99.0
0.0,0.0,0.0,1.0,5.0,607.0,1232.0,0.0,5.0,67.0,2011.0,96.0,1436.0,1031.0,195.0,2624.0,650.0,40.0
0.0,0.0,0.0,0.0,0.0,237.0,2173.0,0.0,0.0,23.0,1522.0,22.0,2386.0,558.0,74.0,2653.0,339.0,13.0
