Millwall,West Bromwich Albion,Charlton Athletic,Birmingham City,Wolverhampton Wanderers,Queens Park Rangers,Blackburn Rovers,Watford,Swansea City,Bolton Wanderers,Portsmouth,Middlesbrough,Cardiff City,Sheffield United,Wrexham,West Ham United,Derby County,Burnley,Bristol City,Lincoln City,Preston North End,Stoke City,Norwich City,Southampton
1657.0,26.0,2.0,40.0,3173.0,4.0,1.0,1.0,35.0,111.0,1.0,667.0,105.0,43.0,9.0,1639.0,59.0,1345.0,9.0,27.0,0.0,0.0,45.0,1001.0
2228.0,96.0,20.0,149.0,1355.0,21.0,9.0,6.0,120.0,163.0,3.0,1282.0,117.0,118.0,51.0,1113.0,169.0,1026.0,19.0,36.0,0.0,3.0,106.0,1790.0
1956.0,195.0,46.0,296.0,903.0,47.0,20.0,21.0,228.0,140.0,13.0,1556.0,146.0,256.0,124.0,780.0,375.0,765.0,50.0,42.0,7.0,6.0,256.0,1772.0
1428.0,315.0,92.0,476.0,627.0,108.0,60.0,38.0,394.0,208.0,29.0,1419.0,167.0,413.0,259.0,647.0,521.0,675.0,96.0,64.0,14.0,9.0,336.0,1605.0
961.0,473.0,151.0,631.0,504.0,169.0,103.0,71.0,542.0,211.0,42.0,1330.0,159.0,522.0,366.0,544.0,742.0,559.0,157.0,67.0,32.0,25.0,519.0,1120.0
614.0,551.0,232.0,757.0,400.0,258.0,153.0,115.0,700.0,212.0,98.0,1011.0,180.0,650.0,468.0,476.0,795.0,451.0,260.0,94.0,38.0,33.0,613.0,841.0
412.0,660.0,315.0,800.0,337.0,313.0,212.0,187.0,738.0,216.0,136.0,742.0,181.0,745.0,531.0,390.0,872.0,412.0,341.0,86.0,66.0,61.0,698.0,549.0
255.0,726.0,359.0,818.0,313.0,368.0,268.0,226.0,774.0,243.0,179.0,532.0,179.0,781.0,633.0,352.0,818.0,337.0,358.0,108.0,107.0,100.0,766.0,400.0
160.0,723.0,434.0,811.0,258.0,425.0,327.0,270.0,739.0,206.0,232.0,383.0,184.0,798.0,669.0,330.0,802.0,341.0,489.0,103.0,151.0,116.0,766.0,283.0
121.0,714.0,510.0,741.0,220.0,472.0,380.0,388.0,734.0,213.0,301.0,294.0,197.0,734.0,705.0,309.0,745.0,300.0,556.0,101.0,169.0,182.0,729.0,185.0
66.0,754.0,608.0,697.0,178.0,546.0,460.0,380.0,733.0,224.0,331.0,213.0,189.0,716.0,682.0,250.0,713.0,288.0,582.0,129.0,221.0,222.0,698.0,120.0
50.0,734.0,579.0,668.0,189.0,583.0,528.0,445.0,657.0,203.0,374.0,181.0,216.0,655.0,738.0,265.0,567.0,301.0,608.0,129.0,270.0,273.0,675.0,112.0
34.0,662.0,635.0,596.0,175.0,649.0,560.0,529.0,593.0,234.0,502.0,112.0,197.0,619.0,692.0,255.0,524.0,242.0,658.0,151.0,350.0,328.0,625.0,78.0
26.0,641.0,715.0,542.0,123.0,662.0,610.0,587.0,549.0,246.0,556.0,81.0,228.0,560.0,664.0,266.0,473.0,260.0,715.0,119.0,408.0,373.0,553.0,43.0
12.0,539.0,710.0,474.0,153.0,736.0,692.0,688.0,482.0,259.0,641.0,84.0,229.0,503.0,633.0,228.0,421.0,240.0,637.0,149.0,496.0,447.0,513.0,34.0
5.0,462.0,773.0,364.0,130.0,736.0,732.0,704.0,442.0,314.0,656.0,45.0,242.0,431.0,592.0,234.0,340.0,266.0,700.0,181.0,582.0,562.0,482.0,25.0
7.0,455.0,697.0,320.0,136.0,715.0,779.0,780.0,441.0,305.0,782.0,26.0,263.0,371.0,514.0,226.0,312.0,236.0,683.0,218.0,664.0,668.0,386.0,16.0
4.0,382.0,695.0,258.0,106.0,745.0,911.0,821.0,336.0,326.0,865.0,19.0,298.0,307.0,467.0,231.0,228.0,219.0,661.0,227.0,788.0,730.0,363.0,13.0
1.0,316.0,680.0,207.0,128.0,685.0,771.0,864.0,278.0,423.0,838.0,12.0,387.0,292.0,378.0,228.0,193.0,259.0,678.0,292.0,882.0,915.0,284.0,9.0
2.0,241.0,592.0,176.0,136.0,602.0,757.0,861.0,235.0,518.0,943.0,8.0,455.0,193.0,333.0,227.0,134.0,269.0,598.0,380.0,1025.0,1088.0,226.0,1.0
1.0,172.0,509.0,93.0,133.0,530.0,709.0,826.0,126.0,649.0,926.0,2.0,642.0,150.0,235.0,263.0,98.0,298.0,498.0,527.0,1196.0,1226.0,190.0,1.0
0.0,112.0,395.0,54.0,148.0,358.0,516.0,672.0,81.0,1066.0,838.0,0.0,989.0,100.0,167.0,286.0,60.0,343.0,355.0,869.0,1217.0,1272.0,100.0,2.0
0.0,36.0,186.0,27.0,106.0,211.0,332.0,399.0,34.0,1602.0,540.0,1.0,1760.0,35.0,71.0,257.0,31.0,342.0,226.0,1807.0,960.0,977.0,60.0,0.0
0.0,15.0,65.0,5.0,69.0,57.0,110.0,121.0,9.0,1708.0,174.0,0.0,2290.0,8.0,19.0,204.0,8.0,226.0,66.0,4094.0,357.0,384.0,11.0,0.0
