Lille,Marseille,Lens,Lyon,AS Monaco,Paris Saint-Germain,Brest,Le Mans,Stade Rennais,Lorient,Nice,Paris FC,Troyes,Le Havre AC,Toulouse,Angers,AJ Auxerre,Strasbourg
347.0,497.0,3199.0,241.0,69.0,5494.0,0.0,56.0,46.0,5.0,0.0,6.0,29.0,0.0,1.0,0.0,0.0,10.0
941.0,1209.0,3602.0,721.0,219.0,2804.0,3.0,70.0,250.0,23.0,0.0,23.0,41.0,0.0,10.0,0.0,4.0,80.0
1931.0,2135.0,1619.0,1416.0,607.0,1027.0,4.0,137.0,576.0,87.0,0.0,111.0,91.0,1.0,33.0,0.0,4.0,221.0
1898.0,1794.0,803.0,1747.0,955.0,413.0,13.0,194.0,1010.0,234.0,2.0,220.0,109.0,2.0,105.0,0.0,24.0,477.0
1634.0,1501.0,389.0,1695.0,1259.0,178.0,38.0,216.0,1202.0,382.0,3.0,404.0,157.0,21.0,184.0,0.0,40.0,697.0
1187.0,1113.0,198.0,1385.0,1486.0,55.0,84.0,242.0,1436.0,594.0,8.0,588.0,169.0,50.0,368.0,0.0,98.0,939.0
848.0,710.0,108.0,1054.0,1405.0,20.0,212.0,300.0,1456.0,861.0,15.0,849.0,242.0,66.0,511.0,7.0,182.0,1154.0
515.0,469.0,46.0,672.0,1241.0,6.0,317.0,345.0,1298.0,1171.0,27.0,1094.0,260.0,153.0,823.0,11.0,326.0,1226.0
329.0,246.0,20.0,467.0,930.0,1.0,543.0,377.0,924.0,1323.0,67.0,1334.0,354.0,262.0,961.0,28.0,509.0,1325.0
162.0,164.0,13.0,265.0,703.0,2.0,724.0,461.0,656.0,1309.0,114.0,1402.0,390.0,463.0,1224.0,75.0,713.0,1160.0
99.0,92.0,2.0,178.0,485.0,0.0,1029.0,503.0,490.0,1210.0,255.0,1168.0,481.0,651.0,1322.0,130.0,1024.0,881.0
63.0,37.0,1.0,85.0,299.0,0.0,1299.0,563.0,285.0,982.0,412.0,990.0,568.0,956.0,1250.0,219.0,1278.0,713.0
28.0,30.0,0.0,45.0,181.0,0.0,1483.0,607.0,197.0,729.0,683.0,766.0,643.0,1243.0,1150.0,413.0,1331.0,471.0
13.0,2.0,0.0,16.0,94.0,0.0,1438.0,733.0,91.0,507.0,1079.0,473.0,724.0,1522.0,873.0,721.0,1400.0,314.0
5.0,1.0,0.0,9.0,46.0,0.0,1152.0,848.0,52.0,321.0,1539.0,313.0,923.0,1591.0,616.0,1179.0,1211.0,194.0
0.0,0.0,0.0,3.0,11.0,0.0,930.0,939.0,22.0,159.0,1965.0,177.0,1072.0,1409.0,324.0,1949.0,951.0,89.0
0.0,0.0,0.0,1.0,10.0,0.0,512.0,1324.0,9.0,76.0,2228.0,64.0,1332.0,1084.0,172.0,2512.0,635.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,219.0,2085.0,0.0,27.0,1603.0,18.0,2415.0,526.0,73.0,2756.0,270.0,8.0
