Manchester City,Brighton & Hove Albion,Arsenal,Brentford,Everton,Hull City,Chelsea,Ipswich Town,Leeds United,Liverpool,Newcastle United,Fulham,AFC Bournemouth,Sunderland,Nottingham Forest,Manchester United,Coventry City,Tottenham Hotspur,Aston Villa,Crystal Palace
4253.0,27.0,5515.0,7.0,2.0,85.0,0.0,60.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,35.0,2.0,0.0,1.0,0.0
4939.0,226.0,3966.0,85.0,17.0,173.0,42.0,102.0,14.0,90.0,4.0,1.0,30.0,0.0,9.0,275.0,11.0,0.0,16.0,0.0
623.0,1882.0,417.0,920.0,248.0,588.0,580.0,451.0,198.0,979.0,87.0,36.0,471.0,14.0,135.0,2108.0,67.0,3.0,193.0,0.0
113.0,1637.0,65.0,1147.0,445.0,456.0,751.0,354.0,357.0,1151.0,245.0,87.0,661.0,40.0,266.0,1804.0,78.0,10.0,333.0,0.0
45.0,1370.0,24.0,1126.0,554.0,397.0,914.0,300.0,475.0,1183.0,340.0,176.0,733.0,74.0,358.0,1354.0,64.0,27.0,480.0,6.0
12.0,1147.0,10.0,1037.0,652.0,371.0,995.0,289.0,590.0,1101.0,434.0,217.0,819.0,128.0,453.0,1036.0,72.0,37.0,590.0,10.0
8.0,820.0,3.0,1055.0,739.0,347.0,981.0,274.0,691.0,962.0,528.0,317.0,887.0,174.0,544.0,823.0,95.0,51.0,675.0,26.0
6.0,719.0,0.0,903.0,759.0,337.0,942.0,286.0,766.0,902.0,646.0,411.0,859.0,213.0,688.0,638.0,69.0,97.0,730.0,29.0
1.0,568.0,0.0,801.0,834.0,335.0,870.0,288.0,830.0,809.0,718.0,473.0,847.0,312.0,730.0,520.0,103.0,113.0,796.0,52.0
0.0,446.0,0.0,693.0,861.0,348.0,773.0,329.0,850.0,679.0,790.0,611.0,874.0,403.0,735.0,409.0,110.0,197.0,806.0,86.0
0.0,364.0,0.0,555.0,847.0,384.0,720.0,334.0,866.0,567.0,848.0,729.0,789.0,524.0,812.0,322.0,132.0,284.0,808.0,115.0
0.0,251.0,0.0,481.0,814.0,423.0,608.0,361.0,871.0,438.0,890.0,829.0,691.0,624.0,890.0,245.0,167.0,344.0,902.0,171.0
0.0,198.0,0.0,374.0,763.0,422.0,510.0,388.0,812.0,402.0,912.0,954.0,670.0,842.0,892.0,157.0,179.0,489.0,782.0,254.0
0.0,149.0,0.0,297.0,721.0,455.0,413.0,437.0,738.0,269.0,868.0,1025.0,544.0,977.0,851.0,126.0,250.0,695.0,765.0,420.0
0.0,88.0,0.0,208.0,632.0,512.0,355.0,530.0,688.0,183.0,844.0,1000.0,393.0,1072.0,813.0,85.0,280.0,956.0,694.0,667.0
0.0,65.0,0.0,135.0,474.0,644.0,262.0,623.0,534.0,137.0,693.0,1041.0,340.0,1270.0,707.0,41.0,351.0,1130.0,563.0,990.0
0.0,27.0,0.0,104.0,332.0,693.0,149.0,733.0,380.0,69.0,559.0,860.0,211.0,1302.0,558.0,17.0,552.0,1604.0,443.0,1407.0
0.0,13.0,0.0,53.0,214.0,848.0,89.0,992.0,215.0,40.0,342.0,696.0,119.0,1128.0,341.0,3.0,813.0,1780.0,288.0,2026.0
0.0,3.0,0.0,15.0,69.0,1152.0,40.0,1432.0,93.0,25.0,200.0,418.0,50.0,686.0,172.0,2.0,1568.0,1530.0,102.0,2443.0
0.0,0.0,0.0,4.0,23.0,1030.0,6.0,1437.0,32.0,3.0,52.0,119.0,10.0,217.0,46.0,0.0,5037.0,653.0,33.0,1298.0
