Sporting CP,FC Porto,Maritimo,Santa Clara,Arouca,Gil Vicente,Benfica,C.D. Nacional,Vitória de Guimaraes,Rio Ave,Estrela,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Alverca,Casa Pia
4422.0,3626.0,12.0,0.0,0.0,0.0,1924.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0
3390.0,3499.0,10.0,0.0,0.0,10.0,3003.0,0.0,0.0,0.0,0.0,5.0,83.0,0.0,0.0,0.0,0.0,0.0
2038.0,2692.0,55.0,2.0,1.0,71.0,4564.0,0.0,0.0,0.0,0.0,14.0,557.0,6.0,0.0,0.0,0.0,0.0
143.0,179.0,507.0,180.0,210.0,1684.0,463.0,66.0,11.0,0.0,3.0,168.0,5956.0,411.0,3.0,15.0,1.0,0.0
7.0,4.0,726.0,688.0,821.0,3264.0,43.0,379.0,104.0,4.0,47.0,322.0,2107.0,1374.0,17.0,79.0,14.0,0.0
0.0,0.0,800.0,1244.0,1352.0,2096.0,2.0,672.0,247.0,20.0,170.0,397.0,717.0,1965.0,51.0,230.0,37.0,0.0
0.0,0.0,801.0,1527.0,1570.0,1167.0,0.0,992.0,427.0,47.0,293.0,407.0,308.0,1775.0,123.0,463.0,100.0,0.0
0.0,0.0,739.0,1579.0,1457.0,747.0,1.0,1258.0,628.0,95.0,455.0,477.0,147.0,1387.0,225.0,610.0,194.0,1.0
0.0,0.0,681.0,1414.0,1251.0,421.0,0.0,1439.0,863.0,164.0,667.0,499.0,70.0,1040.0,350.0,848.0,283.0,10.0
0.0,0.0,704.0,1045.0,1012.0,256.0,0.0,1325.0,1101.0,272.0,930.0,555.0,23.0,757.0,557.0,1015.0,436.0,12.0
0.0,0.0,636.0,809.0,774.0,135.0,0.0,1153.0,1226.0,437.0,1067.0,617.0,12.0,534.0,762.0,1169.0,648.0,21.0
0.0,0.0,694.0,605.0,584.0,80.0,0.0,897.0,1223.0,639.0,1226.0,575.0,4.0,342.0,971.0,1269.0,825.0,66.0
0.0,0.0,625.0,406.0,373.0,37.0,0.0,715.0,1226.0,877.0,1239.0,697.0,1.0,188.0,1262.0,1151.0,1066.0,137.0
0.0,0.0,627.0,241.0,300.0,18.0,0.0,463.0,999.0,1170.0,1233.0,743.0,0.0,134.0,1387.0,1147.0,1290.0,248.0
0.0,0.0,646.0,164.0,162.0,9.0,0.0,330.0,897.0,1575.0,1027.0,863.0,1.0,59.0,1386.0,857.0,1532.0,492.0
0.0,0.0,655.0,66.0,95.0,4.0,0.0,183.0,613.0,1861.0,869.0,990.0,0.0,19.0,1405.0,645.0,1641.0,954.0
0.0,0.0,653.0,26.0,25.0,1.0,0.0,100.0,338.0,1953.0,580.0,1262.0,0.0,8.0,1042.0,403.0,1350.0,2259.0
0.0,0.0,429.0,4.0,13.0,0.0,0.0,28.0,97.0,886.0,194.0,1407.0,0.0,1.0,459.0,99.0,583.0,5800.0
