Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Atlético-MG,Red Bull Bragantino,Coritiba,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Vasco da Gama,Internacional,Mirassol,Remo,Chapecoense
6133.0,3866.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3839.0,6080.0,76.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,54.0,6929.0,2036.0,0.0,671.0,0.0,0.0,197.0,35.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2029.0,4739.0,0.0,1929.0,0.0,0.0,706.0,294.0,0.0,284.0,0.0,3.0,11.0,0.0,0.0,5.0,0.0,0.0
0.0,0.0,729.0,2110.0,0.0,3706.0,0.0,0.0,1492.0,919.0,0.0,949.0,0.0,22.0,45.0,0.0,3.0,25.0,0.0,0.0
0.0,0.0,189.0,790.0,0.0,2159.0,0.0,0.0,2384.0,2230.0,0.0,1856.0,0.0,79.0,177.0,0.0,12.0,111.0,13.0,0.0
0.0,0.0,43.0,269.0,0.0,1016.0,0.0,0.0,2456.0,2812.0,0.0,2294.0,0.0,272.0,487.0,0.0,50.0,248.0,53.0,0.0
0.0,0.0,4.0,45.0,62.0,404.0,0.0,0.0,1836.0,2217.0,0.0,2673.0,0.0,697.0,1055.0,0.0,218.0,595.0,194.0,0.0
0.0,0.0,0.0,6.0,1862.0,91.0,0.0,0.0,569.0,867.0,0.0,1065.0,0.0,1348.0,1925.0,0.0,532.0,1217.0,518.0,0.0
0.0,0.0,0.0,0.0,4204.0,20.0,91.0,0.0,196.0,338.0,0.0,427.0,0.0,1181.0,1226.0,0.0,629.0,1102.0,586.0,0.0
0.0,0.0,0.0,0.0,3017.0,3.0,963.0,18.0,88.0,137.0,0.0,171.0,0.0,1374.0,1226.0,0.0,933.0,1265.0,804.0,1.0
0.0,0.0,0.0,0.0,781.0,1.0,3207.0,346.0,53.0,80.0,0.0,112.0,0.0,1063.0,1012.0,0.0,998.0,1292.0,1055.0,0.0
0.0,0.0,0.0,0.0,72.0,0.0,3803.0,1972.0,12.0,39.0,0.0,55.0,0.0,765.0,632.0,0.0,873.0,816.0,960.0,1.0
0.0,0.0,0.0,0.0,2.0,0.0,1709.0,4026.0,5.0,15.0,5.0,27.0,0.0,833.0,633.0,0.0,1045.0,757.0,939.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,227.0,2937.0,5.0,10.0,203.0,23.0,0.0,1143.0,800.0,0.0,1837.0,1161.0,1634.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,1.0,7.0,2320.0,15.0,12.0,929.0,638.0,0.0,1970.0,1103.0,2245.0,59.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7384.0,0.0,692.0,231.0,100.0,0.0,621.0,216.0,663.0,93.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,9034.0,56.0,25.0,2.0,255.0,79.0,297.0,164.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,4.0,7.0,8153.0,24.0,8.0,36.0,1506.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.0,0.0,0.0,3.0,8152.0
