AC Milan,Juventus,Udinese,AS Roma,Internazionale,Lecce,Napoli,Atalanta,Cagliari,Lazio,Frosinone,Sassuolo,Como,Bologna,Genoa,Torino,Parma,Monza,Venezia,Fiorentina
326.0,0.0,0.0,1980.0,6003.0,0.0,240.0,167.0,1.0,5.0,0.0,0.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
974.0,0.0,0.0,2878.0,2316.0,0.0,828.0,578.0,10.0,39.0,0.0,0.0,2364.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0
1621.0,0.0,0.0,2261.0,987.0,3.0,1470.0,1065.0,20.0,120.0,0.0,0.0,2408.0,21.0,2.0,0.0,0.0,0.0,22.0,0.0
2132.0,0.0,0.0,1464.0,433.0,14.0,1992.0,1674.0,76.0,277.0,0.0,0.0,1803.0,83.0,21.0,0.0,0.0,0.0,31.0,0.0
2168.0,0.0,0.0,803.0,186.0,31.0,2281.0,2162.0,239.0,633.0,0.0,0.0,1168.0,194.0,47.0,0.0,0.0,0.0,88.0,0.0
1606.0,0.0,0.0,425.0,67.0,177.0,1883.0,2391.0,608.0,1323.0,0.0,0.0,663.0,517.0,146.0,0.0,0.0,0.0,194.0,0.0
723.0,0.0,0.0,132.0,6.0,569.0,805.0,1139.0,1476.0,2573.0,0.0,0.0,229.0,1372.0,563.0,0.0,0.0,0.0,413.0,0.0
297.0,0.0,0.0,37.0,1.0,1088.0,323.0,519.0,2037.0,2108.0,0.0,0.0,62.0,1974.0,1024.0,0.0,0.0,0.0,530.0,0.0
106.0,0.0,0.0,14.0,0.0,1591.0,121.0,198.0,2063.0,1419.0,0.0,0.0,22.0,2183.0,1561.0,0.0,0.0,0.0,722.0,0.0
36.0,0.0,0.0,5.0,1.0,2272.0,40.0,76.0,1649.0,871.0,0.0,0.0,3.0,1732.0,2254.0,0.0,0.0,0.0,1061.0,0.0
7.0,0.0,0.0,1.0,0.0,2682.0,15.0,26.0,1222.0,467.0,0.0,0.0,0.0,1320.0,2591.0,0.0,0.0,0.0,1669.0,0.0
4.0,755.0,0.0,0.0,0.0,1564.0,2.0,5.0,597.0,165.0,0.0,0.0,0.0,600.0,1781.0,0.0,0.0,0.0,4527.0,0.0
0.0,9245.0,338.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,397.0,0.0
0.0,0.0,9662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9799.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9799.0,0.0,0.0,0.0,13.0,0.0,0.0,188.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9987.0,13.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9987.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9987.0,13.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
