Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
9485.0,0.0,0.0,31.0,466.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
496.0,31.0,0.0,1355.0,6991.0,157.0,0.0,6.0,0.0,2.0,33.0,371.0,80.0,0.0,0.0,1.0,12.0,465.0
17.0,223.0,32.0,3434.0,1757.0,341.0,17.0,97.0,11.0,34.0,123.0,1681.0,513.0,2.0,0.0,6.0,37.0,1675.0
2.0,497.0,131.0,2178.0,513.0,407.0,71.0,242.0,38.0,106.0,148.0,2269.0,1071.0,16.0,1.0,29.0,62.0,2219.0
0.0,859.0,272.0,1392.0,170.0,454.0,180.0,484.0,98.0,247.0,197.0,2009.0,1471.0,46.0,3.0,77.0,77.0,1964.0
0.0,1151.0,490.0,796.0,61.0,470.0,330.0,839.0,198.0,449.0,241.0,1465.0,1739.0,108.0,4.0,157.0,103.0,1399.0
0.0,1374.0,728.0,397.0,34.0,510.0,552.0,1111.0,369.0,676.0,285.0,893.0,1531.0,195.0,23.0,315.0,123.0,884.0
0.0,1387.0,959.0,215.0,7.0,518.0,744.0,1200.0,557.0,846.0,307.0,529.0,1121.0,348.0,42.0,467.0,166.0,587.0
0.0,1157.0,1136.0,108.0,0.0,458.0,944.0,1259.0,727.0,1008.0,355.0,332.0,813.0,480.0,63.0,650.0,185.0,325.0
0.0,932.0,1128.0,49.0,1.0,494.0,1078.0,1156.0,869.0,1123.0,390.0,196.0,590.0,661.0,159.0,786.0,202.0,186.0
0.0,749.0,1117.0,30.0,0.0,500.0,1156.0,1023.0,989.0,1141.0,398.0,130.0,427.0,779.0,231.0,916.0,276.0,138.0
0.0,577.0,1058.0,5.0,0.0,542.0,1126.0,856.0,1079.0,1113.0,450.0,64.0,272.0,1009.0,420.0,1088.0,277.0,64.0
0.0,410.0,951.0,6.0,0.0,534.0,1055.0,650.0,1242.0,985.0,561.0,31.0,184.0,1219.0,561.0,1215.0,345.0,51.0
0.0,299.0,755.0,3.0,0.0,645.0,950.0,486.0,1196.0,807.0,660.0,14.0,103.0,1410.0,907.0,1275.0,462.0,28.0
0.0,202.0,598.0,1.0,0.0,792.0,846.0,314.0,1097.0,709.0,816.0,7.0,43.0,1352.0,1433.0,1202.0,581.0,7.0
0.0,92.0,385.0,0.0,0.0,949.0,579.0,184.0,872.0,467.0,1181.0,5.0,27.0,1235.0,2104.0,1004.0,915.0,1.0
0.0,48.0,199.0,0.0,0.0,1225.0,295.0,79.0,470.0,227.0,1741.0,1.0,14.0,823.0,2558.0,575.0,1742.0,3.0
0.0,12.0,61.0,0.0,0.0,997.0,77.0,14.0,188.0,60.0,2111.0,0.0,1.0,317.0,1491.0,237.0,4434.0,0.0
