Manchester City,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Arsenal,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Aston Villa,Coventry City,Crystal Palace,Tottenham Hotspur
4182.0,50.0,8.0,7.0,0.0,0.0,0.0,14.0,5640.0,73.0,0.0,14.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
5033.0,124.0,89.0,97.0,11.0,15.0,7.0,107.0,3908.0,450.0,3.0,38.0,70.0,22.0,7.0,1.0,11.0,7.0,0.0,0.0
613.0,529.0,1023.0,868.0,310.0,241.0,162.0,1110.0,366.0,3123.0,42.0,176.0,752.0,318.0,114.0,18.0,191.0,43.0,0.0,1.0
120.0,414.0,1191.0,1148.0,511.0,400.0,323.0,1348.0,72.0,1931.0,65.0,176.0,1053.0,575.0,239.0,51.0,322.0,52.0,2.0,7.0
37.0,361.0,1162.0,1128.0,695.0,553.0,421.0,1255.0,9.0,1343.0,126.0,184.0,1065.0,655.0,383.0,86.0,485.0,37.0,6.0,9.0
8.0,391.0,1092.0,1090.0,771.0,630.0,527.0,1114.0,0.0,925.0,201.0,168.0,1046.0,737.0,482.0,135.0,601.0,59.0,10.0,13.0
2.0,363.0,1015.0,953.0,794.0,749.0,676.0,980.0,4.0,650.0,266.0,179.0,978.0,859.0,566.0,196.0,667.0,67.0,14.0,22.0
2.0,339.0,838.0,896.0,853.0,738.0,794.0,893.0,0.0,450.0,374.0,193.0,983.0,827.0,694.0,267.0,742.0,51.0,24.0,42.0
2.0,356.0,753.0,800.0,841.0,850.0,803.0,728.0,1.0,326.0,477.0,179.0,871.0,900.0,735.0,369.0,802.0,84.0,62.0,61.0
1.0,392.0,699.0,696.0,851.0,928.0,837.0,645.0,0.0,241.0,586.0,205.0,732.0,857.0,773.0,457.0,868.0,72.0,73.0,87.0
0.0,393.0,568.0,620.0,878.0,899.0,875.0,518.0,0.0,171.0,690.0,243.0,582.0,862.0,877.0,575.0,882.0,95.0,121.0,151.0
0.0,446.0,501.0,499.0,780.0,882.0,939.0,408.0,0.0,111.0,844.0,288.0,499.0,849.0,927.0,699.0,833.0,136.0,154.0,205.0
0.0,457.0,353.0,426.0,777.0,791.0,864.0,316.0,0.0,91.0,1024.0,316.0,467.0,681.0,935.0,857.0,839.0,177.0,307.0,322.0
0.0,537.0,317.0,294.0,646.0,709.0,846.0,228.0,0.0,67.0,1109.0,396.0,313.0,610.0,924.0,1028.0,786.0,221.0,448.0,521.0
0.0,544.0,192.0,239.0,497.0,607.0,706.0,143.0,0.0,26.0,1210.0,501.0,266.0,493.0,820.0,1278.0,747.0,302.0,656.0,773.0
0.0,703.0,110.0,133.0,351.0,473.0,537.0,95.0,0.0,13.0,1119.0,622.0,173.0,361.0,682.0,1356.0,583.0,423.0,1107.0,1159.0
0.0,838.0,61.0,70.0,256.0,288.0,384.0,65.0,0.0,9.0,861.0,829.0,93.0,218.0,496.0,1111.0,342.0,634.0,1761.0,1684.0
0.0,953.0,19.0,26.0,114.0,157.0,207.0,24.0,0.0,0.0,605.0,1127.0,37.0,119.0,214.0,911.0,192.0,979.0,2216.0,2100.0
0.0,1085.0,7.0,7.0,56.0,76.0,80.0,8.0,0.0,0.0,324.0,1914.0,9.0,43.0,110.0,479.0,87.0,1707.0,2097.0,1911.0
0.0,725.0,2.0,3.0,8.0,14.0,12.0,1.0,0.0,0.0,74.0,2252.0,3.0,11.0,22.0,126.0,19.0,4854.0,942.0,932.0
