Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
6759.0,2721.0,166.0,15.0,7.0,5.0,61.0,86.0,4.0,66.0,3.0,0.0,2.0,1.0,98.0,0.0,1.0,3.0,0.0,2.0
2548.0,5037.0,866.0,80.0,117.0,20.0,366.0,212.0,20.0,123.0,6.0,6.0,38.0,14.0,494.0,5.0,22.0,16.0,3.0,7.0
490.0,1364.0,2485.0,420.0,495.0,157.0,1281.0,441.0,153.0,303.0,89.0,63.0,198.0,92.0,1618.0,54.0,143.0,106.0,28.0,20.0
140.0,496.0,1920.0,669.0,755.0,319.0,1387.0,451.0,281.0,275.0,162.0,125.0,445.0,189.0,1738.0,90.0,274.0,185.0,73.0,26.0
37.0,192.0,1318.0,858.0,885.0,464.0,1338.0,461.0,407.0,301.0,277.0,187.0,573.0,281.0,1385.0,163.0,405.0,297.0,128.0,43.0
19.0,83.0,912.0,919.0,966.0,573.0,1108.0,371.0,477.0,283.0,368.0,307.0,714.0,365.0,1129.0,233.0,524.0,404.0,197.0,48.0
4.0,46.0,636.0,950.0,928.0,691.0,929.0,357.0,662.0,297.0,491.0,368.0,738.0,460.0,836.0,306.0,537.0,455.0,264.0,45.0
0.0,32.0,472.0,874.0,840.0,744.0,756.0,352.0,701.0,288.0,535.0,442.0,744.0,595.0,679.0,361.0,662.0,568.0,294.0,61.0
1.0,11.0,348.0,817.0,824.0,741.0,625.0,343.0,683.0,271.0,639.0,532.0,793.0,600.0,517.0,455.0,706.0,647.0,390.0,57.0
0.0,7.0,258.0,747.0,782.0,776.0,564.0,343.0,717.0,281.0,704.0,556.0,759.0,665.0,389.0,532.0,710.0,654.0,467.0,89.0
1.0,4.0,188.0,728.0,698.0,757.0,403.0,368.0,769.0,307.0,673.0,621.0,754.0,722.0,314.0,603.0,752.0,711.0,537.0,90.0
0.0,3.0,139.0,576.0,600.0,774.0,342.0,354.0,781.0,334.0,761.0,763.0,746.0,712.0,223.0,652.0,734.0,786.0,620.0,100.0
0.0,2.0,104.0,569.0,506.0,724.0,238.0,383.0,694.0,331.0,767.0,760.0,716.0,823.0,172.0,769.0,822.0,807.0,698.0,115.0
0.0,1.0,78.0,478.0,448.0,723.0,209.0,457.0,724.0,373.0,785.0,800.0,607.0,797.0,147.0,830.0,782.0,799.0,827.0,135.0
1.0,1.0,40.0,431.0,398.0,676.0,137.0,477.0,724.0,474.0,788.0,880.0,602.0,794.0,94.0,890.0,725.0,795.0,896.0,177.0
0.0,0.0,35.0,293.0,268.0,576.0,117.0,569.0,709.0,578.0,844.0,958.0,540.0,787.0,82.0,982.0,653.0,805.0,990.0,214.0
0.0,0.0,20.0,270.0,239.0,547.0,63.0,646.0,617.0,685.0,778.0,917.0,400.0,816.0,48.0,1045.0,633.0,727.0,1203.0,346.0
0.0,0.0,12.0,191.0,143.0,443.0,49.0,972.0,505.0,1000.0,725.0,855.0,373.0,721.0,25.0,1061.0,483.0,677.0,1171.0,594.0
0.0,0.0,3.0,91.0,86.0,234.0,24.0,1509.0,308.0,1914.0,469.0,663.0,212.0,459.0,8.0,748.0,354.0,433.0,950.0,1535.0
0.0,0.0,0.0,24.0,15.0,56.0,3.0,848.0,64.0,1516.0,136.0,197.0,46.0,107.0,4.0,221.0,78.0,125.0,264.0,6296.0
