FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3934.0,4247.0,2.0,0.0,1709.0,15.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3461.0,3279.0,19.0,8.0,2741.0,86.0,1.0,4.0,390.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2079.0,2007.0,134.0,80.0,3876.0,426.0,5.0,35.0,1244.0,8.0,18.0,7.0,1.0,77.0,0.0,1.0,2.0,0.0
424.0,378.0,848.0,509.0,1175.0,1902.0,71.0,218.0,3590.0,89.0,135.0,72.0,10.0,492.0,0.0,28.0,59.0,0.0
75.0,58.0,1449.0,1060.0,343.0,2229.0,230.0,472.0,1979.0,276.0,364.0,193.0,65.0,966.0,2.0,67.0,171.0,1.0
16.0,23.0,1612.0,1216.0,105.0,1704.0,375.0,723.0,1113.0,397.0,623.0,342.0,113.0,1196.0,6.0,140.0,289.0,7.0
8.0,5.0,1334.0,1352.0,33.0,1192.0,545.0,937.0,607.0,547.0,776.0,533.0,161.0,1254.0,8.0,250.0,447.0,11.0
2.0,3.0,1137.0,1237.0,9.0,783.0,732.0,973.0,370.0,727.0,963.0,670.0,301.0,1148.0,31.0,326.0,562.0,26.0
1.0,0.0,933.0,1019.0,7.0,571.0,832.0,1011.0,257.0,822.0,1000.0,785.0,382.0,1088.0,65.0,537.0,632.0,58.0
0.0,0.0,731.0,967.0,2.0,376.0,923.0,1001.0,156.0,871.0,1044.0,925.0,524.0,936.0,109.0,573.0,773.0,89.0
0.0,0.0,563.0,756.0,0.0,252.0,977.0,979.0,83.0,1001.0,1035.0,1034.0,646.0,728.0,179.0,775.0,876.0,116.0
0.0,0.0,444.0,614.0,0.0,184.0,1010.0,901.0,56.0,969.0,988.0,955.0,857.0,657.0,285.0,931.0,961.0,188.0
0.0,0.0,296.0,464.0,0.0,127.0,1092.0,827.0,31.0,996.0,856.0,1073.0,940.0,531.0,405.0,992.0,1078.0,292.0
0.0,0.0,234.0,339.0,0.0,68.0,961.0,693.0,18.0,1030.0,782.0,919.0,1165.0,377.0,616.0,1169.0,1146.0,483.0
0.0,0.0,126.0,204.0,0.0,48.0,905.0,537.0,7.0,902.0,646.0,990.0,1346.0,276.0,929.0,1284.0,1070.0,730.0
0.0,0.0,86.0,111.0,0.0,27.0,735.0,420.0,3.0,719.0,422.0,792.0,1523.0,170.0,1461.0,1301.0,966.0,1264.0
0.0,0.0,42.0,53.0,0.0,8.0,433.0,191.0,3.0,449.0,272.0,501.0,1192.0,68.0,2633.0,1058.0,659.0,2438.0
0.0,0.0,10.0,11.0,0.0,2.0,173.0,78.0,0.0,196.0,76.0,209.0,774.0,26.0,3271.0,568.0,309.0,4297.0
