Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
3628.0,6324.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5975.0,3473.0,459.0,64.0,7.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.0,190.0,6315.0,1900.0,258.0,730.0,39.0,150.0,36.0,6.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,13.0,2044.0,3881.0,832.0,1842.0,206.0,695.0,265.0,15.0,29.0,131.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0
3.0,0.0,702.0,2047.0,1737.0,2476.0,527.0,1275.0,634.0,84.0,119.0,373.0,1.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,271.0,1061.0,1999.0,1826.0,872.0,1732.0,986.0,243.0,222.0,687.0,10.0,43.0,30.0,15.0,2.0,1.0,0.0,0.0
0.0,0.0,104.0,531.0,1701.0,1293.0,1182.0,1790.0,1309.0,412.0,450.0,995.0,28.0,88.0,54.0,48.0,11.0,4.0,0.0,0.0
0.0,0.0,41.0,288.0,1348.0,794.0,1421.0,1553.0,1450.0,662.0,711.0,1253.0,64.0,183.0,112.0,77.0,29.0,14.0,0.0,0.0
0.0,0.0,16.0,120.0,907.0,495.0,1553.0,1065.0,1579.0,1039.0,1000.0,1340.0,106.0,327.0,202.0,152.0,54.0,44.0,1.0,0.0
0.0,0.0,3.0,57.0,548.0,305.0,1422.0,743.0,1319.0,1381.0,1245.0,1405.0,226.0,477.0,365.0,288.0,120.0,89.0,7.0,0.0
0.0,0.0,1.0,26.0,338.0,134.0,1105.0,513.0,1013.0,1541.0,1420.0,1239.0,353.0,781.0,617.0,506.0,214.0,182.0,17.0,0.0
0.0,0.0,1.0,12.0,172.0,54.0,766.0,244.0,653.0,1489.0,1514.0,981.0,664.0,1071.0,941.0,722.0,353.0,323.0,40.0,0.0
0.0,0.0,0.0,5.0,91.0,21.0,428.0,137.0,338.0,1167.0,1181.0,666.0,935.0,1511.0,1293.0,1039.0,583.0,518.0,87.0,0.0
0.0,0.0,0.0,3.0,40.0,7.0,258.0,60.0,218.0,770.0,863.0,458.0,1194.0,1456.0,1411.0,1321.0,854.0,897.0,190.0,0.0
0.0,0.0,0.0,0.0,16.0,2.0,135.0,33.0,125.0,547.0,576.0,240.0,1425.0,1268.0,1464.0,1475.0,1194.0,1139.0,361.0,0.0
0.0,0.0,0.0,0.0,6.0,1.0,60.0,5.0,49.0,329.0,347.0,123.0,1556.0,1105.0,1327.0,1504.0,1515.0,1454.0,619.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,19.0,209.0,215.0,63.0,1502.0,885.0,1033.0,1301.0,1857.0,1812.0,1080.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,77.0,86.0,23.0,1273.0,567.0,756.0,1066.0,1891.0,2112.0,2124.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,9.0,660.0,216.0,383.0,482.0,1309.0,1399.0,5356.0,137.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,14.0,11.0,118.0,9850.0
