AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
994.0,6757.0,496.0,825.0,38.0,5.0,356.0,16.0,466.0,26.0,17.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
2056.0,1864.0,1470.0,1944.0,162.0,27.0,996.0,61.0,1148.0,116.0,85.0,9.0,25.0,0.0,0.0,0.0,37.0,0.0
1860.0,758.0,1580.0,1902.0,318.0,76.0,1378.0,179.0,1374.0,284.0,179.0,13.0,43.0,1.0,0.0,0.0,55.0,0.0
1565.0,329.0,1653.0,1559.0,494.0,133.0,1387.0,305.0,1581.0,387.0,313.0,34.0,94.0,6.0,0.0,0.0,160.0,0.0
1161.0,162.0,1411.0,1235.0,769.0,230.0,1486.0,488.0,1439.0,659.0,464.0,48.0,163.0,11.0,0.0,0.0,274.0,0.0
867.0,72.0,1087.0,921.0,1036.0,389.0,1288.0,679.0,1270.0,901.0,691.0,106.0,269.0,25.0,0.0,1.0,398.0,0.0
607.0,36.0,846.0,614.0,1235.0,564.0,994.0,974.0,937.0,1037.0,864.0,202.0,439.0,69.0,1.0,3.0,578.0,0.0
377.0,12.0,528.0,393.0,1247.0,825.0,735.0,1113.0,634.0,1163.0,1131.0,323.0,652.0,110.0,2.0,3.0,752.0,0.0
212.0,7.0,382.0,270.0,1121.0,998.0,536.0,1220.0,447.0,1179.0,1177.0,513.0,783.0,200.0,4.0,11.0,940.0,0.0
144.0,2.0,224.0,161.0,1088.0,1169.0,342.0,1173.0,281.0,1123.0,1188.0,639.0,995.0,316.0,17.0,13.0,1125.0,0.0
84.0,1.0,167.0,92.0,884.0,1193.0,222.0,1118.0,217.0,1000.0,1092.0,997.0,1161.0,529.0,28.0,27.0,1186.0,2.0
39.0,0.0,95.0,48.0,681.0,1310.0,150.0,970.0,100.0,847.0,1048.0,1195.0,1323.0,814.0,64.0,66.0,1250.0,0.0
18.0,0.0,35.0,29.0,466.0,1256.0,70.0,761.0,75.0,597.0,805.0,1602.0,1380.0,1297.0,159.0,169.0,1271.0,10.0
12.0,0.0,21.0,6.0,314.0,993.0,47.0,550.0,20.0,454.0,583.0,1892.0,1333.0,1908.0,401.0,356.0,1065.0,45.0
4.0,0.0,5.0,0.0,126.0,609.0,11.0,309.0,11.0,179.0,292.0,1604.0,989.0,2949.0,1090.0,1013.0,646.0,163.0
0.0,0.0,0.0,1.0,19.0,180.0,2.0,74.0,0.0,44.0,55.0,620.0,273.0,1229.0,3400.0,3065.0,207.0,831.0
0.0,0.0,0.0,0.0,2.0,41.0,0.0,9.0,0.0,3.0,16.0,181.0,72.0,449.0,3262.0,3696.0,47.0,2222.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,22.0,3.0,87.0,1572.0,1577.0,8.0,6727.0
