AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
775.0,213.0,951.0,645.0,389.0,3.0,2003.0,612.0,3.0,174.0,11.0,4155.0,0.0,27.0,7.0,29.0,0.0,3.0
1116.0,396.0,1265.0,934.0,667.0,14.0,1932.0,895.0,13.0,404.0,32.0,2140.0,1.0,71.0,24.0,76.0,5.0,15.0
1226.0,552.0,1285.0,1106.0,819.0,24.0,1528.0,1077.0,37.0,558.0,65.0,1335.0,0.0,126.0,49.0,170.0,4.0,39.0
1221.0,661.0,1187.0,1132.0,950.0,41.0,1279.0,1116.0,64.0,715.0,128.0,846.0,3.0,250.0,76.0,255.0,20.0,56.0
1118.0,822.0,1172.0,1157.0,992.0,65.0,931.0,1123.0,85.0,819.0,179.0,582.0,6.0,355.0,123.0,330.0,43.0,98.0
1013.0,918.0,1007.0,999.0,1097.0,113.0,735.0,1056.0,167.0,936.0,289.0,346.0,22.0,466.0,208.0,400.0,58.0,170.0
905.0,955.0,801.0,938.0,1030.0,200.0,523.0,962.0,285.0,959.0,354.0,231.0,41.0,622.0,288.0,589.0,84.0,233.0
747.0,966.0,699.0,812.0,960.0,292.0,384.0,801.0,365.0,992.0,517.0,162.0,53.0,663.0,419.0,744.0,139.0,285.0
583.0,890.0,502.0,635.0,846.0,368.0,275.0,694.0,530.0,924.0,614.0,81.0,99.0,879.0,581.0,840.0,211.0,448.0
415.0,900.0,349.0,540.0,652.0,525.0,154.0,515.0,631.0,864.0,780.0,55.0,179.0,905.0,698.0,933.0,349.0,556.0
307.0,776.0,280.0,386.0,493.0,730.0,109.0,381.0,753.0,697.0,929.0,36.0,233.0,1018.0,845.0,970.0,384.0,673.0
219.0,580.0,190.0,276.0,380.0,873.0,68.0,274.0,905.0,607.0,993.0,18.0,346.0,1003.0,923.0,961.0,558.0,826.0
144.0,481.0,121.0,187.0,282.0,979.0,35.0,189.0,1039.0,455.0,1028.0,5.0,495.0,859.0,1020.0,898.0,772.0,1011.0
107.0,329.0,88.0,97.0,200.0,1062.0,24.0,141.0,1141.0,335.0,1024.0,5.0,706.0,794.0,1058.0,831.0,992.0,1066.0
54.0,256.0,55.0,78.0,129.0,1200.0,12.0,78.0,1113.0,239.0,983.0,2.0,981.0,699.0,1107.0,725.0,1141.0,1148.0
40.0,162.0,30.0,48.0,66.0,1297.0,5.0,52.0,1111.0,163.0,871.0,1.0,1330.0,556.0,974.0,577.0,1506.0,1211.0
6.0,104.0,15.0,20.0,39.0,1249.0,3.0,25.0,1021.0,108.0,742.0,0.0,1887.0,452.0,915.0,413.0,1773.0,1228.0
4.0,39.0,3.0,10.0,9.0,965.0,0.0,9.0,737.0,51.0,461.0,0.0,3618.0,255.0,685.0,259.0,1961.0,934.0
