Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
4304.0,4550.0,15.0,200.0,120.0,62.0,38.0,32.0,130.0,356.0,10.0,0.0,105.0,37.0,18.0,4.0,0.0,1.0,18.0,0.0
3109.0,3218.0,34.0,600.0,470.0,219.0,160.0,155.0,398.0,888.0,62.0,1.0,332.0,153.0,85.0,23.0,0.0,5.0,83.0,5.0
1253.0,1122.0,124.0,1078.0,947.0,502.0,436.0,338.0,854.0,1462.0,161.0,1.0,792.0,351.0,203.0,74.0,0.0,24.0,249.0,29.0
537.0,495.0,189.0,1201.0,987.0,679.0,527.0,480.0,1021.0,1320.0,218.0,5.0,884.0,517.0,341.0,143.0,0.0,41.0,356.0,59.0
318.0,255.0,298.0,1097.0,971.0,742.0,632.0,576.0,949.0,1187.0,304.0,10.0,886.0,604.0,397.0,177.0,0.0,68.0,445.0,84.0
167.0,140.0,379.0,946.0,893.0,749.0,690.0,695.0,960.0,906.0,391.0,13.0,911.0,669.0,491.0,284.0,0.0,105.0,508.0,103.0
108.0,92.0,447.0,836.0,881.0,813.0,686.0,752.0,830.0,789.0,423.0,23.0,830.0,731.0,563.0,294.0,0.0,144.0,611.0,147.0
81.0,51.0,496.0,764.0,745.0,776.0,764.0,752.0,772.0,665.0,520.0,31.0,838.0,716.0,592.0,388.0,0.0,175.0,657.0,217.0
49.0,31.0,553.0,642.0,696.0,753.0,775.0,741.0,709.0,551.0,595.0,38.0,741.0,764.0,703.0,449.0,1.0,227.0,698.0,284.0
28.0,20.0,625.0,587.0,663.0,724.0,769.0,741.0,605.0,492.0,662.0,67.0,703.0,779.0,688.0,504.0,0.0,297.0,715.0,331.0
23.0,13.0,693.0,503.0,583.0,773.0,748.0,749.0,581.0,367.0,701.0,89.0,619.0,733.0,706.0,592.0,0.0,390.0,707.0,430.0
9.0,6.0,772.0,429.0,515.0,665.0,696.0,686.0,529.0,271.0,766.0,140.0,557.0,733.0,748.0,733.0,6.0,445.0,746.0,548.0
6.0,3.0,852.0,295.0,410.0,607.0,695.0,734.0,436.0,239.0,826.0,211.0,440.0,688.0,827.0,735.0,10.0,585.0,780.0,621.0
4.0,1.0,850.0,261.0,329.0,520.0,630.0,660.0,375.0,187.0,892.0,291.0,417.0,646.0,810.0,847.0,21.0,701.0,752.0,806.0
1.0,2.0,875.0,219.0,311.0,465.0,571.0,581.0,326.0,113.0,871.0,453.0,326.0,576.0,792.0,947.0,48.0,896.0,733.0,894.0
0.0,0.0,857.0,163.0,226.0,408.0,513.0,511.0,234.0,101.0,822.0,708.0,271.0,491.0,716.0,1058.0,65.0,1084.0,671.0,1101.0
1.0,0.0,840.0,93.0,151.0,267.0,314.0,398.0,175.0,76.0,778.0,1120.0,188.0,404.0,608.0,1103.0,186.0,1376.0,576.0,1346.0
2.0,1.0,648.0,69.0,62.0,186.0,246.0,288.0,88.0,22.0,623.0,1938.0,110.0,268.0,456.0,906.0,478.0,1659.0,440.0,1510.0
0.0,0.0,392.0,16.0,38.0,84.0,101.0,117.0,24.0,7.0,315.0,3582.0,43.0,125.0,222.0,614.0,1527.0,1412.0,219.0,1162.0
0.0,0.0,61.0,1.0,2.0,6.0,9.0,14.0,4.0,1.0,60.0,1279.0,7.0,15.0,34.0,125.0,7658.0,365.0,36.0,323.0
