AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
2012.0,4907.0,270.0,942.0,294.0,72.0,24.0,1264.0,0.0,206.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2248.0,2299.0,629.0,1567.0,597.0,169.0,84.0,1816.0,4.0,522.0,27.0,11.0,3.0,1.0,13.0,7.0,0.0,0.0,0.0,3.0
1787.0,1237.0,923.0,1731.0,940.0,326.0,164.0,1854.0,10.0,855.0,64.0,29.0,7.0,1.0,46.0,13.0,3.0,0.0,0.0,10.0
1348.0,688.0,1248.0,1622.0,1222.0,475.0,291.0,1585.0,31.0,1106.0,143.0,83.0,6.0,22.0,94.0,21.0,2.0,0.0,0.0,13.0
973.0,416.0,1371.0,1339.0,1397.0,746.0,440.0,1186.0,53.0,1352.0,227.0,140.0,31.0,20.0,192.0,64.0,17.0,0.0,0.0,36.0
681.0,237.0,1393.0,903.0,1461.0,1012.0,733.0,865.0,127.0,1307.0,413.0,213.0,64.0,69.0,279.0,119.0,29.0,0.0,0.0,95.0
419.0,112.0,1210.0,718.0,1253.0,1134.0,975.0,581.0,232.0,1264.0,621.0,360.0,135.0,105.0,476.0,188.0,61.0,1.0,0.0,155.0
238.0,56.0,985.0,508.0,930.0,1337.0,1029.0,364.0,339.0,1045.0,832.0,588.0,208.0,202.0,679.0,333.0,86.0,3.0,1.0,237.0
130.0,27.0,662.0,280.0,704.0,1158.0,1204.0,225.0,490.0,811.0,1064.0,780.0,305.0,316.0,833.0,465.0,180.0,8.0,0.0,358.0
76.0,12.0,486.0,162.0,440.0,975.0,1099.0,132.0,700.0,525.0,1065.0,933.0,506.0,463.0,992.0,627.0,276.0,19.0,4.0,508.0
48.0,1.0,313.0,103.0,300.0,782.0,939.0,72.0,793.0,361.0,1166.0,968.0,578.0,648.0,1017.0,781.0,414.0,42.0,11.0,663.0
25.0,3.0,208.0,59.0,188.0,555.0,880.0,27.0,947.0,257.0,1027.0,1062.0,768.0,735.0,1017.0,882.0,491.0,60.0,19.0,790.0
6.0,4.0,138.0,35.0,110.0,428.0,678.0,8.0,1040.0,173.0,864.0,1025.0,972.0,818.0,966.0,1023.0,687.0,112.0,35.0,878.0
5.0,1.0,72.0,23.0,73.0,322.0,522.0,14.0,975.0,105.0,737.0,968.0,1044.0,1024.0,905.0,1043.0,884.0,181.0,63.0,1039.0
0.0,0.0,54.0,6.0,50.0,219.0,365.0,4.0,1106.0,59.0,618.0,879.0,1098.0,1091.0,831.0,1080.0,1074.0,272.0,118.0,1076.0
1.0,0.0,21.0,2.0,26.0,153.0,264.0,3.0,1038.0,32.0,474.0,764.0,1204.0,1198.0,655.0,1023.0,1275.0,482.0,199.0,1186.0
3.0,0.0,16.0,0.0,13.0,87.0,184.0,0.0,912.0,15.0,346.0,571.0,1198.0,1224.0,500.0,1015.0,1489.0,821.0,478.0,1128.0
0.0,0.0,1.0,0.0,1.0,41.0,94.0,0.0,751.0,5.0,212.0,421.0,1050.0,1206.0,322.0,789.0,1601.0,1541.0,942.0,1023.0
0.0,0.0,0.0,0.0,1.0,8.0,24.0,0.0,354.0,0.0,67.0,166.0,638.0,632.0,139.0,388.0,1016.0,3301.0,2682.0,584.0
0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,98.0,0.0,28.0,38.0,185.0,225.0,41.0,139.0,415.0,3157.0,5448.0,218.0
