Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
530.0,130.0,76.0,4330.0,846.0,105.0,48.0,146.0,115.0,306.0,155.0,1804.0,7.0,7.0,0.0,98.0,0.0,1129.0,0.0,78.0,2.0,2.0,86.0,0.0
825.0,262.0,208.0,2011.0,1165.0,219.0,131.0,250.0,271.0,573.0,260.0,1817.0,30.0,27.0,0.0,203.0,0.0,1349.0,0.0,198.0,13.0,12.0,172.0,4.0
913.0,403.0,300.0,1163.0,1170.0,332.0,234.0,360.0,373.0,709.0,398.0,1433.0,78.0,59.0,1.0,267.0,0.0,1239.0,1.0,260.0,20.0,34.0,241.0,12.0
976.0,403.0,361.0,773.0,1067.0,402.0,280.0,433.0,501.0,733.0,462.0,1117.0,110.0,82.0,4.0,398.0,1.0,1081.0,3.0,372.0,36.0,48.0,339.0,18.0
871.0,496.0,428.0,467.0,968.0,549.0,337.0,520.0,522.0,803.0,532.0,852.0,129.0,127.0,3.0,467.0,2.0,961.0,7.0,427.0,52.0,67.0,391.0,22.0
796.0,548.0,518.0,361.0,785.0,553.0,441.0,618.0,575.0,740.0,590.0,684.0,183.0,171.0,4.0,506.0,5.0,775.0,7.0,478.0,72.0,120.0,444.0,26.0
783.0,602.0,545.0,234.0,696.0,603.0,517.0,601.0,590.0,736.0,615.0,503.0,225.0,211.0,9.0,529.0,5.0,677.0,13.0,522.0,96.0,133.0,498.0,57.0
678.0,628.0,593.0,201.0,599.0,638.0,517.0,640.0,623.0,771.0,643.0,408.0,257.0,257.0,13.0,563.0,6.0,517.0,13.0,531.0,140.0,176.0,518.0,70.0
587.0,633.0,596.0,154.0,490.0,634.0,568.0,613.0,638.0,637.0,658.0,338.0,315.0,321.0,14.0,596.0,8.0,435.0,31.0,623.0,169.0,265.0,571.0,106.0
563.0,646.0,645.0,96.0,456.0,635.0,590.0,625.0,655.0,569.0,634.0,254.0,374.0,349.0,32.0,610.0,17.0,407.0,34.0,610.0,216.0,280.0,568.0,135.0
446.0,638.0,631.0,67.0,391.0,688.0,614.0,648.0,651.0,556.0,598.0,211.0,446.0,425.0,42.0,628.0,22.0,331.0,45.0,653.0,245.0,318.0,565.0,141.0
399.0,670.0,626.0,50.0,326.0,613.0,658.0,635.0,618.0,520.0,558.0,170.0,507.0,453.0,58.0,612.0,31.0,251.0,49.0,646.0,343.0,393.0,608.0,206.0
366.0,581.0,661.0,33.0,295.0,576.0,626.0,585.0,602.0,477.0,599.0,128.0,565.0,553.0,62.0,649.0,36.0,219.0,94.0,607.0,355.0,454.0,627.0,250.0
304.0,568.0,614.0,18.0,184.0,575.0,634.0,596.0,565.0,411.0,578.0,75.0,619.0,623.0,114.0,640.0,65.0,195.0,113.0,620.0,414.0,509.0,659.0,307.0
249.0,557.0,598.0,19.0,164.0,603.0,591.0,528.0,521.0,360.0,525.0,62.0,630.0,714.0,164.0,610.0,98.0,128.0,175.0,591.0,525.0,586.0,603.0,399.0
227.0,499.0,571.0,8.0,137.0,524.0,636.0,477.0,504.0,300.0,497.0,39.0,709.0,695.0,207.0,576.0,128.0,98.0,259.0,556.0,615.0,668.0,553.0,517.0
163.0,447.0,528.0,4.0,104.0,448.0,607.0,430.0,438.0,232.0,433.0,47.0,799.0,746.0,277.0,473.0,198.0,76.0,351.0,539.0,783.0,761.0,574.0,542.0
132.0,359.0,433.0,5.0,65.0,396.0,526.0,436.0,354.0,206.0,379.0,27.0,811.0,817.0,409.0,456.0,302.0,47.0,466.0,458.0,826.0,852.0,518.0,720.0
84.0,330.0,364.0,4.0,40.0,292.0,429.0,291.0,325.0,148.0,326.0,11.0,829.0,785.0,628.0,403.0,494.0,42.0,636.0,385.0,976.0,853.0,454.0,871.0
53.0,251.0,285.0,0.0,23.0,250.0,392.0,222.0,232.0,100.0,242.0,10.0,784.0,791.0,808.0,289.0,607.0,24.0,899.0,342.0,1004.0,920.0,383.0,1089.0
33.0,168.0,211.0,2.0,18.0,175.0,290.0,154.0,168.0,52.0,151.0,5.0,661.0,750.0,1165.0,192.0,969.0,10.0,1167.0,251.0,1088.0,854.0,269.0,1197.0
9.0,113.0,131.0,0.0,9.0,112.0,186.0,124.0,95.0,40.0,102.0,3.0,491.0,540.0,1593.0,139.0,1489.0,4.0,1541.0,147.0,874.0,775.0,210.0,1273.0
7.0,51.0,56.0,0.0,1.0,55.0,98.0,53.0,44.0,19.0,50.0,2.0,312.0,344.0,2079.0,72.0,2197.0,4.0,1899.0,73.0,710.0,587.0,102.0,1185.0
6.0,17.0,21.0,0.0,1.0,23.0,50.0,15.0,20.0,2.0,15.0,0.0,129.0,153.0,2314.0,24.0,3320.0,1.0,2197.0,33.0,426.0,333.0,47.0,853.0
