Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Real Sociedad,Espanyol,Athletic Club,Getafe,Villarreal,Celta Vigo,Valencia,Rayo Vallecano,Elche,Málaga
6413.0,3253.0,100.0,2.0,8.0,1.0,58.0,93.0,0.0,3.0,0.0,0.0,1.0,0.0,67.0,0.0,1.0,0.0,0.0,0.0
2924.0,5103.0,572.0,53.0,60.0,9.0,316.0,569.0,8.0,26.0,0.0,4.0,2.0,3.0,340.0,0.0,5.0,5.0,1.0,0.0
487.0,1029.0,2159.0,282.0,413.0,87.0,1359.0,2214.0,69.0,229.0,0.0,55.0,19.0,45.0,1460.0,0.0,35.0,41.0,17.0,0.0
112.0,347.0,1966.0,496.0,674.0,169.0,1651.0,1905.0,145.0,398.0,0.0,126.0,88.0,88.0,1584.0,0.0,102.0,112.0,37.0,0.0
41.0,152.0,1451.0,690.0,873.0,304.0,1431.0,1565.0,268.0,607.0,0.0,215.0,170.0,179.0,1577.0,0.0,182.0,210.0,85.0,0.0
17.0,58.0,1149.0,886.0,979.0,458.0,1279.0,1127.0,447.0,786.0,0.0,328.0,208.0,245.0,1291.0,0.0,281.0,286.0,175.0,0.0
3.0,28.0,819.0,987.0,1042.0,549.0,1028.0,807.0,535.0,867.0,0.0,471.0,324.0,437.0,1038.0,0.0,393.0,420.0,252.0,0.0
2.0,22.0,557.0,990.0,1040.0,770.0,803.0,549.0,701.0,891.0,0.0,584.0,472.0,550.0,719.0,0.0,515.0,516.0,319.0,0.0
1.0,3.0,417.0,944.0,979.0,884.0,588.0,393.0,738.0,999.0,0.0,653.0,537.0,609.0,596.0,0.0,592.0,635.0,432.0,0.0
0.0,2.0,290.0,894.0,849.0,887.0,456.0,250.0,799.0,962.0,0.0,721.0,694.0,753.0,408.0,0.0,716.0,744.0,575.0,0.0
0.0,1.0,186.0,872.0,750.0,910.0,342.0,198.0,885.0,833.0,0.0,820.0,802.0,854.0,314.0,0.0,798.0,791.0,644.0,0.0
0.0,0.0,129.0,721.0,649.0,916.0,230.0,142.0,927.0,777.0,0.0,948.0,902.0,907.0,194.0,0.0,890.0,915.0,753.0,0.0
0.0,2.0,74.0,606.0,527.0,931.0,166.0,83.0,946.0,723.0,0.0,968.0,959.0,1013.0,177.0,0.0,957.0,972.0,896.0,0.0
0.0,0.0,50.0,565.0,408.0,898.0,134.0,51.0,950.0,665.0,0.0,1011.0,1027.0,1080.0,102.0,0.0,992.0,1010.0,1056.0,1.0
0.0,0.0,40.0,434.0,342.0,847.0,88.0,31.0,947.0,526.0,0.0,1017.0,1143.0,1049.0,74.0,0.0,1129.0,1067.0,1260.0,6.0
0.0,0.0,32.0,365.0,257.0,771.0,46.0,13.0,922.0,417.0,0.0,1022.0,1250.0,1080.0,40.0,0.0,1172.0,1138.0,1461.0,14.0
0.0,0.0,9.0,211.0,148.0,604.0,25.0,10.0,701.0,291.0,0.0,1037.0,1381.0,1103.0,19.0,0.0,1224.0,1131.0,2006.0,100.0
0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,12.0,0.0,33.0,20.0,21.0,5.0,0.0,0.0,16.0,7.0,31.0,9846.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9967.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9998.0,0.0,0.0,0.0,2.0
