AS Monaco,Lyon,Lille,Paris FC,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
1397.0,1063.0,1378.0,230.0,390.0,3.0,2070.0,604.0,6.0,236.0,14.0,2558.0,0.0,27.0,6.0,14.0,1.0,3.0
1473.0,1171.0,1468.0,338.0,602.0,11.0,1709.0,750.0,12.0,383.0,38.0,1901.0,1.0,77.0,22.0,40.0,0.0,4.0
1336.0,1244.0,1444.0,490.0,713.0,17.0,1425.0,890.0,26.0,551.0,62.0,1552.0,2.0,125.0,41.0,64.0,5.0,13.0
1248.0,1185.0,1302.0,646.0,919.0,42.0,1162.0,1091.0,66.0,654.0,104.0,1113.0,9.0,224.0,78.0,122.0,15.0,20.0
1099.0,1113.0,1083.0,777.0,1015.0,69.0,988.0,1075.0,100.0,815.0,196.0,870.0,7.0,350.0,144.0,204.0,21.0,74.0
966.0,1052.0,882.0,884.0,1027.0,143.0,800.0,1077.0,158.0,967.0,249.0,656.0,16.0,475.0,218.0,294.0,48.0,88.0
729.0,837.0,720.0,1016.0,1131.0,157.0,638.0,1040.0,242.0,1035.0,403.0,484.0,41.0,553.0,319.0,429.0,71.0,155.0
558.0,685.0,538.0,1101.0,985.0,292.0,438.0,914.0,355.0,1029.0,529.0,356.0,51.0,759.0,471.0,610.0,103.0,226.0
418.0,562.0,442.0,1013.0,859.0,442.0,292.0,761.0,556.0,973.0,647.0,193.0,94.0,908.0,615.0,688.0,207.0,330.0
274.0,380.0,285.0,870.0,713.0,611.0,199.0,574.0,746.0,862.0,837.0,146.0,161.0,974.0,758.0,850.0,305.0,455.0
196.0,269.0,181.0,713.0,566.0,747.0,119.0,432.0,818.0,721.0,995.0,72.0,236.0,1043.0,900.0,973.0,411.0,608.0
126.0,172.0,135.0,616.0,364.0,862.0,85.0,297.0,927.0,573.0,1039.0,49.0,356.0,1008.0,960.0,1079.0,559.0,793.0
75.0,133.0,57.0,474.0,288.0,1034.0,37.0,197.0,1039.0,426.0,987.0,20.0,545.0,879.0,1035.0,1050.0,736.0,988.0
57.0,70.0,34.0,335.0,178.0,1113.0,20.0,137.0,1138.0,303.0,1034.0,14.0,714.0,772.0,1039.0,965.0,1009.0,1068.0
28.0,32.0,29.0,231.0,122.0,1188.0,12.0,82.0,1139.0,228.0,974.0,14.0,1004.0,669.0,992.0,898.0,1181.0,1177.0
12.0,23.0,14.0,150.0,71.0,1193.0,5.0,45.0,1063.0,138.0,819.0,0.0,1409.0,565.0,946.0,744.0,1426.0,1377.0
6.0,9.0,7.0,77.0,39.0,1211.0,1.0,26.0,934.0,76.0,683.0,2.0,1982.0,399.0,851.0,583.0,1823.0,1291.0
2.0,0.0,1.0,39.0,18.0,865.0,0.0,8.0,675.0,30.0,390.0,0.0,3372.0,193.0,605.0,393.0,2079.0,1330.0
