Como,AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Parma,Monza,Venezia,Fiorentina,Genoa
2147.0,1870.0,4363.0,250.0,802.0,248.0,43.0,25.0,1.0,244.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2375.0,2094.0,2369.0,570.0,1280.0,539.0,153.0,75.0,3.0,501.0,20.0,7.0,2.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0
1927.0,1839.0,1376.0,900.0,1631.0,903.0,267.0,179.0,5.0,787.0,92.0,28.0,9.0,6.0,38.0,3.0,0.0,0.0,8.0,2.0
1324.0,1446.0,864.0,1191.0,1700.0,1174.0,492.0,296.0,34.0,1102.0,145.0,66.0,17.0,14.0,95.0,9.0,0.0,0.0,22.0,9.0
900.0,1038.0,457.0,1405.0,1443.0,1488.0,684.0,541.0,84.0,1236.0,264.0,119.0,32.0,30.0,185.0,17.0,0.0,0.0,51.0,26.0
567.0,691.0,289.0,1418.0,1104.0,1423.0,1016.0,740.0,135.0,1377.0,454.0,213.0,57.0,66.0,297.0,36.0,0.0,0.0,72.0,45.0
350.0,422.0,129.0,1222.0,801.0,1278.0,1218.0,951.0,256.0,1258.0,653.0,400.0,149.0,114.0,462.0,63.0,2.0,0.0,160.0,112.0
189.0,288.0,80.0,989.0,506.0,978.0,1238.0,1146.0,397.0,1115.0,888.0,524.0,234.0,194.0,673.0,128.0,6.0,1.0,256.0,170.0
116.0,149.0,41.0,686.0,330.0,690.0,1239.0,1199.0,567.0,790.0,1095.0,722.0,323.0,354.0,824.0,202.0,9.0,0.0,391.0,273.0
53.0,74.0,17.0,500.0,181.0,483.0,993.0,1133.0,715.0,587.0,1129.0,925.0,516.0,498.0,959.0,300.0,13.0,3.0,524.0,397.0
31.0,45.0,9.0,337.0,109.0,304.0,770.0,969.0,930.0,389.0,1112.0,1041.0,615.0,582.0,1053.0,444.0,31.0,10.0,623.0,596.0
7.0,22.0,2.0,214.0,48.0,204.0,634.0,793.0,994.0,229.0,991.0,1061.0,787.0,825.0,1033.0,585.0,50.0,13.0,789.0,719.0
7.0,13.0,0.0,128.0,25.0,132.0,442.0,571.0,1087.0,168.0,858.0,1111.0,940.0,925.0,997.0,752.0,108.0,23.0,882.0,831.0
1.0,3.0,2.0,82.0,19.0,75.0,332.0,470.0,1026.0,97.0,691.0,1013.0,1079.0,1058.0,946.0,878.0,167.0,47.0,1007.0,1007.0
3.0,5.0,2.0,53.0,13.0,51.0,188.0,374.0,1035.0,69.0,575.0,846.0,1185.0,1157.0,757.0,1055.0,278.0,88.0,1175.0,1091.0
2.0,1.0,0.0,25.0,6.0,16.0,141.0,267.0,887.0,30.0,466.0,719.0,1153.0,1198.0,667.0,1322.0,469.0,205.0,1174.0,1252.0
1.0,0.0,0.0,22.0,1.0,9.0,105.0,147.0,849.0,17.0,284.0,572.0,1212.0,1157.0,495.0,1459.0,805.0,415.0,1139.0,1311.0
0.0,0.0,0.0,7.0,0.0,5.0,34.0,89.0,599.0,3.0,187.0,437.0,1023.0,1082.0,344.0,1583.0,1518.0,882.0,1004.0,1203.0
0.0,0.0,0.0,1.0,1.0,0.0,8.0,31.0,316.0,0.0,74.0,152.0,497.0,575.0,127.0,900.0,3481.0,2575.0,554.0,708.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,80.0,1.0,19.0,44.0,169.0,164.0,35.0,264.0,3063.0,5738.0,168.0,248.0
