SC Freiburg,Borussia Dortmund,SV Elversberg,Bayern Munich,Bayer Leverkusen,FC Augsburg,RB Leipzig,VfB Stuttgart,Werder Bremen,FC Cologne,Eintracht Frankfurt,Mainz,SC Paderborn 07,Schalke 04,1. FC Union Berlin,TSG Hoffenheim,Hamburg SV,Borussia Mönchengladbach
52.0,1594.0,4.0,7762.0,199.0,5.0,143.0,205.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,20.0,0.0,1.0
368.0,4498.0,56.0,1655.0,1105.0,62.0,744.0,1092.0,7.0,24.0,114.0,61.0,0.0,0.0,12.0,169.0,26.0,7.0
828.0,1878.0,188.0,377.0,1966.0,276.0,1471.0,1813.0,35.0,93.0,326.0,181.0,0.0,0.0,35.0,426.0,68.0,39.0
1036.0,911.0,348.0,126.0,1777.0,393.0,1650.0,1690.0,75.0,161.0,554.0,308.0,0.0,1.0,94.0,617.0,157.0,102.0
1152.0,486.0,481.0,51.0,1410.0,586.0,1397.0,1375.0,159.0,303.0,653.0,491.0,3.0,0.0,167.0,864.0,253.0,169.0
1147.0,252.0,643.0,19.0,994.0,689.0,1185.0,1108.0,247.0,403.0,857.0,598.0,9.0,3.0,246.0,991.0,379.0,230.0
1021.0,181.0,742.0,6.0,784.0,844.0,905.0,796.0,342.0,552.0,908.0,759.0,13.0,7.0,337.0,956.0,481.0,366.0
946.0,78.0,831.0,2.0,541.0,924.0,689.0,573.0,495.0,639.0,923.0,791.0,39.0,7.0,449.0,1010.0,583.0,480.0
787.0,51.0,883.0,1.0,405.0,903.0,532.0,436.0,614.0,744.0,931.0,875.0,33.0,19.0,552.0,989.0,716.0,529.0
704.0,34.0,909.0,1.0,277.0,925.0,390.0,307.0,740.0,888.0,902.0,932.0,83.0,27.0,643.0,852.0,713.0,673.0
537.0,19.0,908.0,0.0,188.0,860.0,308.0,231.0,822.0,969.0,813.0,896.0,143.0,49.0,775.0,760.0,921.0,801.0
460.0,5.0,937.0,0.0,131.0,831.0,228.0,151.0,924.0,964.0,828.0,864.0,166.0,72.0,936.0,684.0,935.0,884.0
355.0,6.0,878.0,0.0,104.0,750.0,149.0,94.0,1113.0,949.0,661.0,900.0,310.0,135.0,1056.0,569.0,983.0,988.0
282.0,6.0,730.0,0.0,53.0,696.0,108.0,59.0,1138.0,1026.0,549.0,801.0,533.0,237.0,1133.0,439.0,1107.0,1103.0
177.0,1.0,653.0,0.0,42.0,561.0,62.0,43.0,1214.0,922.0,487.0,687.0,857.0,441.0,1265.0,324.0,1043.0,1221.0
108.0,0.0,505.0,0.0,17.0,437.0,26.0,18.0,1167.0,832.0,307.0,514.0,1513.0,1054.0,1156.0,219.0,952.0,1175.0
36.0,0.0,240.0,0.0,6.0,194.0,12.0,8.0,656.0,402.0,129.0,261.0,3277.0,2528.0,797.0,88.0,499.0,867.0
4.0,0.0,64.0,0.0,1.0,64.0,1.0,1.0,252.0,128.0,48.0,77.0,3021.0,5420.0,347.0,23.0,184.0,365.0
