Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,São Paulo,Corinthians,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
3691.0,6275.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5925.0,3558.0,410.0,82.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339.0,157.0,5909.0,2367.0,453.0,642.0,44.0,56.0,5.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,10.0,2251.0,4119.0,1339.0,1534.0,169.0,291.0,67.0,33.0,11.0,134.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,824.0,1964.0,2655.0,2319.0,597.0,791.0,180.0,139.0,62.0,437.0,1.0,15.0,6.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,384.0,861.0,2364.0,2103.0,971.0,1352.0,521.0,386.0,178.0,811.0,3.0,26.0,25.0,15.0,0.0,0.0,0.0,0.0
0.0,0.0,138.0,369.0,1428.0,1395.0,1438.0,1770.0,961.0,706.0,400.0,1160.0,12.0,109.0,73.0,33.0,2.0,6.0,0.0,0.0
0.0,0.0,33.0,138.0,840.0,857.0,1605.0,1597.0,1246.0,1085.0,661.0,1431.0,35.0,217.0,142.0,86.0,13.0,13.0,1.0,0.0
0.0,0.0,14.0,69.0,469.0,559.0,1484.0,1397.0,1451.0,1304.0,946.0,1351.0,108.0,358.0,271.0,169.0,23.0,27.0,0.0,0.0
0.0,0.0,3.0,21.0,251.0,312.0,1236.0,1057.0,1469.0,1502.0,1253.0,1330.0,190.0,499.0,425.0,322.0,47.0,79.0,4.0,0.0
0.0,0.0,1.0,7.0,112.0,141.0,1005.0,780.0,1408.0,1472.0,1489.0,1122.0,307.0,760.0,697.0,438.0,94.0,150.0,17.0,0.0
0.0,0.0,0.0,2.0,55.0,69.0,687.0,456.0,1052.0,1287.0,1574.0,879.0,526.0,1091.0,1040.0,760.0,215.0,275.0,32.0,0.0
0.0,0.0,0.0,0.0,13.0,35.0,395.0,255.0,717.0,880.0,1291.0,610.0,835.0,1495.0,1411.0,1103.0,349.0,535.0,76.0,0.0
0.0,0.0,0.0,0.0,9.0,13.0,217.0,128.0,435.0,553.0,922.0,362.0,1179.0,1532.0,1544.0,1413.0,636.0,867.0,190.0,0.0
0.0,0.0,0.0,0.0,1.0,7.0,100.0,43.0,271.0,332.0,593.0,196.0,1485.0,1338.0,1426.0,1634.0,966.0,1241.0,367.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,119.0,202.0,357.0,87.0,1773.0,1073.0,1215.0,1542.0,1341.0,1573.0,660.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,70.0,90.0,168.0,41.0,1631.0,775.0,885.0,1254.0,1893.0,1896.0,1274.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,21.0,78.0,22.0,1295.0,503.0,597.0,862.0,2260.0,2004.0,2311.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,17.0,4.0,619.0,206.0,238.0,361.0,2128.0,1314.0,4946.0,160.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,33.0,20.0,122.0,9815.0
