Barcelona,Alavés,Real Madrid,Real Betis,Deportivo La Coruña,Atlético Madrid,Sevilla,Osasuna,Athletic Club,Levante,Espanyol,Racing Santander,Rayo Vallecano,Real Sociedad,Getafe,Villarreal,Celta Vigo,Málaga,Elche,Valencia
8493.0,13.0,1377.0,43.0,1.0,43.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,17.0,2.0,0.0,0.0,0.0
1337.0,288.0,6272.0,698.0,42.0,679.0,37.0,58.0,39.0,25.0,12.0,0.0,43.0,39.0,27.0,363.0,36.0,0.0,3.0,2.0
132.0,1048.0,1376.0,2158.0,240.0,1985.0,232.0,314.0,206.0,152.0,67.0,5.0,208.0,263.0,127.0,1271.0,154.0,0.0,40.0,22.0
27.0,1197.0,513.0,1678.0,405.0,1656.0,382.0,541.0,323.0,274.0,160.0,18.0,360.0,357.0,228.0,1399.0,359.0,0.0,95.0,28.0
7.0,1116.0,223.0,1305.0,498.0,1355.0,524.0,670.0,452.0,384.0,245.0,24.0,423.0,553.0,314.0,1279.0,406.0,1.0,157.0,64.0
2.0,1109.0,97.0,997.0,592.0,984.0,592.0,697.0,560.0,462.0,315.0,57.0,554.0,603.0,391.0,1097.0,537.0,0.0,241.0,113.0
2.0,943.0,67.0,760.0,656.0,769.0,678.0,770.0,632.0,570.0,382.0,93.0,654.0,655.0,451.0,892.0,595.0,0.0,298.0,133.0
0.0,812.0,33.0,552.0,691.0,583.0,683.0,789.0,653.0,677.0,469.0,125.0,693.0,697.0,530.0,778.0,635.0,0.0,378.0,222.0
0.0,684.0,19.0,484.0,723.0,500.0,786.0,799.0,689.0,672.0,534.0,148.0,699.0,739.0,578.0,637.0,650.0,0.0,402.0,257.0
0.0,579.0,10.0,377.0,720.0,369.0,765.0,744.0,705.0,720.0,603.0,230.0,698.0,748.0,699.0,518.0,740.0,1.0,468.0,306.0
0.0,487.0,7.0,265.0,773.0,320.0,750.0,755.0,740.0,714.0,631.0,280.0,727.0,777.0,698.0,428.0,724.0,2.0,548.0,374.0
0.0,419.0,3.0,195.0,712.0,235.0,746.0,702.0,746.0,743.0,756.0,369.0,709.0,705.0,730.0,358.0,795.0,7.0,609.0,461.0
0.0,338.0,2.0,166.0,731.0,169.0,686.0,641.0,746.0,752.0,760.0,416.0,707.0,769.0,787.0,259.0,763.0,10.0,734.0,564.0
0.0,312.0,1.0,125.0,704.0,119.0,680.0,594.0,748.0,734.0,830.0,523.0,756.0,659.0,797.0,225.0,723.0,22.0,770.0,678.0
0.0,237.0,0.0,82.0,652.0,91.0,671.0,535.0,682.0,721.0,856.0,724.0,685.0,624.0,794.0,181.0,726.0,52.0,869.0,818.0
0.0,175.0,0.0,52.0,583.0,65.0,590.0,486.0,643.0,756.0,884.0,886.0,652.0,598.0,799.0,123.0,674.0,74.0,928.0,1032.0
0.0,119.0,0.0,35.0,521.0,41.0,513.0,401.0,593.0,652.0,872.0,1279.0,534.0,505.0,745.0,96.0,621.0,174.0,1055.0,1244.0
0.0,86.0,0.0,15.0,435.0,23.0,414.0,320.0,459.0,550.0,835.0,1626.0,522.0,403.0,729.0,60.0,495.0,403.0,1101.0,1524.0
0.0,34.0,0.0,13.0,287.0,13.0,233.0,158.0,333.0,377.0,683.0,2510.0,317.0,274.0,497.0,17.0,308.0,1220.0,1039.0,1687.0
0.0,4.0,0.0,0.0,34.0,1.0,36.0,22.0,51.0,64.0,106.0,687.0,58.0,30.0,78.0,2.0,57.0,8034.0,265.0,471.0
