FC Porto,Sporting CP,Santa Clara,Benfica,Arouca,Braga,Gil Vicente,Maritimo,Estrela,Académico de Viseu,Vitória de Guimaraes,C.D. Nacional,Moreirense,FC Famalicao,Rio Ave,Alverca,Estoril,Casa Pia
3514.0,4253.0,0.0,2132.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3235.0,3339.0,13.0,2987.0,10.0,395.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2661.0,2005.0,128.0,3694.0,70.0,1255.0,123.0,0.0,11.0,2.0,2.0,11.0,2.0,33.0,0.0,0.0,3.0,0.0
525.0,359.0,1030.0,965.0,718.0,4746.0,952.0,4.0,152.0,1.0,35.0,67.0,54.0,341.0,2.0,8.0,41.0,0.0
53.0,33.0,2077.0,159.0,1570.0,1812.0,1943.0,61.0,475.0,17.0,153.0,283.0,178.0,971.0,21.0,48.0,146.0,0.0
10.0,11.0,1871.0,43.0,1607.0,820.0,1808.0,138.0,748.0,52.0,319.0,504.0,378.0,1277.0,50.0,105.0,254.0,5.0
2.0,0.0,1478.0,15.0,1528.0,428.0,1493.0,213.0,979.0,107.0,504.0,710.0,506.0,1308.0,111.0,189.0,420.0,9.0
0.0,0.0,1054.0,3.0,1307.0,227.0,1109.0,324.0,1098.0,203.0,666.0,890.0,727.0,1334.0,183.0,290.0,554.0,31.0
0.0,0.0,761.0,1.0,990.0,97.0,783.0,489.0,1158.0,280.0,863.0,1038.0,856.0,1189.0,244.0,454.0,751.0,46.0
0.0,0.0,539.0,1.0,736.0,64.0,623.0,601.0,1168.0,429.0,946.0,1149.0,946.0,973.0,347.0,577.0,822.0,79.0
0.0,0.0,376.0,0.0,503.0,36.0,419.0,822.0,994.0,586.0,1058.0,1076.0,1037.0,780.0,519.0,728.0,943.0,123.0
0.0,0.0,270.0,0.0,374.0,13.0,286.0,957.0,878.0,755.0,1008.0,1009.0,1059.0,589.0,677.0,861.0,1058.0,206.0
0.0,0.0,197.0,0.0,229.0,5.0,196.0,1129.0,712.0,949.0,1020.0,864.0,1036.0,428.0,864.0,1014.0,1045.0,312.0
0.0,0.0,102.0,0.0,166.0,1.0,119.0,1158.0,574.0,1179.0,974.0,813.0,977.0,291.0,981.0,1093.0,1039.0,533.0
0.0,0.0,57.0,0.0,102.0,1.0,70.0,1189.0,456.0,1275.0,861.0,636.0,840.0,240.0,1212.0,1255.0,1011.0,795.0
0.0,0.0,27.0,0.0,65.0,1.0,36.0,1199.0,321.0,1420.0,714.0,494.0,666.0,142.0,1583.0,1249.0,878.0,1205.0
0.0,0.0,16.0,0.0,22.0,0.0,15.0,1050.0,195.0,1592.0,551.0,294.0,484.0,87.0,1754.0,1263.0,663.0,2014.0
0.0,0.0,4.0,0.0,3.0,0.0,6.0,666.0,81.0,1153.0,326.0,162.0,253.0,14.0,1452.0,866.0,372.0,4642.0
