Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,São Paulo,Vitória,Corinthians,Santos,Botafogo,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
7400.0,2589.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2563.0,7171.0,138.0,85.0,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,210.0,4527.0,3088.0,693.0,1306.0,16.0,95.0,8.0,5.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,2805.0,3250.0,1409.0,1994.0,59.0,293.0,37.0,42.0,0.0,0.0,5.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,5.0,1439.0,2033.0,2330.0,2613.0,178.0,697.0,184.0,154.0,4.0,6.0,40.0,311.0,0.0,6.0,0.0,0.0,0.0,0.0
0.0,1.0,709.0,984.0,2571.0,2108.0,501.0,1343.0,491.0,369.0,10.0,38.0,91.0,747.0,5.0,31.0,1.0,0.0,0.0,0.0
0.0,0.0,221.0,341.0,1511.0,1042.0,1023.0,2007.0,1020.0,826.0,40.0,121.0,292.0,1387.0,35.0,130.0,1.0,3.0,0.0,0.0
0.0,0.0,103.0,132.0,782.0,475.0,1423.0,1714.0,1407.0,1170.0,122.0,325.0,457.0,1567.0,92.0,218.0,7.0,6.0,0.0,0.0
0.0,0.0,35.0,47.0,377.0,251.0,1567.0,1276.0,1538.0,1434.0,204.0,532.0,669.0,1423.0,178.0,422.0,32.0,15.0,0.0,0.0
0.0,0.0,13.0,26.0,175.0,114.0,1443.0,999.0,1419.0,1486.0,388.0,750.0,856.0,1311.0,305.0,631.0,59.0,21.0,4.0,0.0
0.0,0.0,2.0,7.0,91.0,45.0,1346.0,670.0,1233.0,1288.0,561.0,1094.0,1090.0,1025.0,459.0,914.0,114.0,54.0,7.0,0.0
0.0,0.0,0.0,2.0,32.0,13.0,964.0,444.0,952.0,1132.0,807.0,1352.0,1287.0,804.0,733.0,1125.0,215.0,127.0,11.0,0.0
0.0,0.0,1.0,1.0,11.0,7.0,717.0,252.0,735.0,834.0,1068.0,1475.0,1371.0,580.0,956.0,1390.0,330.0,238.0,34.0,0.0
0.0,0.0,0.0,0.0,3.0,0.0,405.0,114.0,478.0,598.0,1370.0,1404.0,1403.0,383.0,1331.0,1462.0,572.0,408.0,69.0,0.0
0.0,0.0,0.0,0.0,2.0,1.0,202.0,68.0,294.0,332.0,1741.0,1181.0,1048.0,221.0,1638.0,1373.0,969.0,765.0,164.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,106.0,23.0,137.0,208.0,1698.0,938.0,747.0,96.0,1727.0,1147.0,1517.0,1237.0,414.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,45.0,89.0,1251.0,523.0,436.0,41.0,1400.0,688.0,2267.0,2136.0,1051.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,25.0,601.0,225.0,174.0,8.0,818.0,355.0,2437.0,2940.0,2280.0,111.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,131.0,36.0,33.0,1.0,310.0,105.0,1397.0,1926.0,5363.0,688.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,2.0,82.0,124.0,603.0,9172.0
