Manchester City,Arsenal,Hull City,Chelsea,Brentford,Liverpool,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Crystal Palace,Ipswich Town,AFC Bournemouth,Nottingham Forest,Aston Villa,Tottenham Hotspur,Fulham,Coventry City
4353.0,4831.0,5.0,100.0,75.0,139.0,32.0,24.0,41.0,71.0,270.0,9.0,1.0,0.0,25.0,9.0,14.0,1.0,0.0,0.0
3512.0,3413.0,32.0,344.0,331.0,505.0,171.0,155.0,128.0,316.0,740.0,52.0,10.0,0.0,142.0,68.0,63.0,3.0,15.0,0.0
1068.0,923.0,124.0,886.0,839.0,1198.0,490.0,420.0,453.0,890.0,1607.0,173.0,46.0,1.0,418.0,222.0,181.0,15.0,46.0,0.0
480.0,391.0,223.0,1018.0,900.0,1216.0,625.0,564.0,547.0,999.0,1408.0,258.0,89.0,0.0,565.0,312.0,282.0,45.0,78.0,0.0
275.0,197.0,266.0,990.0,928.0,1055.0,718.0,663.0,631.0,976.0,1107.0,366.0,141.0,1.0,632.0,426.0,402.0,87.0,139.0,0.0
124.0,93.0,368.0,962.0,903.0,940.0,747.0,742.0,715.0,911.0,945.0,393.0,216.0,2.0,687.0,468.0,479.0,104.0,201.0,0.0
81.0,64.0,447.0,842.0,847.0,860.0,731.0,744.0,754.0,899.0,756.0,486.0,242.0,3.0,746.0,553.0,579.0,150.0,216.0,0.0
38.0,32.0,502.0,788.0,776.0,772.0,816.0,737.0,740.0,752.0,699.0,591.0,313.0,12.0,768.0,616.0,544.0,194.0,310.0,0.0
31.0,26.0,571.0,717.0,716.0,666.0,739.0,764.0,746.0,775.0,585.0,601.0,365.0,13.0,725.0,649.0,659.0,253.0,399.0,0.0
24.0,14.0,619.0,678.0,647.0,595.0,737.0,750.0,748.0,682.0,446.0,663.0,474.0,23.0,775.0,726.0,674.0,292.0,433.0,0.0
6.0,9.0,748.0,556.0,602.0,470.0,709.0,742.0,721.0,573.0,363.0,792.0,583.0,36.0,699.0,770.0,745.0,388.0,487.0,1.0
3.0,2.0,717.0,530.0,572.0,396.0,730.0,683.0,742.0,478.0,305.0,769.0,609.0,49.0,685.0,796.0,797.0,485.0,646.0,6.0
2.0,2.0,791.0,426.0,499.0,367.0,654.0,672.0,657.0,435.0,238.0,859.0,746.0,76.0,648.0,767.0,787.0,618.0,750.0,6.0
3.0,2.0,885.0,350.0,387.0,286.0,551.0,602.0,624.0,403.0,179.0,865.0,900.0,139.0,656.0,784.0,803.0,725.0,847.0,9.0
0.0,1.0,975.0,304.0,342.0,203.0,539.0,579.0,599.0,321.0,141.0,816.0,976.0,245.0,568.0,783.0,751.0,872.0,957.0,28.0
0.0,0.0,903.0,244.0,288.0,149.0,416.0,481.0,484.0,221.0,108.0,775.0,1097.0,396.0,503.0,752.0,814.0,1170.0,1140.0,59.0
0.0,0.0,854.0,153.0,201.0,99.0,330.0,362.0,353.0,164.0,66.0,728.0,1261.0,755.0,401.0,616.0,682.0,1497.0,1329.0,149.0
0.0,0.0,642.0,73.0,108.0,68.0,194.0,247.0,232.0,98.0,32.0,558.0,1254.0,1617.0,262.0,524.0,501.0,1851.0,1287.0,452.0
0.0,0.0,286.0,37.0,38.0,14.0,63.0,60.0,76.0,32.0,5.0,221.0,576.0,4625.0,85.0,140.0,213.0,1044.0,614.0,1871.0
0.0,0.0,42.0,2.0,1.0,2.0,8.0,9.0,9.0,4.0,0.0,25.0,101.0,2007.0,10.0,19.0,30.0,206.0,106.0,7419.0
