West Bromwich Albion,West Ham United,Swansea City,Queens Park Rangers,Charlton Athletic,Middlesbrough,Bristol City,Millwall,Norwich City,Sheffield United,Wolverhampton Wanderers,Watford,Southampton,Wrexham,Birmingham City,Stoke City,Portsmouth,Blackburn Rovers,Lincoln City,Cardiff City,Bolton Wanderers,Derby County,Burnley,Preston North End
105.0,4309.0,154.0,39.0,15.0,941.0,126.0,396.0,206.0,61.0,2487.0,3.0,1049.0,37.0,22.0,9.0,9.0,0.0,0.0,0.0,0.0,18.0,13.0,1.0
257.0,2298.0,395.0,81.0,42.0,1266.0,319.0,758.0,370.0,171.0,2275.0,17.0,1402.0,134.0,99.0,20.0,9.0,7.0,0.0,0.0,0.0,37.0,42.0,1.0
419.0,1202.0,559.0,169.0,91.0,1440.0,463.0,993.0,591.0,287.0,1571.0,42.0,1485.0,234.0,185.0,59.0,24.0,18.0,0.0,0.0,0.0,89.0,75.0,4.0
583.0,792.0,710.0,243.0,144.0,1237.0,573.0,1019.0,725.0,404.0,1096.0,72.0,1272.0,350.0,286.0,102.0,59.0,29.0,0.0,0.0,0.0,148.0,146.0,10.0
686.0,508.0,747.0,343.0,213.0,1071.0,696.0,1035.0,789.0,489.0,739.0,112.0,1021.0,503.0,378.0,130.0,83.0,42.0,2.0,2.0,0.0,195.0,197.0,19.0
733.0,292.0,846.0,420.0,245.0,885.0,749.0,972.0,825.0,574.0,532.0,156.0,844.0,556.0,443.0,188.0,135.0,70.0,3.0,1.0,0.0,237.0,270.0,24.0
711.0,188.0,840.0,479.0,334.0,731.0,766.0,849.0,859.0,622.0,366.0,224.0,667.0,608.0,579.0,259.0,148.0,93.0,5.0,2.0,1.0,290.0,318.0,61.0
778.0,148.0,782.0,570.0,380.0,509.0,776.0,717.0,790.0,625.0,289.0,252.0,516.0,699.0,614.0,346.0,194.0,125.0,8.0,5.0,1.0,413.0,402.0,61.0
714.0,91.0,750.0,597.0,483.0,450.0,707.0,633.0,748.0,663.0,183.0,337.0,421.0,677.0,719.0,376.0,255.0,162.0,16.0,10.0,2.0,456.0,454.0,96.0
692.0,59.0,715.0,635.0,517.0,362.0,719.0,558.0,646.0,718.0,139.0,399.0,320.0,697.0,641.0,439.0,340.0,228.0,25.0,12.0,2.0,472.0,536.0,129.0
647.0,36.0,608.0,656.0,575.0,267.0,702.0,468.0,652.0,713.0,99.0,497.0,264.0,716.0,674.0,495.0,346.0,269.0,23.0,18.0,5.0,527.0,581.0,162.0
619.0,29.0,561.0,687.0,648.0,212.0,560.0,360.0,628.0,666.0,81.0,531.0,191.0,740.0,749.0,567.0,424.0,318.0,36.0,24.0,6.0,602.0,569.0,192.0
560.0,14.0,478.0,698.0,672.0,183.0,561.0,299.0,481.0,664.0,54.0,585.0,167.0,643.0,692.0,675.0,496.0,408.0,62.0,37.0,5.0,627.0,679.0,260.0
550.0,14.0,434.0,692.0,764.0,112.0,484.0,253.0,395.0,646.0,41.0,660.0,111.0,621.0,678.0,680.0,566.0,483.0,80.0,55.0,19.0,661.0,665.0,336.0
464.0,7.0,369.0,658.0,787.0,118.0,366.0,195.0,362.0,531.0,15.0,728.0,79.0,590.0,598.0,724.0,697.0,580.0,133.0,80.0,29.0,746.0,727.0,417.0
375.0,5.0,282.0,597.0,780.0,85.0,398.0,171.0,284.0,519.0,15.0,778.0,71.0,490.0,601.0,793.0,751.0,640.0,165.0,141.0,47.0,746.0,729.0,537.0
353.0,1.0,239.0,572.0,728.0,51.0,322.0,113.0,207.0,477.0,9.0,838.0,59.0,420.0,559.0,781.0,818.0,801.0,271.0,214.0,72.0,722.0,756.0,617.0
271.0,6.0,195.0,575.0,666.0,33.0,248.0,79.0,172.0,397.0,3.0,803.0,31.0,366.0,451.0,808.0,851.0,913.0,419.0,275.0,103.0,792.0,697.0,846.0
225.0,1.0,159.0,446.0,646.0,33.0,197.0,69.0,115.0,292.0,4.0,830.0,11.0,345.0,366.0,747.0,985.0,1053.0,544.0,465.0,193.0,667.0,639.0,968.0
138.0,0.0,95.0,335.0,511.0,8.0,127.0,35.0,84.0,232.0,2.0,787.0,10.0,235.0,287.0,680.0,948.0,1155.0,834.0,689.0,354.0,639.0,604.0,1211.0
69.0,0.0,54.0,291.0,397.0,4.0,85.0,19.0,48.0,153.0,0.0,689.0,6.0,197.0,200.0,529.0,848.0,1126.0,1339.0,1136.0,619.0,423.0,433.0,1335.0
36.0,0.0,19.0,140.0,241.0,2.0,40.0,5.0,18.0,67.0,0.0,391.0,1.0,97.0,119.0,359.0,602.0,783.0,2075.0,1894.0,1233.0,303.0,282.0,1293.0
10.0,0.0,7.0,63.0,96.0,0.0,10.0,3.0,5.0,22.0,0.0,213.0,2.0,35.0,53.0,172.0,296.0,500.0,2287.0,2594.0,2383.0,144.0,140.0,965.0
5.0,0.0,2.0,14.0,25.0,0.0,6.0,1.0,0.0,7.0,0.0,56.0,0.0,10.0,7.0,62.0,116.0,197.0,1673.0,2346.0,4926.0,46.0,46.0,455.0
