Barcelona,Alavés,Real Madrid,Real Betis,Deportivo La Coruña,Atlético Madrid,Sevilla,Osasuna,Real Sociedad,Athletic Club,Levante,Espanyol,Racing Santander,Rayo Vallecano,Getafe,Celta Vigo,Villarreal,Málaga,Elche,Valencia
8418.0,18.0,1408.0,58.0,3.0,51.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,28.0,0.0,0.0,0.0
1398.0,269.0,6224.0,710.0,56.0,632.0,36.0,66.0,97.0,27.0,29.0,4.0,1.0,32.0,11.0,31.0,370.0,0.0,4.0,3.0
136.0,1005.0,1371.0,2182.0,214.0,1917.0,219.0,337.0,421.0,204.0,147.0,82.0,7.0,195.0,85.0,193.0,1246.0,0.0,23.0,16.0
34.0,1160.0,533.0,1679.0,359.0,1691.0,412.0,525.0,678.0,325.0,284.0,160.0,14.0,320.0,152.0,270.0,1310.0,0.0,53.0,41.0
11.0,1132.0,225.0,1358.0,459.0,1326.0,496.0,657.0,779.0,434.0,404.0,255.0,20.0,444.0,257.0,402.0,1201.0,0.0,77.0,63.0
2.0,1039.0,112.0,982.0,592.0,1021.0,598.0,739.0,816.0,544.0,454.0,324.0,54.0,527.0,327.0,557.0,1085.0,0.0,139.0,88.0
0.0,974.0,48.0,763.0,630.0,786.0,709.0,766.0,854.0,557.0,552.0,348.0,70.0,637.0,384.0,596.0,994.0,0.0,186.0,146.0
1.0,835.0,37.0,553.0,730.0,622.0,669.0,811.0,867.0,646.0,638.0,455.0,124.0,726.0,487.0,654.0,755.0,0.0,199.0,191.0
0.0,736.0,18.0,455.0,727.0,468.0,753.0,777.0,805.0,690.0,699.0,558.0,164.0,724.0,580.0,665.0,652.0,1.0,284.0,244.0
0.0,575.0,15.0,351.0,748.0,427.0,780.0,743.0,805.0,765.0,680.0,597.0,227.0,709.0,601.0,719.0,570.0,2.0,365.0,321.0
0.0,535.0,2.0,249.0,791.0,288.0,806.0,767.0,735.0,726.0,715.0,653.0,311.0,745.0,692.0,712.0,432.0,3.0,440.0,398.0
0.0,444.0,3.0,217.0,789.0,218.0,747.0,719.0,617.0,743.0,755.0,743.0,341.0,777.0,762.0,769.0,391.0,7.0,500.0,458.0
0.0,341.0,2.0,153.0,718.0,200.0,731.0,665.0,581.0,758.0,791.0,774.0,449.0,746.0,835.0,763.0,292.0,20.0,580.0,601.0
0.0,315.0,2.0,97.0,727.0,130.0,685.0,581.0,511.0,748.0,810.0,855.0,557.0,749.0,847.0,730.0,232.0,27.0,705.0,692.0
0.0,230.0,0.0,87.0,647.0,80.0,652.0,596.0,464.0,715.0,777.0,860.0,703.0,680.0,817.0,759.0,160.0,55.0,878.0,840.0
0.0,176.0,0.0,49.0,603.0,74.0,561.0,443.0,380.0,673.0,695.0,885.0,993.0,613.0,840.0,720.0,124.0,83.0,1071.0,1017.0
0.0,108.0,0.0,29.0,503.0,34.0,485.0,361.0,242.0,615.0,636.0,929.0,1261.0,594.0,819.0,570.0,86.0,182.0,1259.0,1287.0
0.0,68.0,0.0,20.0,404.0,21.0,389.0,268.0,208.0,468.0,533.0,773.0,1715.0,430.0,799.0,535.0,46.0,436.0,1398.0,1489.0
0.0,39.0,0.0,8.0,249.0,13.0,234.0,159.0,116.0,304.0,353.0,630.0,2275.0,296.0,589.0,313.0,26.0,1290.0,1444.0,1662.0
0.0,1.0,0.0,0.0,51.0,1.0,37.0,18.0,19.0,55.0,48.0,115.0,714.0,53.0,116.0,40.0,0.0,7894.0,395.0,443.0
