AS Roma,Internazionale,Lazio,Como,AC Milan,Juventus,Frosinone,Atalanta,Cagliari,Sassuolo,Udinese,Napoli,Torino,Lecce,Bologna,Parma,Monza,Venezia,Genoa,Fiorentina
2195.0,5136.0,51.0,1606.0,190.0,579.0,2.0,126.0,1.0,4.0,8.0,99.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2566.0,2330.0,252.0,2336.0,520.0,1220.0,18.0,368.0,15.0,28.0,38.0,297.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0
1972.0,1206.0,451.0,2198.0,965.0,1630.0,33.0,648.0,46.0,66.0,94.0,640.0,11.0,4.0,28.0,0.0,0.0,0.0,6.0,2.0
1305.0,667.0,841.0,1548.0,1299.0,1787.0,99.0,940.0,111.0,141.0,194.0,915.0,21.0,9.0,98.0,2.0,0.0,0.0,14.0,9.0
834.0,357.0,1089.0,932.0,1453.0,1527.0,211.0,1271.0,192.0,297.0,348.0,1231.0,54.0,15.0,132.0,13.0,1.0,0.0,27.0,16.0
508.0,173.0,1246.0,609.0,1404.0,1163.0,351.0,1346.0,339.0,432.0,545.0,1339.0,106.0,41.0,263.0,22.0,3.0,1.0,60.0,49.0
293.0,65.0,1294.0,340.0,1171.0,805.0,511.0,1391.0,490.0,680.0,727.0,1278.0,210.0,70.0,436.0,48.0,3.0,0.0,86.0,102.0
171.0,32.0,1204.0,203.0,964.0,509.0,660.0,1148.0,732.0,864.0,974.0,1107.0,304.0,124.0,592.0,96.0,0.0,0.0,155.0,161.0
77.0,21.0,1014.0,104.0,684.0,331.0,878.0,854.0,939.0,1001.0,1075.0,922.0,458.0,218.0,801.0,150.0,12.0,1.0,235.0,225.0
44.0,4.0,741.0,59.0,527.0,187.0,1053.0,675.0,1054.0,1067.0,1118.0,650.0,652.0,315.0,863.0,241.0,29.0,1.0,388.0,332.0
18.0,5.0,602.0,31.0,306.0,124.0,1040.0,439.0,1041.0,1111.0,1033.0,532.0,777.0,463.0,1037.0,395.0,40.0,8.0,526.0,472.0
12.0,2.0,432.0,20.0,224.0,61.0,1016.0,292.0,1108.0,991.0,968.0,382.0,921.0,593.0,1080.0,504.0,77.0,21.0,661.0,635.0
2.0,2.0,282.0,4.0,133.0,36.0,984.0,220.0,1008.0,927.0,853.0,265.0,1101.0,756.0,1013.0,661.0,132.0,42.0,813.0,766.0
3.0,0.0,220.0,8.0,80.0,20.0,899.0,130.0,819.0,727.0,680.0,150.0,1159.0,988.0,985.0,902.0,196.0,58.0,1027.0,949.0
0.0,0.0,153.0,1.0,40.0,13.0,756.0,70.0,786.0,586.0,513.0,95.0,1111.0,1172.0,822.0,1092.0,396.0,141.0,1135.0,1118.0
0.0,0.0,72.0,1.0,30.0,4.0,614.0,38.0,571.0,488.0,371.0,56.0,1029.0,1329.0,718.0,1287.0,604.0,219.0,1343.0,1226.0
0.0,0.0,33.0,0.0,8.0,4.0,449.0,31.0,382.0,328.0,271.0,32.0,952.0,1410.0,547.0,1517.0,1013.0,439.0,1233.0,1351.0
0.0,0.0,19.0,0.0,2.0,0.0,284.0,10.0,237.0,179.0,135.0,9.0,667.0,1374.0,377.0,1589.0,1645.0,934.0,1233.0,1306.0
0.0,0.0,3.0,0.0,0.0,0.0,130.0,3.0,107.0,70.0,47.0,1.0,364.0,830.0,156.0,1070.0,3280.0,2296.0,748.0,895.0
0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,22.0,13.0,8.0,0.0,101.0,289.0,41.0,411.0,2569.0,5839.0,309.0,385.0
