AS Monaco,Paris FC,Lyon,Lille,Stade Rennais,Strasbourg,Brest,Lorient,Troyes,Marseille,Lens,Angers,Paris Saint-Germain,Le Mans,Nice,Le Havre AC,Toulouse,AJ Auxerre
1448.0,436.0,1042.0,1458.0,679.0,612.0,34.0,69.0,0.0,358.0,1299.0,0.0,2545.0,0.0,0.0,4.0,16.0,0.0
1359.0,585.0,1089.0,1375.0,906.0,784.0,54.0,170.0,0.0,501.0,1279.0,5.0,1847.0,1.0,1.0,9.0,27.0,8.0
1341.0,730.0,1146.0,1338.0,936.0,879.0,120.0,216.0,2.0,600.0,1186.0,19.0,1383.0,1.0,5.0,24.0,62.0,12.0
1119.0,790.0,1119.0,1169.0,1033.0,963.0,199.0,333.0,2.0,743.0,1188.0,22.0,1112.0,5.0,7.0,31.0,137.0,28.0
1026.0,872.0,1082.0,1029.0,1086.0,1034.0,285.0,464.0,2.0,860.0,1059.0,36.0,848.0,12.0,12.0,53.0,195.0,45.0
887.0,962.0,1051.0,883.0,995.0,1040.0,341.0,582.0,6.0,976.0,1008.0,74.0,709.0,17.0,30.0,85.0,289.0,65.0
772.0,1006.0,916.0,798.0,988.0,1013.0,509.0,753.0,12.0,989.0,806.0,133.0,528.0,33.0,50.0,164.0,391.0,139.0
644.0,978.0,749.0,643.0,949.0,888.0,644.0,903.0,38.0,1123.0,709.0,209.0,389.0,53.0,78.0,254.0,534.0,215.0
480.0,1033.0,649.0,484.0,790.0,860.0,874.0,1026.0,71.0,971.0,534.0,325.0,246.0,93.0,154.0,384.0,724.0,302.0
355.0,842.0,423.0,348.0,592.0,698.0,1076.0,1200.0,122.0,918.0,375.0,517.0,184.0,169.0,247.0,551.0,942.0,441.0
246.0,604.0,312.0,225.0,400.0,482.0,1234.0,1132.0,220.0,733.0,247.0,761.0,108.0,310.0,406.0,776.0,1088.0,716.0
165.0,466.0,207.0,128.0,289.0,311.0,1290.0,989.0,303.0,480.0,162.0,954.0,47.0,475.0,550.0,1060.0,1204.0,920.0
82.0,319.0,113.0,69.0,176.0,216.0,1035.0,827.0,514.0,313.0,76.0,1133.0,30.0,732.0,859.0,1248.0,1185.0,1073.0
49.0,178.0,55.0,25.0,90.0,103.0,898.0,541.0,758.0,215.0,37.0,1298.0,13.0,983.0,1099.0,1305.0,1014.0,1339.0
17.0,107.0,28.0,18.0,46.0,75.0,606.0,385.0,1082.0,108.0,19.0,1416.0,6.0,1333.0,1306.0,1322.0,830.0,1296.0
6.0,59.0,14.0,9.0,32.0,26.0,431.0,224.0,1503.0,69.0,12.0,1266.0,4.0,1623.0,1620.0,1143.0,634.0,1325.0
3.0,28.0,2.0,1.0,9.0,12.0,244.0,137.0,2182.0,32.0,4.0,1037.0,0.0,1957.0,1752.0,958.0,468.0,1174.0
1.0,5.0,3.0,0.0,4.0,4.0,126.0,49.0,3183.0,11.0,0.0,795.0,1.0,2203.0,1824.0,629.0,260.0,902.0
