West Ham United,West Bromwich Albion,Swansea City,Queens Park Rangers,Charlton Athletic,Middlesbrough,Bristol City,Millwall,Norwich City,Sheffield United,Wolverhampton Wanderers,Watford,Southampton,Birmingham City,Stoke City,Wrexham,Portsmouth,Blackburn Rovers,Lincoln City,Cardiff City,Bolton Wanderers,Derby County,Burnley,Preston North End
7419.0,32.0,64.0,12.0,4.0,408.0,40.0,203.0,62.0,11.0,1304.0,3.0,409.0,12.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0
1679.0,216.0,352.0,76.0,37.0,1389.0,236.0,644.0,359.0,156.0,3105.0,16.0,1510.0,81.0,25.0,39.0,9.0,1.0,0.0,0.0,0.0,29.0,39.0,2.0
520.0,437.0,592.0,197.0,87.0,1542.0,474.0,1035.0,623.0,261.0,1904.0,38.0,1722.0,192.0,44.0,103.0,26.0,9.0,1.0,0.0,0.0,87.0,103.0,3.0
199.0,584.0,772.0,236.0,142.0,1463.0,641.0,1182.0,810.0,383.0,1183.0,85.0,1358.0,319.0,113.0,149.0,62.0,29.0,1.0,1.0,0.0,121.0,158.0,9.0
91.0,683.0,831.0,355.0,268.0,1106.0,743.0,1093.0,891.0,485.0,759.0,132.0,1169.0,398.0,144.0,239.0,92.0,48.0,2.0,2.0,0.0,221.0,225.0,23.0
42.0,787.0,822.0,459.0,299.0,879.0,801.0,938.0,880.0,584.0,544.0,164.0,902.0,516.0,237.0,339.0,120.0,63.0,2.0,2.0,0.0,252.0,323.0,45.0
19.0,794.0,835.0,534.0,357.0,727.0,749.0,828.0,897.0,617.0,368.0,230.0,670.0,602.0,273.0,422.0,181.0,104.0,3.0,1.0,0.0,360.0,376.0,53.0
19.0,743.0,789.0,561.0,429.0,594.0,823.0,729.0,800.0,696.0,267.0,297.0,539.0,598.0,335.0,439.0,234.0,159.0,14.0,7.0,2.0,417.0,436.0,73.0
4.0,748.0,796.0,623.0,481.0,455.0,748.0,643.0,712.0,768.0,176.0,361.0,389.0,634.0,397.0,551.0,266.0,188.0,16.0,5.0,2.0,469.0,483.0,85.0
5.0,716.0,660.0,662.0,522.0,349.0,700.0,542.0,720.0,707.0,125.0,449.0,354.0,680.0,460.0,564.0,323.0,228.0,20.0,11.0,1.0,505.0,544.0,153.0
1.0,646.0,617.0,699.0,610.0,292.0,703.0,487.0,607.0,781.0,91.0,468.0,263.0,681.0,512.0,607.0,379.0,266.0,30.0,17.0,1.0,541.0,532.0,169.0
2.0,610.0,519.0,680.0,642.0,215.0,571.0,396.0,558.0,666.0,57.0,566.0,219.0,715.0,565.0,591.0,491.0,377.0,45.0,33.0,1.0,575.0,648.0,258.0
0.0,555.0,518.0,675.0,688.0,182.0,554.0,318.0,440.0,688.0,39.0,624.0,127.0,681.0,632.0,659.0,526.0,415.0,73.0,43.0,16.0,633.0,650.0,264.0
0.0,515.0,411.0,677.0,721.0,133.0,501.0,252.0,370.0,638.0,22.0,595.0,113.0,673.0,685.0,735.0,574.0,466.0,86.0,66.0,27.0,733.0,680.0,327.0
0.0,455.0,336.0,637.0,802.0,86.0,445.0,218.0,316.0,570.0,25.0,724.0,82.0,642.0,679.0,675.0,686.0,569.0,131.0,91.0,29.0,704.0,652.0,446.0
0.0,411.0,296.0,621.0,709.0,74.0,354.0,151.0,275.0,463.0,13.0,765.0,75.0,552.0,748.0,720.0,784.0,684.0,185.0,128.0,48.0,695.0,700.0,549.0
0.0,360.0,261.0,571.0,739.0,40.0,259.0,116.0,225.0,422.0,6.0,805.0,31.0,507.0,800.0,715.0,846.0,790.0,244.0,184.0,72.0,722.0,663.0,622.0
0.0,238.0,195.0,521.0,642.0,28.0,231.0,74.0,180.0,345.0,9.0,819.0,30.0,479.0,813.0,681.0,836.0,907.0,351.0,317.0,106.0,706.0,707.0,785.0
0.0,201.0,150.0,448.0,590.0,22.0,175.0,77.0,106.0,280.0,2.0,813.0,19.0,366.0,771.0,560.0,922.0,981.0,558.0,473.0,191.0,664.0,656.0,975.0
0.0,148.0,89.0,337.0,508.0,13.0,118.0,36.0,88.0,245.0,0.0,755.0,5.0,297.0,655.0,487.0,857.0,1156.0,896.0,682.0,363.0,567.0,551.0,1147.0
0.0,68.0,54.0,233.0,354.0,3.0,79.0,26.0,51.0,133.0,1.0,641.0,9.0,205.0,538.0,344.0,833.0,1120.0,1392.0,1114.0,605.0,472.0,412.0,1313.0
0.0,39.0,26.0,122.0,237.0,0.0,43.0,7.0,20.0,79.0,0.0,397.0,3.0,115.0,360.0,234.0,544.0,803.0,2002.0,1872.0,1268.0,300.0,252.0,1277.0
0.0,12.0,13.0,53.0,96.0,0.0,9.0,4.0,6.0,19.0,0.0,195.0,2.0,48.0,147.0,102.0,300.0,451.0,2260.0,2637.0,2379.0,169.0,153.0,945.0
0.0,2.0,2.0,11.0,36.0,0.0,3.0,1.0,4.0,3.0,0.0,58.0,0.0,7.0,64.0,38.0,109.0,185.0,1688.0,2314.0,4889.0,55.0,54.0,477.0
